	G000974425	G000701505	G000374085	G000325705	G900129725	G000265075	G000166395	G900111145	G900107465	G000379725	G001314815	G000379765	G900116885	G001890965	G000472485	G001747095	G000346615	G001593005	G000023125	G000298295	G000295935	G900113045	G000390185	G900116615	G000348925	G000373245	G000812565	G001567185	G001683905	G000715495	G001078055	G000423565	G900115665	G900112005	G000373265	G000296815	G000473765	G900142205	G000482465	G001611675	G000331535	G000222485	G000566685	G000427405	G000429425	G000973725	G000737515	G000169175	G000807855	G001442615	G900112365	G900103285	G900100765	G900156415	G000381545	G000383955	G000382225	G000265505	G000429405	G900112255	G000265405	G000429445	G001267955	G001281695	G001483135	G000430505	G001306455	G001050135	G000277005	G001657315	G000429465	G000166275	G000426725	G000014145	G000714815	G001747105	G001592935	G000374025	G001647285	G000024525	G900129785	G000374065	G000801315	G000422585	G000428845	G000330725	G000263195	G001592965	G000427295	G001898575	G001870735	G001592945	G000972495	G000473365	G000331105	G000183425
G001314815	130.3606	72.84082	137.71103	27.697533	83.2454	66.57996	51.151752	88.76157	22.703533	127.26041	0.0	74.364105	126.48333	86.78509	141.3331	48.767628	90.6961	70.19328	102.44166	21.456148	15.292046	97.45141	36.140236	10.581035	129.1889	36.852192	92.19489	102.495636	60.50407	156.09137	106.4159	68.7905	69.69889	18.80243	120.29502	148.52275	22.98033	55.427113	96.29886	126.219475	55.814632	48.25853	54.85637	114.94364	8.064054	132.72183	159.82965	127.018524	136.23158	14.388399	122.86928	117.159645	127.865616	114.686714	22.765852	160.8929	173.03668	172.7079	0.5012523	143.57553	30.902699	25.507954	73.23575	141.37166	173.07227	110.984955	39.98549	47.084732	114.22439	51.109493	6.3928137	18.898317	83.90651	136.75243	60.875534	60.072575	55.94662	127.59633	96.905815	138.20004	14.458596	137.4755	135.869	119.85474	69.587456	26.194763	115.8142	84.55889	45.539894	127.01125	143.33821	71.461205	130.83751	153.25613	158.97133	73.038864
G000379765	160.67877	114.45165	161.84871	72.71411	141.46094	113.451706	72.69826	105.56788	68.57482	75.404305	74.364105	0.0	156.72618	70.45376	172.12744	104.53684	84.51843	71.6742	147.01799	36.46051	40.764454	81.69117	95.16261	62.91453	158.20734	74.90475	60.6259	89.18444	46.300053	169.7841	133.79794	98.02806	36.13871	70.020775	170.24922	186.41406	68.472885	139.02095	124.00157	156.62927	66.77186	18.640749	63.653225	92.55438	80.738	160.0037	178.90698	108.22709	69.95569	54.162304	154.22568	174.48027	173.63034	159.48183	68.23606	195.11412	185.99228	79.75424	72.45093	132.19241	41.044586	127.0833	71.202576	66.04359	204.61552	176.26175	68.31195	23.323298	158.89992	90.74148	98.05877	37.723957	34.561882	80.02068	36.420418	85.53036	72.64107	164.06036	118.23213	166.91992	40.116436	160.5792	151.59738	128.51599	94.199425	118.28172	63.140697	110.65432	24.07129	161.14381	166.20276	69.96559	158.98071	68.56236	197.46994	30.979687
G900116885	67.663185	61.08719	70.50798	75.82144	66.799805	40.104137	70.82117	65.85934	159.98048	115.93187	126.48333	156.72618	0.0	95.69414	4.600348	77.61646	37.593662	86.546814	71.90784	109.103714	120.629486	118.26575	72.85532	93.55184	45.02383	76.56247	134.488	69.807945	58.434624	68.61397	34.646683	95.68509	99.10677	95.11569	19.402582	74.99007	160.83876	82.10951	98.78183	0.0028046237	48.20665	112.94314	59.05534	118.46282	145.9683	12.909481	59.61391	93.595	160.99565	82.92333	71.40316	81.531166	61.008175	16.634596	160.2585	85.379074	75.36416	225.52069	123.77831	114.46732	135.48164	97.12045	89.77375	173.5727	57.761562	79.095825	80.40259	104.431	16.578407	58.87653	124.69605	117.622986	110.32045	100.09692	89.89301	82.42875	82.96058	77.81105	26.286215	67.40474	127.041046	68.99708	35.19971	134.43703	69.52075	122.19414	146.02466	82.61125	98.33718	75.61931	67.26532	87.83999	47.95644	96.97303	79.71515	129.155
G001890965	92.02703	75.95475	98.74236	72.79178	100.43089	89.04983	49.95564	31.606613	109.47531	50.680283	86.78509	70.45376	95.69414	0.0	109.197075	48.34239	74.78754	26.047935	103.80051	62.412487	65.62048	32.246628	77.53295	62.336475	129.4462	76.57071	34.468117	48.451366	32.35605	123.42309	91.188	24.090036	53.36254	55.59558	109.56961	118.98047	109.9637	63.3488	42.852352	95.62918	39.89244	37.601055	47.026806	16.788149	115.76416	82.14024	136.41483	13.525877	52.22201	61.249577	85.36667	144.20076	119.30777	93.70955	109.43265	114.18124	140.17784	83.992134	83.81236	49.899315	49.60491	114.11275	25.96535	45.463688	122.85985	67.30606	42.645554	33.814774	92.467384	78.76996	98.55514	54.11317	48.28934	61.805157	54.42556	31.70409	28.94826	96.54867	55.006794	96.57039	65.50573	98.70132	111.64209	75.69786	71.01466	114.05664	29.84566	46.000122	32.758915	90.83529	116.7212	25.477045	99.13075	56.731182	120.07369	43.01572
G000472485	80.95002	75.36669	82.95352	86.81625	77.32807	44.668316	80.3568	79.14302	176.72873	132.59114	141.3331	172.12744	4.600348	109.197075	0.0	90.991295	41.38675	102.02681	84.66404	121.63163	133.5931	127.90791	83.43684	108.38307	38.6528	85.22324	149.31415	86.34248	70.2123	68.84991	35.46975	108.601364	115.182465	110.521355	20.315086	85.18701	177.62926	93.24992	113.8184	4.5726366	58.324665	126.22668	69.94262	132.65381	159.31593	15.076888	56.512283	103.511475	175.48898	96.68026	85.88279	87.511	67.48529	20.102816	177.01001	94.09432	73.2682	239.66891	138.44861	130.22307	151.3668	108.12165	105.37579	186.3385	58.88516	84.26388	93.672165	117.79199	20.143045	67.569595	137.89755	132.32762	123.25803	115.07346	100.530235	97.497055	98.32943	92.3795	32.40766	79.40146	142.28015	80.988464	33.741932	144.84244	85.48265	135.98267	163.77805	94.63652	112.093834	90.54055	76.56769	103.26374	50.362267	108.07045	87.55895	145.59975
G001747095	78.88487	56.29278	89.485085	44.845657	72.99338	58.96173	23.247633	22.568384	91.021805	87.37641	48.767628	104.53684	77.61646	48.34239	90.991295	0.0	65.958855	20.94945	86.56642	53.751766	51.143818	80.3389	52.18736	26.745066	115.37654	45.099724	52.612743	67.856346	41.54335	132.06656	68.91749	55.398785	61.23969	20.033209	77.02382	100.91617	91.63979	21.50568	71.19765	77.43495	27.236467	54.250015	34.318462	74.86914	71.84034	63.103813	134.83298	77.24222	87.6637	30.991312	72.17441	111.40413	99.11672	63.538784	91.14566	111.96094	144.47781	173.4164	45.2742	112.64295	47.92604	57.90357	23.853477	123.76809	129.77432	77.32534	20.88585	45.039032	62.69709	41.810223	48.096107	36.707176	61.929386	97.7685	57.91811	8.738888	13.771639	81.20719	41.020016	83.6565	44.238663	90.33189	108.44622	123.99889	57.868862	73.91945	85.13483	15.128224	41.580585	76.10274	102.72053	23.33915	97.555786	110.36643	112.60449	58.60784
G000346615	78.896126	56.49474	79.77095	52.040417	82.75564	33.37383	43.70792	57.54555	120.33783	89.35598	90.6961	84.51843	37.593662	74.78754	41.38675	65.958855	0.0	62.011803	80.517525	65.797295	74.98939	91.09083	61.182423	63.238358	48.718163	45.73615	97.13553	62.629486	28.779953	95.536316	41.862114	89.61425	49.78094	67.909966	53.58007	93.84815	120.94048	90.16823	103.64662	37.516827	27.527504	61.801056	31.544825	99.234184	104.49241	35.76521	90.11097	87.25051	117.599884	50.45521	80.17371	84.356384	85.65256	43.771236	120.39722	108.535706	102.800385	173.82605	88.05877	120.21998	93.91764	88.733116	63.481865	127.40825	104.3928	104.98797	51.37301	57.7552	43.638157	40.513035	98.21602	71.83467	58.018036	74.01009	43.53428	64.838005	60.666725	84.13218	31.300976	79.62744	80.281105	78.36856	54.771774	121.55228	57.49411	111.54816	110.82957	65.35836	53.788906	82.29523	75.73368	61.57133	74.5921	56.889427	109.419365	78.32237
G001593005	82.69681	65.21767	92.46326	63.556442	91.2136	71.2033	31.216267	9.371546	103.98059	57.536594	70.19328	71.6742	86.546814	26.047935	102.02681	20.94945	62.011803	0.0	93.34845	57.916588	58.624435	55.929607	73.830246	42.821217	130.07346	68.859535	28.355358	47.626705	33.19336	123.04651	80.144394	44.135696	43.165836	33.61282	98.42141	109.208275	104.509544	55.55965	55.689144	86.45579	35.573643	35.627224	39.75665	41.978115	96.68517	73.21497	132.70749	52.926037	50.372208	46.384758	76.19484	131.21446	108.610054	83.40297	103.92569	112.99246	136.80647	111.68562	66.72259	76.17022	40.288193	96.91363	0.35044926	72.90212	121.86766	86.69886	23.915611	29.70345	82.264496	69.45099	82.86603	37.27614	41.887222	68.63173	54.82128	7.8558397	2.020238	87.454414	41.014946	87.001305	50.267147	92.833244	106.87311	97.98864	60.370335	104.869156	37.02676	12.326004	27.794153	81.444954	108.7566	0.34730762	95.94296	65.20379	116.58429	29.66757
G000023125	32.451916	18.142273	38.91109	64.940346	24.038715	57.39814	99.0207	80.9551	115.14697	103.80037	102.44166	147.01799	71.90784	103.80051	84.66404	86.56642	80.517525	93.34845	0.0	105.536736	119.684845	150.53162	50.11135	89.9986	99.391624	86.619576	143.64474	48.643692	61.992023	71.280594	76.90337	76.65318	87.534256	96.52099	81.613335	36.113556	115.93101	90.40802	61.630375	71.6987	64.05413	113.385826	54.406494	109.54595	123.76081	101.32199	84.69056	117.316414	178.93094	76.955635	32.642765	33.119263	26.070213	64.53994	115.375786	44.86617	89.96623	232.43088	104.55151	84.6599	132.4184	62.88104	95.67548	195.64114	73.36621	93.98329	74.06893	109.89658	64.833305	58.66244	111.994606	117.350815	128.35524	91.09463	109.402885	84.55428	86.05976	36.98441	76.46612	34.2654	117.20885	38.95255	66.255615	129.48373	20.031399	75.859436	130.2731	115.94179	100.58565	37.180645	32.59203	93.88573	50.22104	118.15298	40.68623	135.57785
G000298295	123.387344	75.02774	126.26958	18.23993	85.21946	68.211754	41.062725	77.129265	18.98312	98.07387	21.456148	36.46051	109.103714	62.412487	121.63163	53.751766	65.797295	57.916588	105.536736	0.0	4.6047683	74.11674	33.566883	21.377924	106.23238	31.60865	71.93867	78.036194	36.68956	137.57634	80.062935	61.244324	47.8363	31.970625	107.11834	144.69029	19.082241	71.25434	86.23065	108.92196	39.25699	17.686264	40.258167	90.36439	22.011005	113.69652	142.90553	93.82203	105.87026	14.889961	118.939674	123.1606	127.35619	105.21047	18.915525	152.3405	155.24648	136.79848	20.575834	120.186226	26.839325	52.622753	59.90012	102.37159	161.65454	105.25404	35.132313	17.672012	104.71946	40.82267	30.638943	16.160166	56.19331	101.35454	30.345495	59.323135	48.099186	124.9633	76.499275	130.32011	10.661577	124.754776	114.68568	102.75034	64.462	40.239754	92.235535	80.544365	16.886328	124.13777	131.63101	57.737045	119.74004	106.30079	154.21637	52.357952
G000295935	140.51164	81.37459	144.80025	28.445656	98.9743	77.61834	39.62828	82.24763	22.541573	101.68045	15.292046	40.764454	120.629486	65.62048	133.5931	51.143818	74.98939	58.624435	119.684845	4.6047683	0.0	72.31543	45.119545	15.0783825	120.790596	36.550194	65.58878	93.01444	44.60707	153.45322	94.80144	66.84733	48.202785	23.288984	118.4278	161.3432	22.639357	68.25153	98.69406	120.44561	43.55316	21.941036	49.844177	95.58843	17.864273	120.59344	155.9023	101.42915	100.96273	13.362696	134.26164	135.00603	142.8205	114.22508	22.471462	171.36504	169.22234	130.26112	13.720499	133.8664	17.159733	52.93808	60.600937	97.55784	177.89066	114.39116	33.838852	21.13009	113.57682	47.240707	22.033169	10.251878	52.00204	109.0787	34.937664	58.254833	48.74098	140.91714	84.27195	147.56618	6.948722	143.86201	129.90533	110.37943	74.1824	46.192604	93.208046	76.574615	21.41837	139.4227	148.69872	58.75918	134.61723	119.77774	171.71227	47.92251
G900113045	144.51419	117.28973	149.2148	97.45397	136.62813	104.02846	57.949986	66.39882	126.53452	84.12283	97.45141	81.69117	118.26575	32.246628	127.90791	80.3389	91.09083	55.929607	150.53162	74.11674	72.31543	0.0	103.64425	75.67364	152.0013	95.599525	51.736687	92.04284	54.896008	147.69388	112.0819	45.689384	73.343094	70.31378	126.9874	169.1075	126.94987	87.86924	75.67221	118.20361	68.565285	50.66071	76.345924	43.191685	122.75774	103.38873	155.31245	42.06208	68.34162	77.588585	137.08661	176.52379	158.075	120.22717	126.42559	164.725	160.47937	69.00329	94.37772	75.58804	53.18201	134.84377	55.434803	38.917347	153.4205	90.55757	69.45372	50.091732	118.94207	111.6561	108.24308	63.933178	60.35365	96.48202	67.70042	62.261513	59.290356	151.88368	74.931206	148.23996	77.942345	148.59169	136.59447	56.251575	110.18999	135.61255	49.033337	71.480995	52.001347	146.21149	163.44913	54.761414	127.15196	80.71843	166.97162	54.91978
G000390185	60.58862	41.686264	62.27724	10.904057	34.0005	36.856525	51.060444	71.009476	40.07098	110.46225	36.140236	95.16261	72.85532	77.53295	83.43684	52.18736	61.182423	73.830246	50.11135	33.566883	45.119545	103.64425	0.0	36.289967	78.8775	30.926798	114.61383	56.69761	42.025127	102.78822	54.613316	51.49488	71.15364	48.817528	69.07277	72.279495	40.589043	48.64477	56.486477	72.617546	36.753567	58.475876	27.058846	96.37728	41.586487	88.07386	110.30669	94.15785	155.9343	24.637989	58.562344	57.80582	61.37504	65.43758	40.260746	80.438255	122.23336	203.84602	37.41383	98.540405	76.30632	20.936382	77.156784	161.80727	111.08904	67.47755	44.439648	56.728764	65.48931	23.653727	40.129246	54.957054	99.18131	105.27655	56.98698	62.85209	60.85244	60.32149	60.975975	65.05842	47.13956	61.36838	81.531044	103.37436	37.78235	18.97429	124.21599	89.6151	51.646072	61.45156	68.53987	74.61133	76.812004	117.72168	84.18444	103.11443
G900116615	106.769	54.957306	114.81221	25.550276	75.8198	51.538883	24.934673	57.432995	40.181183	93.8544	10.581035	62.91453	93.55184	62.336475	108.38307	26.745066	63.238358	42.821217	89.9986	21.377924	15.0783825	75.67364	36.289967	0.0	110.378815	25.729113	63.423584	79.302635	38.118095	136.94981	81.073845	63.12816	46.78966	3.1171968	92.78577	126.43626	40.48345	39.050865	87.853325	93.36992	32.081562	35.600643	35.085236	93.72247	21.682423	91.21808	137.92455	100.82853	99.10884	4.17828	99.16188	109.01739	111.04434	83.18374	40.20484	142.31711	151.51434	150.9582	8.555596	127.307335	22.177206	32.202484	45.762836	114.40866	149.48781	101.69537	25.41579	30.7066	82.626366	36.559727	12.543575	9.139992	52.847595	102.080376	39.029568	33.817852	32.814434	106.43306	63.782192	113.55613	10.571235	114.88582	111.53584	117.51247	53.714134	42.331417	92.62476	49.274628	28.816275	103.72301	121.65477	44.444813	110.16436	114.13969	139.06891	47.46926
G000348925	101.44414	87.86615	99.372536	79.46321	93.884544	58.461403	101.79109	114.5328	150.45161	161.51247	129.1889	158.20734	45.02383	129.4462	38.6528	115.37654	48.718163	130.07346	99.391624	106.23238	120.790596	152.0013	78.8775	110.378815	0.0	79.81165	179.67924	104.26134	80.76095	76.950165	44.35754	125.838806	122.28231	120.83244	50.96043	107.457085	151.14452	120.21665	137.92522	44.90716	72.4228	125.50676	74.24174	157.29312	137.29611	60.601406	64.49631	130.57932	209.54716	93.51359	108.67639	99.473785	91.97277	50.356663	150.692	112.987434	80.85995	260.0663	128.07817	158.75323	156.70523	104.94363	132.96892	208.54036	90.298874	104.80208	103.26914	120.59556	50.964733	66.02733	127.510124	132.04208	140.16623	140.00522	98.91525	127.468575	122.478966	106.42875	63.41612	101.89919	133.16132	96.78086	34.19994	155.57408	94.798386	123.776085	189.8577	132.01991	115.155075	109.24715	92.53387	130.18916	68.4186	132.5265	109.54144	160.62381
G000373245	98.75282	64.611404	103.670135	17.272888	69.819565	37.037357	35.02513	75.28656	58.510567	112.791245	36.852192	74.90475	76.56247	76.57071	85.22324	45.099724	45.73615	68.859535	86.619576	31.60865	36.550194	95.599525	30.926798	25.729113	79.81165	0.0	94.23634	87.57694	34.24002	122.36914	61.873516	77.43403	66.42102	32.701332	72.55651	117.80845	58.81145	51.565777	102.59909	76.35189	27.844921	45.656258	21.673368	106.42101	45.66649	77.2954	122.78052	105.35228	124.26327	18.106401	95.200554	99.8145	102.36787	67.4623	58.543747	132.24948	138.45824	186.48459	35.37627	136.88016	60.136204	44.201004	72.50151	142.3557	139.37418	97.29284	45.554028	40.924442	67.42933	26.486483	37.398994	36.220066	68.39297	111.2694	27.295801	56.72752	57.32904	99.35881	62.930138	104.66649	35.50518	102.73802	90.96339	132.0492	60.208103	53.873283	122.979454	73.93299	37.990234	98.396355	108.134026	70.52329	95.97719	106.34657	127.92001	73.0753
