	G001007025	G000091085	G001796065	G000583875	G001796105	G000237205	G001897225	G000454725	G000204135	G001007145	G000011565	G000092785	G001007105	G000204175	G001796285	G001625535	G000470765	G000471025	G001625515	G001796175	G001007065	G001007125	G001714585	G000700845	G001401475	G000700905	G001736045	G000270425	G000687415	G000516655	G001736055	G001466415	G000508025	G000007605	G000508005	G000270405	G000191925	G000493885	G000756735	G000700865	G000700925	G001401455	G000024145	G000298495	G000270445	G001618265	G000009945	G000508065	G001794895	G000830965	G000750955	G001794905	G000298455	G000298515	G001794865	G001794935	G000068585	G000317995	G001401485	G001545115	G000253035	G001499655	G000298555	G000298415	G000298435	G000829755	G001563055	G000011165	G000338695	G001796275	G000211155	G000415685	G000415565	G001714565	G001007085	G000007205	G000174995	G001796185	G001796255	G000008725	G002007725	G000417695	G001714575	G000298375	G000751535	G001796095	G000470805	G000687395	G000813665	G001464115	G000270385	G000470825	G001796235	G000008745	G000417845
G000011565	127.64393	127.563995	409.0474	85.24103	406.8797	123.79005	26.564205	91.7948	154.04916	127.647896	0.0	163.69897	127.64171	103.64821	187.71309	152.48419	154.24669	80.47721	153.25092	390.2138	127.67216	127.69901	103.271706	105.68957	101.87511	105.69718	103.87277	104.00231	104.23006	126.95159	103.20351	154.13756	154.38615	105.05046	154.21724	103.99528	103.60276	126.918304	14.7358675	105.68957	105.69114	103.19413	127.03159	101.06385	103.984886	165.91287	97.59692	154.16417	186.80914	106.17894	51.866905	279.4541	103.392784	103.982574	186.87062	363.24707	136.15309	103.612465	103.26612	99.8748	42.903896	111.586815	102.00876	104.35377	103.73111	34.583347	103.09516	127.5454	105.18408	394.3588	102.83968	103.80579	103.41024	103.09315	127.65063	127.4239	105.211075	400.09973	186.52307	136.36926	80.510155	90.99893	103.27965	104.010895	118.44105	396.3967	154.5087	103.64951	42.390198	311.196	103.8296	153.95401	187.5767	127.6386	104.483925
G000092785	107.701225	107.6886	91.59223	204.20947	90.79654	16.439463	87.42227	156.6427	111.03548	107.705124	163.69897	0.0	107.703384	149.89336	13.932192	110.28717	109.993004	176.10942	109.30393	81.85675	107.718506	107.83001	149.3351	86.63456	150.21687	86.63548	148.97357	149.09288	149.03876	109.14749	149.73499	111.24374	109.72563	139.93282	109.59087	149.1174	149.6876	60.26378	236.6715	86.63456	86.633995	150.02678	108.73144	155.95686	149.07826	0.12718204	130.36302	110.32351	13.761038	86.429985	77.02412	38.94968	150.80746	149.4721	13.786529	64.29517	82.166214	150.2758	150.1579	28.364729	47.81096	17.08443	150.23402	148.77411	150.24452	70.983795	149.96146	107.51682	150.08875	84.33084	150.58289	148.56113	149.6198	149.00536	107.73496	107.843994	87.39105	87.28729	13.764276	82.6752	176.04358	143.04535	149.87466	150.0008	15.766114	85.61066	110.66923	149.6362	116.833	44.35314	149.19109	110.229454	13.926892	107.70562	134.98859
G001007105	3.485441e-05	0.008368121	255.90822	42.798016	253.61864	72.175476	57.55542	24.582863	12.676391	2.1013158e-05	127.64171	107.703384	0.0	18.070007	94.48019	12.464426	12.870367	32.493053	12.788224	242.76097	0.0004988608	0.0049636825	18.016582	12.093714	18.299875	12.091009	17.770094	17.815393	17.770395	0.1266411	18.093235	12.669921	13.00151	13.66962	13.028235	17.801939	18.055521	21.974815	172.32108	12.093714	12.093605	18.149048	0.11302711	19.731606	17.82094	108.759964	13.037766	12.750696	94.00419	12.102927	107.05607	192.58496	18.34706	17.900078	93.975395	245.39816	12.013834	18.186811	18.194548	97.333916	72.21557	89.93009	18.290665	17.504284	18.186398	57.16874	18.155228	0.007252679	17.772879	245.4738	18.34527	17.750513	18.065847	17.908188	0.00039861575	0.0057993606	12.16236	250.8922	93.73937	11.834857	32.44446	23.171026	18.150917	18.108816	93.092255	246.40237	12.770148	18.062407	68.00325	163.597	17.851812	12.661096	94.44189	0.0015916278	15.260974
G000204175	18.071657	18.0023	349.40082	14.487634	346.87698	107.18229	53.45128	6.2689147	32.198284	18.070786	103.64821	149.89336	18.070007	0.0	144.39899	31.743238	32.545483	9.404355	32.501682	333.1294	18.065447	18.047066	0.0074349158	20.638323	0.16148284	20.63848	0.012301655	0.010809446	0.015679747	17.328478	0.004899482	32.147556	32.75082	2.9237816	32.729473	0.011241455	0.003953655	42.446243	134.04247	20.638323	20.63846	0.08819156	17.551853	0.41077727	0.01115658	151.60176	3.634953	32.40539	143.75513	20.81461	121.5461	249.31633	0.055062205	0.04339308	143.72931	328.83563	27.967651	0.078005366	0.085555285	123.81675	79.18165	120.19771	0.15691587	0.15660341	0.07614057	57.69772	0.010135909	18.069525	0.07834135	336.77454	0.022285042	0.021787034	0.0047791377	0.011086868	18.059752	17.948605	20.461987	342.99698	143.38234	27.913101	9.403435	7.570547	0.0048582223	0.0076556345	125.13447	338.33014	32.472034	0.01103845	62.27815	233.97992	0.009028291	32.34579	144.31648	18.078745	1.54128
G001796285	94.47809	94.49311	72.18097	203.09773	71.34097	17.70883	96.609886	152.27309	93.42795	94.48217	187.71309	13.932192	94.48019	144.39899	0.0	93.04978	92.55726	173.52597	91.83879	63.64927	94.49717	94.58255	143.87704	77.77613	145.01385	77.77524	143.4096	143.49802	143.42505	96.16773	144.29468	93.606995	92.25411	133.83139	92.188	143.52193	144.20114	48.84562	259.91394	77.77613	77.77574	144.55182	95.65567	150.72676	143.49855	13.977638	124.373535	92.830475	0.011257332	77.49548	86.861435	35.789253	145.46056	143.89769	0.011247513	51.809372	69.83872	144.85486	144.79704	38.604115	60.84698	24.100275	145.02495	143.00618	144.8244	79.60258	144.53734	94.29812	144.31897	65.76476	145.2402	142.94188	144.14487	143.55904	94.51463	94.6756	78.60472	68.54005	0.012656186	70.23484	173.4271	138.75732	144.42867	144.53807	22.426369	66.75082	93.019394	144.17863	123.14745	30.002588	143.6319	92.64002	0.0033970028	94.48339	129.0826
G001625535	12.469297	12.447195	237.95708	60.791534	235.89455	80.23159	75.16483	42.35166	0.10727975	12.465488	152.48419	110.28717	12.464426	31.743238	93.04978	0.0	0.090325296	46.46442	0.087378405	226.1703	12.452687	12.457397	31.669212	16.009256	32.15914	16.009401	31.26151	31.336634	31.228327	12.608877	31.778582	0.11063854	0.11268399	23.823492	0.116484396	31.33115	31.69515	19.596792	199.00764	16.009256	16.008959	31.853611	12.559273	33.869766	31.342527	111.35404	22.484137	0.1115255	92.69879	15.927075	114.893036	191.19485	32.081444	31.476837	92.65748	235.97893	15.049727	32.017765	32.029095	102.42343	84.9616	99.090515	32.15674	31.032515	32.031124	72.32328	31.805328	12.419979	31.268534	228.48482	32.091614	31.282106	31.71858	31.572138	12.460489	12.466907	16.084099	233.61996	92.45036	15.015167	46.312645	38.551434	31.835987	31.79674	101.55284	229.0496	0.11840635	31.691961	76.59722	155.21608	31.393547	0.112084895	92.97674	12.459405	26.868877
G000470765	12.875198	12.854089	236.76288	62.12549	234.73041	80.283005	76.22015	43.30918	0.118555956	12.871276	154.24669	109.993004	12.870367	32.545483	92.55726	0.090325296	0.0	47.595333	0.07558362	225.04037	12.856501	12.863967	32.469273	16.313595	32.99138	16.313969	32.057713	32.131298	32.02137	13.040926	32.586025	0.12051546	0.10515593	24.589615	0.10549956	32.126663	32.494102	19.545456	201.03654	16.313595	16.313255	32.66659	12.977688	34.734016	32.13773	111.05087	23.244194	0.12566303	92.21191	16.225763	115.88115	190.23865	32.89385	32.273125	92.17061	234.96443	15.122684	32.823185	32.840042	102.80783	85.66779	99.23705	32.987324	31.828712	32.83719	73.2738	32.61479	12.825162	32.06829	227.3403	32.91028	32.077293	32.517967	32.37426	12.86539	12.873287	16.396292	232.4687	91.96514	15.106282	47.45059	39.435036	32.642616	32.59639	101.65082	227.90729	0.14101718	32.4919	77.67924	154.0686	32.19236	0.12867905	92.4856	12.864497	27.580032
G000471025	32.49541	32.423244	398.05658	3.0984237	395.59918	128.21895	49.03119	7.0076194	47.062435	32.49474	80.47721	176.10942	32.493053	9.404355	173.52597	46.46442	47.595333	0.0	47.367805	380.71014	32.48895	32.476933	9.368763	32.20162	8.660563	32.20148	9.500476	9.537586	9.587154	31.649504	9.310745	47.01451	47.763645	11.464793	47.67317	9.522255	9.403498	60.366333	101.61388	32.20162	32.202076	9.129512	31.93606	7.8835497	9.53598	178.12836	11.022703	47.45904	172.75325	32.446575	120.23418	284.7427	9.113069	9.481713	172.73659	374.601	46.8928	9.261511	9.137203	134.69539	80.01816	138.62524	8.705951	9.557682	9.300885	57.406826	9.206593	32.493538	9.623578	384.5139	9.08057	9.578564	9.378394	9.351958	32.48088	32.305637	31.831263	391.01056	172.38232	46.74321	0.04824077	9.721192	9.314474	9.486683	144.61179	386.1153	47.45339	9.403043	54.772015	280.18546	9.465058	47.32903	173.40489	32.49827	12.205638
G001625515	12.79317	12.7783375	235.61209	61.926983	233.58186	79.58872	75.64211	43.197365	0.12479588	12.7892885	153.25092	109.30393	12.788224	32.501682	91.83879	0.087378405	0.07558362	47.367805	0.0	223.90524	12.776229	12.785467	32.42384	16.08855	32.920807	16.08927	32.013607	32.087204	31.979021	12.966621	32.539276	0.12950651	0.09509433	24.498476	0.0980034	32.08223	32.44999	19.216068	200.02045	16.08855	16.088264	32.61246	12.905859	34.659584	32.093845	110.3595	23.084421	0.12816806	91.493416	16.000359	114.77287	189.2933	32.84176	32.232914	91.45219	233.73782	14.949342	32.78017	32.791573	101.776794	84.83248	98.40525	32.917793	31.792803	32.791756	72.501785	32.563675	12.74712	32.02326	226.19939	32.859528	32.03076	32.47449	32.32862	12.783914	12.795444	16.170998	231.30702	91.248924	14.928205	47.21592	39.248096	32.597088	32.55273	100.81732	226.76932	0.13796705	32.44744	76.90789	153.30405	32.146755	0.12359994	91.76602	12.783747	27.460081
G001796175	242.75902	242.92139	0.57440746	422.43826	0.6206151	113.302574	266.8955	349.46472	226.29214	242.76047	390.2138	81.85675	242.76097	333.1294	63.64927	226.1703	225.04037	380.71014	223.90524	0.0	242.77957	242.94615	332.4356	225.3046	334.3079	225.3025	331.58685	331.72723	331.5142	245.6998	333.12085	226.57872	224.40468	312.68488	224.3437	331.76593	332.89502	168.7643	486.7397	225.3046	225.30357	333.20023	244.81587	342.6516	331.7281	80.50252	301.55322	225.29207	64.1587	224.72815	212.642	51.311916	334.54166	332.23114	64.15285	17.874348	201.13853	333.68015	333.6688	131.55118	207.34312	115.53906	334.27866	330.80728	333.6058	236.32611	333.43918	242.55305	332.2057	0.15254803	334.52756	331.03024	332.8784	331.94315	242.81206	243.2105	226.77325	0.2232726	64.37984	201.79462	380.5185	329.38046	333.26672	333.2619	110.18698	0.3306237	225.46613	332.87204	290.10245	28.135141	331.92194	225.16545	63.72014	242.75845	309.432
G001007065	0.0004646603	0.007996258	255.9267	42.797707	253.63913	72.20244	57.580627	24.58707	12.664117	0.0004857971	127.67216	107.718506	0.0004988608	18.065447	94.49717	12.452687	12.856501	32.48895	12.776229	242.77957	0.0	0.0044545475	18.011705	12.097293	18.296082	12.094603	17.76519	17.81058	17.765184	0.1254988	18.088932	12.657468	12.989174	13.667814	13.015689	17.797144	18.050808	21.980225	172.34775	12.097293	12.097195	18.144316	0.112235986	19.726849	17.816147	108.77488	13.038012	12.738291	94.02119	12.106327	107.09914	192.59494	18.342573	17.89557	93.99237	245.42444	12.014614	18.182058	18.189943	97.35664	72.23974	89.954216	18.287003	17.499006	18.18185	57.190266	18.150597	0.0069399467	17.768036	245.49313	18.340637	17.745888	18.061138	17.903486	0.00014589069	0.005315432	12.165895	250.91216	93.756454	11.836256	32.440323	23.175795	18.146444	18.10419	93.11669	246.42215	12.758759	18.057365	68.02137	163.61154	17.847006	12.649773	94.45894	0.001118898	15.256358
G001007125	0.004961012	0.0039004164	256.1007	42.77082	253.80849	72.26581	57.61411	24.55917	12.670979	0.0049090353	127.69901	107.83001	0.0049636825	18.047066	94.58255	12.457397	12.863967	32.476933	12.785467	242.94615	0.0044545475	0.0	17.993813	12.101872	18.283133	12.099131	17.748611	17.793499	17.74813	0.12876526	18.071089	12.664199	12.996804	13.671887	13.024149	17.78019	18.032888	21.992035	172.36598	12.101872	12.101761	18.128323	0.116341755	19.710722	17.799135	108.888954	13.02114	12.74382	94.10615	12.111286	107.17432	192.71675	18.327122	17.878187	94.07714	245.58528	12.035551	18.164417	18.17386	97.45621	72.292885	90.03716	18.273966	17.482082	18.164198	57.22023	18.13393	0.005513933	17.752674	245.66046	18.324469	17.729376	18.042896	17.886595	0.004494205	0.006617375	12.171137	251.08144	93.840706	11.8547735	32.425743	23.138481	18.12909	18.08554	93.202484	246.58997	12.765651	18.040081	68.07426	163.7448	17.830101	12.655477	94.54395	0.003433771	15.234767
G001714585	18.018198	17.949085	348.70352	14.502287	346.18427	106.76537	53.122124	6.2429686	32.123394	18.017252	103.271706	149.3351	18.016582	0.0074349158	143.87704	31.669212	32.469273	9.368763	32.42384	332.4356	18.011705	17.993813	0.0	20.510815	0.16749945	20.510984	0.014032417	0.013202448	0.017091101	17.284552	0.005742776	32.072674	32.67332	2.9114273	32.647827	0.013272612	0.0059848493	42.224323	133.63751	20.510815	20.51089	0.09073018	17.50154	0.42449215	0.013012748	151.04929	3.5870082	32.33036	143.23479	20.687057	121.04763	248.59012	0.06656006	0.04776423	143.20946	328.10693	27.866072	0.08144039	0.08827146	123.34292	78.75286	119.72428	0.16500416	0.16211684	0.08324051	57.365032	0.013746676	18.016417	0.089915805	336.08365	0.02670997	0.021809738	0.0047366805	0.009526924	18.006174	17.89539	20.337664	342.29968	142.8629	27.814379	9.369963	7.514368	0.0068129753	0.015051605	124.65094	337.63992	32.398666	0.0103856195	62.024696	233.44162	0.012046969	32.269905	143.7952	18.024866	1.517231
G000700845	12.097825	12.058477	238.29865	44.83319	236.61188	57.53787	45.038834	24.092007	16.279669	12.095343	105.68957	86.63456	12.093714	20.638323	77.77613	16.009256	16.313595	32.20162	16.08855	225.3046	12.097293	12.101872	20.510815	0.0	20.693182	0.0001117034	20.32108	20.371576	20.30303	12.129608	20.601154	16.328802	16.264536	16.439861	16.307089	20.368452	20.5909	7.1380343	149.79579	0.0	0.0	20.65499	12.090469	22.31592	20.374313	87.782745	12.837636	16.29498	77.30684	0.005196256	86.23923	170.30061	20.914125	20.466629	77.27355	224.58975	4.68538	20.82454	20.724226	73.90524	51.014072	69.90367	20.692623	20.179693	20.801733	41.31163	20.655075	12.038327	20.506575	228.04008	20.851625	20.182417	20.55173	20.395224	12.100094	12.093395	0.019975273	233.36273	77.039055	4.672014	32.12024	21.796362	20.667398	20.695776	72.772026	228.97453	16.46705	20.555983	54.77677	148.7886	20.411037	16.21996	77.73216	12.104766	17.274628
G001401475	18.301645	18.234867	350.5852	13.546304	348.08157	107.51496	52.61459	6.005162	32.60638	18.300888	101.87511	150.21687	18.299875	0.16148284	145.01385	32.15914	32.99138	8.660563	32.920807	334.3079	18.296082	18.283133	0.16749945	20.693182	0.0	20.693542	0.16800995	0.17678057	0.17696998	17.556831	0.15469375	32.5579	33.17069	2.860861	33.14902	0.17625126	0.1680523	42.766502	131.89287	20.693182	20.693424	0.1413879	17.784565	0.32955402	0.17733034	151.94077	3.5251842	32.825382	144.3685	20.87219	120.50519	250.13159	0.13671418	0.16637665	144.34213	329.9582	28.295067	0.16160955	0.14345779	123.410034	78.49961	120.32467	0.0016325822	0.24781911	0.16007844	56.976936	0.13591978	18.305428	0.17207876	337.93515	0.12504819	0.18587556	0.16662653	0.15492909	18.29016	18.177015	20.495646	344.17035	143.99678	28.240969	8.659627	7.3416247	0.1543908	0.17966871	125.29834	339.48663	32.879807	0.16367422	61.111267	235.40924	0.16432294	32.761494	144.92871	18.310848	1.7193046
G000700905	12.095122	12.055763	238.29715	44.831367	236.61057	57.538586	45.04083	24.090767	16.279985	12.092636	105.69718	86.63548	12.091009	20.63848	77.77524	16.009401	16.313969	32.20148	16.08927	225.3025	12.094603	12.099131	20.510984	0.0001117034	20.693542	0.0	20.321316	20.371826	20.303186	12.127194	20.601444	16.32909	16.26512	16.439493	16.307795	20.368702	20.591074	7.1367135	149.80638	0.0001117034	0.000112263624	20.655024	12.088289	22.315828	20.374607	87.78348	12.83707	16.29567	77.305916	0.0051784595	86.24806	170.2936	20.913908	20.466824	77.27258	224.58923	4.6858125	20.824387	20.723991	73.91238	51.018738	69.90857	20.692991	20.1795	20.80154	41.318317	20.65524	12.035594	20.506687	228.03809	20.851862	20.182543	20.55194	20.395473	12.097389	12.090653	0.020063551	233.36096	77.038246	4.672276	32.12024	21.794704	20.667633	20.695911	72.77687	228.97258	16.467207	20.556053	54.78226	148.7891	20.411274	16.220024	77.731186	12.102016	17.273884
