	G001803285	G001580195	G000378105	G000172555	G000171235	G000019665	G000436395	G001919485	G001439535	G001304075	G001804885	G000385295	G001917935	G000264605	G000382665	G000383755	G001683795	G000817245	G000437075	G000155695	G000402275	G900141815	G000383735	G001914855	G001318295	G000953475	G001914875	G000383715	G000526255	G001831055	G000406005	G001647615	G000025905	G000020225	G001613545	G000172155	G000739615	G000493945	G001604585	G001940945	G001917295	G000285795	G000428305	G001604605	G001604625	G001603055	G000379365	G000980515	G000170755	G000438015	G000405145	G001438005	G001803205	G001804785	G001803225	G000382685	G000242935	G000723745	G001017655	G000372285	G001872735	G000972765	G000405125	G001580015	G000380785	G000019965	G000173075	G001578645	G001803255	G001803315
G001804885	145.56923	147.37526	75.31527	34.524956	189.92624	96.29201	127.91859	93.015434	72.21766	151.36563	0.0	24.20156	120.076805	48.222317	61.080112	50.37933	114.178955	118.42838	181.42706	106.189156	144.86868	58.217403	49.351765	104.717445	42.94727	101.46149	93.7106	23.834352	220.87271	83.02622	39.894405	147.53735	65.86087	132.48929	144.92506	136.82129	189.94373	145.93114	122.9605	126.09961	121.35572	49.887043	69.54127	21.055182	53.717373	315.17477	176.07593	112.83097	79.36577	87.27865	152.34805	109.34882	110.539444	34.76338	58.364986	58.4306	229.8316	138.12288	224.78181	33.839973	48.915115	184.25552	147.67351	247.38284	145.97281	301.84113	183.26077	147.30156	140.30122	146.50787
G000385295	210.49893	216.69485	59.697563	46.342297	228.91373	83.78217	192.86006	109.7822	76.324295	191.32767	24.20156	0.0	137.31747	28.651522	32.763115	24.811207	163.88615	89.64715	254.09012	109.37659	136.52417	60.223064	30.265219	122.20589	42.326633	76.25099	110.27067	4.1082253	264.24695	58.728764	45.03199	216.89066	71.57402	198.49316	182.94653	173.9729	232.03242	137.50388	175.71541	190.90755	184.71953	29.366161	57.966682	21.658041	78.25497	385.15164	216.24406	174.4983	47.38482	103.69593	143.36884	118.188286	101.642525	56.07377	77.42057	30.016212	288.96103	205.23134	286.1925	35.512062	35.980114	221.8912	138.53793	285.0416	137.51593	355.55777	224.77533	216.60837	204.44827	211.76593
G001917935	161.2514	240.74844	102.81181	64.2389	99.74503	217.39201	238.82162	4.5058703	39.50033	43.06241	120.076805	137.31747	0.0	100.02291	203.40746	184.84373	107.02272	265.8957	270.12772	60.187332	335.90988	126.24991	97.93051	3.287667	160.69914	242.89207	4.5426083	123.39539	135.53873	197.25772	93.60443	240.81831	56.772854	244.05212	79.27518	147.6243	109.82653	336.66882	101.360954	236.66968	231.46324	100.39223	52.690094	115.0466	95.9189	234.51982	109.04394	223.41776	197.58609	136.7713	343.87097	114.8354	291.8468	133.32753	195.59697	199.0124	121.50026	248.8244	115.14767	86.57623	160.44534	88.20191	339.06226	100.19959	336.8708	112.8616	55.946064	240.69337	159.60086	161.98212
G000264605	202.90456	219.59485	40.930305	42.233288	180.3091	71.760826	202.70758	78.64992	52.550022	141.32614	48.222317	28.651522	100.02291	0.0	52.194176	39.309464	137.15584	98.95375	253.94882	51.61614	181.71687	44.211823	0.6068914	90.14504	38.369102	81.45842	78.68822	26.300915	180.97066	66.158775	49.311897	219.74403	50.705006	208.27776	131.2182	143.9851	171.68091	182.51549	145.14772	200.85559	193.83961	0.46917218	42.275288	23.43754	54.980797	324.2025	142.40477	184.39607	59.775047	109.63878	188.73116	65.93765	141.01991	64.46679	106.53393	48.992184	238.01314	214.55096	230.44237	31.376135	46.40426	163.97275	183.59395	222.30104	182.57504	291.23038	168.50107	219.47867	198.14696	203.94768
G000382665	292.82642	265.0583	133.75504	105.37348	300.21323	47.86167	233.60408	177.0097	149.91061	276.69955	61.080112	32.763115	203.40746	52.194176	0.0	2.6778128	235.66298	35.985683	306.1388	170.57657	68.81471	127.59698	54.197456	190.70215	61.519947	30.913881	176.99814	49.861115	326.7206	24.240374	87.99809	265.26056	154.3395	240.73349	260.5183	261.00458	312.57593	69.12805	256.1414	230.96686	225.38614	51.88773	123.586555	34.081734	118.0706	451.66553	277.30194	214.93942	26.64504	92.00242	72.43892	154.17485	48.85739	55.460102	60.657066	1.2655853	358.67514	248.68019	359.85284	85.191345	25.53263	293.14713	69.48587	357.528	69.10143	437.59436	304.0227	264.95404	285.93835	293.82993
G000383755	264.9882	240.58267	114.42784	86.91813	276.43085	43.85328	211.04507	158.13695	131.89597	251.15852	50.37933	24.811207	184.84373	39.309464	2.6778128	0.0	211.16585	41.857906	280.11127	148.39201	85.64459	106.63053	41.249832	171.91397	50.144947	34.29526	158.12709	37.566284	296.57816	28.636787	78.24714	240.78133	132.17511	217.65982	233.1906	231.50285	283.64932	86.11701	232.33826	208.66568	203.00151	39.052795	106.61029	25.83169	99.33554	423.97943	248.24344	193.07735	31.508535	93.29846	90.06055	131.55739	62.2495	51.581257	61.858776	2.118714	333.56207	225.14407	332.58704	70.810875	26.47145	268.81113	86.63495	334.62704	86.09907	411.8162	277.72086	240.48418	258.32227	266.0414
G001683795	64.63465	86.29366	123.63346	68.68954	59.70037	214.19585	93.13458	93.36635	91.64627	73.87085	114.178955	163.88615	107.02272	137.15584	235.66298	211.16585	0.0	294.75586	100.61002	80.106834	353.96942	100.54969	137.43709	98.25914	156.07515	267.16342	93.76693	141.18584	84.816216	243.0457	139.49129	86.3069	82.57123	94.66912	41.013264	55.18785	61.840252	355.1856	52.22932	92.64582	88.94471	139.544	111.39809	124.36635	60.39144	116.95848	66.19123	85.89954	260.2178	176.20465	363.30322	76.11097	327.1444	140.85094	195.31464	231.65883	70.24718	96.40329	75.6709	114.51181	201.78168	64.41928	357.87418	116.750275	355.35385	141.93552	65.05591	86.19447	64.07407	64.940346
G000817245	377.0772	315.35306	195.29187	174.6853	363.05707	28.627285	279.8017	241.51677	215.27072	340.59772	118.42838	89.64715	265.8957	98.95375	35.985683	41.857906	294.75586	0.0	355.14026	225.4553	78.69283	184.37825	100.27307	253.94324	86.58369	1.8226836	241.05424	110.68668	365.6576	27.581238	155.36171	315.5645	226.582	287.35724	320.94418	325.54254	370.93167	78.350296	311.0746	277.06506	271.47876	98.12285	188.51294	71.57988	164.36401	507.60522	318.69577	261.44867	50.257988	118.04084	79.78974	205.26349	49.047882	85.84202	83.484856	37.835228	418.21945	295.87283	416.8587	152.03456	50.346493	355.66898	77.991196	403.30927	78.24864	492.8862	366.61673	315.24454	370.03976	377.99802
G000437075	101.505714	3.5372903	262.63348	160.2458	196.85355	257.22968	11.4816475	246.27835	255.88414	221.71458	181.42706	254.09012	270.12772	253.94882	306.1388	280.11127	100.61002	355.14026	0.0	245.6944	408.47675	190.1321	256.49695	255.361	222.10904	328.49176	246.33331	231.88596	184.75388	330.5448	276.2039	3.524292	225.15083	10.489341	153.19522	107.78501	169.48631	409.36795	140.65157	12.001924	12.484786	256.51147	266.35944	203.38794	123.77744	186.75389	161.10072	14.658868	359.23224	258.71094	416.72345	179.35318	381.9506	205.05168	232.64597	304.58826	186.6844	9.22294	174.36066	242.48697	293.91278	207.31082	411.11304	271.3075	409.54565	296.8736	199.23782	3.5565891	100.18132	102.16067
G000155695	161.89882	218.51222	53.898815	56.078484	95.760666	167.48506	216.99266	48.000706	36.46485	63.696316	106.189156	109.37659	60.187332	51.61614	170.57657	148.39201	80.106834	225.4553	245.6944	0.0	319.88422	63.43152	50.462124	55.43336	103.149185	199.28076	48.146942	92.870316	94.14381	170.36784	84.702194	218.59859	35.270073	221.13766	62.25498	103.17568	89.69256	320.88547	93.6622	215.52646	208.57884	52.604637	54.998962	85.01465	65.33045	215.99098	71.384674	201.00015	169.93257	157.32231	328.85742	50.86064	276.15747	126.35672	195.11687	165.5088	138.59132	225.61548	133.76578	61.93093	135.1852	78.26421	323.10483	124.7809	321.06708	168.73477	81.104355	218.38782	159.95357	162.65767
G000402275	421.7015	363.53403	290.9003	236.30743	427.23685	124.58223	325.99838	308.26562	286.2258	419.23102	144.86868	136.52417	335.90988	181.71687	68.81471	85.64459	353.96942	78.69283	408.47675	319.88422	0.0	279.35443	184.75029	322.85226	162.98163	83.46884	308.1725	172.94487	479.38538	63.0157	169.21436	363.77475	308.78552	334.3079	406.9541	419.49045	466.28766	0.55818415	380.22656	322.34888	318.22186	181.71391	266.64075	120.414444	235.1638	574.80396	429.1284	307.04492	80.141014	122.9767	1.071203	302.216	32.371067	102.361496	80.77339	72.61747	478.05435	343.28934	484.27338	193.00116	74.99618	429.3352	1.1544738	486.54898	0.5571821	567.4166	443.7221	363.42188	414.15286	422.28336
G900141815	153.20709	165.36263	17.80985	42.555492	161.7111	140.60605	158.81236	98.738686	51.029182	121.365974	58.217403	60.223064	126.24991	44.211823	127.59698	106.63053	100.54969	184.37825	190.1321	63.43152	279.35443	0.0	44.49988	109.74022	45.793472	159.40813	99.38887	44.56912	152.8212	155.3651	84.082466	165.48982	32.419075	161.59167	92.60826	66.67272	120.337555	280.12717	91.94264	158.07495	151.2644	46.22704	53.246418	61.704075	50.39563	268.46335	119.405876	143.75058	130.27373	181.54326	288.76016	76.38181	225.77979	114.33965	165.8108	122.767075	209.30882	165.7216	196.22026	53.61072	108.645454	141.94243	281.1726	196.49387	280.16162	265.93253	146.61629	165.30788	149.70238	154.41177
G000383735	204.83073	222.07132	41.000484	43.280174	180.519	72.72486	205.37694	77.08381	51.547653	139.08556	49.351765	30.265219	97.93051	0.6068914	54.197456	41.249832	137.43709	100.27307	256.49695	50.462124	184.75029	44.49988	0.0	88.3037	39.040886	82.59303	77.13742	27.4849	178.33115	67.08956	49.74056	222.22128	50.15891	211.00027	130.40213	144.3199	170.89612	185.48328	144.6641	203.55246	196.49928	0.7308113	42.303886	24.524889	55.348534	324.4464	140.25153	186.98405	61.080204	111.31645	191.70424	66.19629	142.43048	65.783	108.87891	51.0236	237.70714	217.2929	229.06271	31.674038	47.828213	163.58015	186.531	220.12584	185.54713	288.59683	167.34515	221.95961	200.16441	205.88896
G001914855	149.25165	226.26643	88.9711	52.147057	97.41867	207.49931	223.1341	2.0892456	31.082254	41.07878	104.717445	122.20589	3.287667	90.14504	190.70215	171.91397	98.25914	253.94324	255.361	55.43336	322.85226	109.74022	88.3037	0.0	144.04123	230.85202	2.252972	108.354	134.9224	186.97975	81.34783	226.34944	45.72889	228.22475	73.80269	133.72028	105.69641	323.70706	91.75478	221.12228	215.93082	90.63783	44.490356	102.61794	84.66153	231.95583	106.76141	207.79198	185.55687	130.65424	331.14117	107.88357	278.47934	123.14062	183.95085	186.22545	121.32557	232.95024	114.52702	74.29264	148.5974	86.47453	326.09476	101.91656	323.88513	117.92795	56.440704	226.224	147.51259	150.04059
G001318295	219.37927	190.00087	66.55175	68.208855	229.87782	70.66156	168.51324	131.07518	93.32634	188.57422	42.94727	42.326633	160.69914	38.369102	61.519947	50.144947	156.07515	86.58369	222.10904	103.149185	162.98163	45.793472	39.040886	144.04123	0.0	70.199036	131.207	43.364826	216.32227	71.50767	67.685074	190.152	82.840454	172.77644	169.81664	149.48262	212.24243	163.99724	149.26958	166.86465	160.4146	39.571125	88.46948	31.566944	69.959274	356.0817	173.61534	152.14369	73.70812	119.14033	170.50694	102.99123	122.371414	69.86592	100.60834	59.20497	283.44733	178.63031	268.65454	49.934826	50.06331	216.49286	164.59769	266.7667	163.99077	350.75894	223.59145	189.89383	214.00917	220.55495
G000953475	347.86758	289.9301	171.70557	152.82533	335.9055	21.89565	256.37122	218.47118	191.3769	311.44257	101.46149	76.25099	242.89207	81.45842	30.913881	34.29526	267.16342	1.8226836	328.49176	199.28076	83.46884	159.40813	82.59303	230.85202	70.199036	0.0	218.08348	94.33797	333.2408	24.66865	137.98224	290.13318	200.47835	263.6044	291.15656	294.47803	338.9673	83.19094	282.07278	253.7517	248.09807	80.83215	167.91899	57.70464	141.9649	476.47977	287.51337	238.35558	45.571686	109.22333	85.24924	180.48842	50.847427	74.437386	77.09638	32.19984	389.92743	271.7802	386.74783	131.84135	42.500706	327.09802	82.91868	376.1596	83.10838	463.83057	337.78363	289.82138	341.10263	348.80396
G001914875	142.1178	217.05434	80.741806	44.304123	96.4397	194.7174	213.20485	0.34263447	27.212084	40.70335	93.7106	110.27067	4.5426083	78.68822	176.99814	158.12709	93.76693	241.05424	246.33331	48.146942	308.1725	99.38887	77.13742	2.252972	131.207	218.08348	0.0	96.742325	130.96092	175.49695	71.66994	217.14334	39.150745	218.23189	70.72859	126.79764	103.7836	309.0606	88.26159	211.23619	205.92632	79.25588	39.388355	91.45859	76.192345	229.60791	101.989494	197.78035	173.62979	124.49305	316.47226	98.09028	265.74307	114.33129	174.11954	172.65602	122.44785	222.92911	114.08685	63.47854	136.37349	84.747826	311.38852	106.40565	309.24258	123.96109	57.41823	217.0048	140.17827	142.89294
G000383715	184.4959	196.8316	45.896538	34.357548	206.69092	93.14852	176.65504	96.253136	63.297287	166.36058	23.834352	4.1082253	123.39539	26.300915	49.861115	37.566284	141.18584	110.68668	231.88596	92.870316	172.94487	44.56912	27.4849	108.354	43.364826	94.33797	96.742325	0.0	234.76172	78.94244	46.620876	197.01907	53.51364	181.5917	156.2127	144.46335	202.58931	173.90375	152.09308	175.11171	168.8727	27.094297	46.970963	25.097555	65.60068	354.98392	188.95673	159.29364	67.35536	117.00215	180.52696	102.29672	131.6195	64.37931	92.76189	46.251495	264.85507	187.70662	258.69284	31.015192	51.81485	199.40831	174.9024	262.64493	173.93045	328.309	199.47086	196.75732	178.88873	185.81252
G000526255	136.2464	174.23244	182.15242	148.07625	102.73319	259.03366	192.01825	131.14247	146.09451	72.362816	220.87271	264.24695	135.53873	180.97066	326.7206	296.57816	84.816216	365.6576	184.75388	94.14381	479.38538	152.8212	178.33115	134.9224	216.32227	333.2408	130.96092	234.76172	0.0	326.48352	233.19836	174.20085	137.49953	193.40646	41.41177	87.68706	47.807335	479.9535	96.88841	191.62729	186.53288	181.78375	184.77672	201.31772	99.6355	113.72229	6.219654	184.10071	349.4906	279.12808	488.22684	86.5705	436.5643	235.36594	316.69318	321.74475	87.348885	194.3	63.9424	192.4435	291.35254	75.68386	481.8912	102.213	480.22955	117.04107	64.51159	174.16241	137.51355	136.37837
G001831055	326.25052	289.6005	154.36147	127.045906	298.31458	46.36928	256.59067	176.00816	155.34354	276.0085	83.02622	58.728764	197.25772	66.158775	24.240374	28.636787	243.0457	27.581238	330.5448	170.36784	63.0157	155.3651	67.08956	186.97975	71.50767	24.66865	175.49695	78.94244	326.48352	0.0	92.61278	289.79022	171.77023	264.2542	268.88004	286.53598	322.69928	62.83673	259.4289	253.60138	248.00777	65.708954	134.69678	43.22344	132.6571	458.8187	279.5163	237.41084	27.743763	70.67926	65.22323	170.4247	43.897675	53.896786	58.648945	25.338005	358.2366	272.5778	360.66727	99.094505	21.218601	293.26968	63.378197	341.50595	62.814804	426.5609	303.0432	289.47977	319.54855	327.2364
G000406005	182.5864	236.67816	75.862785	51.598465	183.228	138.4169	218.5127	70.91341	53.96109	137.39807	39.894405	45.03199	93.60443	49.311897	87.99809	78.24714	139.49129	155.36171	276.2039	84.702194	169.21436	84.082466	49.74056	81.34783	67.685074	137.98224	71.66994	46.620876	233.19836	92.61278	0.0	236.84521	56.099796	224.25032	155.51933	176.11392	202.34624	170.84853	146.76497	216.05301	210.16779	50.831055	55.79938	42.183468	84.10396	346.4436	189.56856	199.43939	88.856804	94.850136	177.45375	119.89222	149.1081	61.50197	97.21638	84.84632	235.4012	230.81895	227.66977	12.651525	60.64705	176.14638	173.12373	233.40479	170.94771	280.10992	174.2578	236.56679	177.82375	183.52856
G001647615	89.91669	0.0017735552	233.37042	133.91748	184.1042	224.51653	5.6176047	216.9698	225.09511	201.95169	147.53735	216.89066	240.81831	219.74403	265.26056	240.78133	86.3069	315.5645	3.524292	218.59859	363.77475	165.48982	222.22128	226.34944	190.152	290.13318	217.14334	197.01907	174.20085	289.79022	236.84521	0.0	196.33932	5.1583915	139.44969	99.729774	159.96877	364.77185	126.216385	5.9199452	5.9483485	222.27832	233.31163	169.47757	101.96318	187.65765	147.66432	7.056775	317.85947	222.46289	371.94492	157.4246	338.63165	169.99129	196.23894	263.48303	178.03212	4.6847825	165.66182	206.94928	254.61406	193.59517	366.6819	258.7491	364.92908	285.88824	184.7284	0.0019512143	88.07492	90.57883
G000025905	127.52578	196.22937	22.361273	25.697533	118.568886	178.69081	193.76236	38.34127	11.196188	65.72279	65.86087	71.57402	56.772854	50.705006	154.3395	132.17511	82.57123	226.582	225.15083	35.270073	308.78552	32.419075	50.15891	45.72889	82.840454	200.47835	39.150745	53.51364	137.49953	171.77023	56.099796	196.33932	0.0	197.27397	71.43367	79.510315	96.97881	310.0293	73.86964	192.58076	185.87665	52.382584	26.076042	72.47395	58.954845	245.80235	104.49073	177.37073	152.58716	160.28027	318.9788	77.11332	261.34537	118.84083	180.69318	148.34457	162.63792	201.67834	148.35707	35.266632	122.57982	101.643524	311.88416	146.53012	310.1501	189.72942	92.19114	196.15099	124.629944	128.6397
G000020225	103.1479	5.1363997	229.89317	128.68398	200.58876	203.69394	0.27534428	218.26654	224.52032	217.68945	132.48929	198.49316	244.05212	208.27776	240.73349	217.65982	94.66912	287.35724	10.489341	221.13766	334.3079	161.59167	211.00027	228.22475	172.77644	263.6044	218.23189	181.5917	193.40646	264.2542	224.25032	5.1583915	197.27397	0.0	155.0922	113.76509	182.36723	335.36652	137.86938	0.42171425	0.5814388	210.67142	228.12454	151.84067	97.46335	218.4494	162.2791	1.1699237	294.76187	202.81798	342.26166	159.28868	307.9034	151.6822	171.70161	239.30577	199.79236	0.16174658	190.05112	196.22551	231.4639	211.24765	337.18622	277.65735	335.48697	312.3663	204.28178	5.1297903	100.431046	103.89299
G001613545	81.67107	139.41759	108.75851	75.16675	49.21621	232.79106	153.28813	70.4806	74.79517	30.564123	144.92506	182.94653	79.27518	131.2182	260.5183	233.1906	41.013264	320.94418	153.19522	62.25498	406.9541	92.60826	130.40213	73.80269	169.81664	291.15656	70.72859	156.2127	41.41177	268.88004	155.51933	139.44969	71.43367	155.0922	0.0	39.62944	24.129545	407.61032	43.49698	152.68279	147.74443	133.11652	99.72926	146.44057	65.37994	90.65937	33.09484	143.92426	272.19882	214.31285	416.2059	66.39523	367.68185	174.58456	246.58649	255.74835	50.04287	156.74095	45.855648	123.98001	223.62141	29.468609	409.68893	64.84621	407.81998	85.410416	24.295849	139.38855	82.35794	82.03402
G000172155	71.6902	99.69351	98.84172	73.33741	88.87917	237.397	113.57469	126.27646	102.23942	83.78797	136.82129	173.9729	147.6243	143.9851	261.00458	231.50285	55.18785	325.54254	107.78501	103.17568	419.49045	66.67272	144.3199	133.72028	149.48262	294.47803	126.79764	144.46335	87.68706	286.53598	176.11392	99.729774	79.510315	113.76509	39.62944	0.0	45.663086	420.1529	49.546318	113.69827	108.95813	146.43169	123.01486	152.36453	68.62526	120.18094	71.449936	106.20005	281.96902	254.91464	429.76175	74.717896	377.1704	198.08205	261.87796	256.03577	106.70689	114.33994	99.54731	133.84534	235.66531	76.8728	421.7553	128.59717	420.28317	168.79478	81.59397	99.69186	71.7892	72.29419
G000739615	94.16935	159.96487	135.83719	107.117455	60.423344	275.169	181.06987	103.74395	103.22787	49.941147	189.94373	232.03242	109.82653	171.68091	312.57593	283.64932	61.840252	370.93167	169.48631	89.69256	466.28766	120.337555	170.89612	105.69641	212.24243	338.9673	103.7836	202.58931	47.807335	322.69928	202.34624	159.96877	96.97881	182.36723	24.129545	45.663086	0.0	466.59338	57.89913	180.54332	175.75111	173.72153	135.72287	193.01427	97.34923	80.00142	44.180073	172.43239	325.29053	265.65292	475.50095	93.17343	425.08383	224.60347	302.08142	307.44345	54.014706	183.34448	48.790607	166.42781	274.73425	35.60744	468.44156	68.0952	466.8032	77.57388	28.761534	159.94563	95.80767	94.465096
