	G001536165	G001536025	G001804665	G000375825	G001872685	G001576985	G001304015	G001304155	G001304035	G000402795	G000402455	G001458575	G001802895	G001803165	G001536145	G001804605	G001567545	G001536045	G001536105	G001802995	G001535985	G001803075	G001873185	G001804635	G001871325	G001516025	G001899175	G001577025	G001536065	G001536125	G001804625	G001803105	G001626695	G000405805	G001919105	G001626685	G001771055	G001302725	G000279145	G001626845	G001442845	G001442855	G001442935	G001442925	G001886815	G001626755	G001775365	G002011685	G001508355	G001802215	G001802205	G000258405	G001626675	G001567175	G001626655	G001643615	G001775405	G001535965	G001773465	G000478645	G001803345	G001485645	G001536205	G001803365	G001536085	G001802805	G001804555	G000402755	G001577215	G001509335	G001485625	G001804545	G001536185	G001804565	G001802785	G001302225	G001802865	G001802795	G001773425	G000403035	G001304315
G000402455	139.57495	136.61914	110.0522	27.484064	92.89061	40.05956	111.27208	67.58117	56.22055	91.605774	0.0	137.53403	56.306477	108.82034	136.72395	57.10652	74.33016	138.0153	158.78696	67.26743	135.5877	71.978645	107.120674	109.38527	104.48057	85.92912	190.27628	52.771294	229.89095	134.29904	136.99432	109.580986	130.05502	145.09427	157.089	123.62331	52.61784	124.24248	121.939514	53.943832	166.26657	160.59412	135.88214	135.58162	111.96035	126.498604	99.96026	119.42286	79.82203	118.19509	70.12644	102.519104	54.703854	101.68678	127.56184	76.91664	79.77826	134.32138	99.355995	34.417107	108.87562	165.93163	136.026	116.60581	135.87433	109.9246	137.97345	89.55413	226.21606	73.441154	135.58162	70.60634	137.72429	101.310684	75.452095	158.93533	90.130905	70.1227	83.19658	45.333153	69.43972
G001458575	1.0620456	0.18701696	103.716034	117.95094	166.62811	131.59627	198.92142	149.2613	134.85725	149.02016	137.53403	0.0	77.81287	103.25564	0.117740154	93.63168	139.67715	0.35758844	6.3015733	90.06777	0.20132835	99.98581	91.984276	103.180275	78.55434	142.60667	239.8207	145.6672	24.748095	0.2603258	186.75702	103.27128	203.84369	251.90208	192.81595	199.2854	161.75528	217.83539	147.83426	144.52055	6.5718827	10.478462	0.2506526	0.10581866	133.3072	201.72977	209.39677	208.90517	202.83774	177.14029	99.61922	90.80185	147.99142	199.05269	201.50806	95.405975	116.29168	0.1682558	204.17914	114.14291	103.296455	6.5545664	0.20478159	104.84537	0.25058535	103.65534	187.32846	156.25696	217.57964	192.56816	0.10581866	101.78519	0.29786345	116.83792	75.11675	191.7214	106.54958	101.37699	104.592545	137.41275	135.80103
G001802895	80.08365	77.795944	38.3883	39.139015	149.15288	81.73967	196.10121	129.90211	49.372643	43.1782	56.306477	77.81287	0.0	37.37886	77.65855	13.714406	41.37826	77.51248	89.395096	9.510293	77.328575	10.3592205	25.043507	37.942726	24.138685	28.357386	227.66321	93.81181	133.1819	76.129196	175.6917	38.00427	187.55586	110.08268	188.94276	181.70712	93.146904	207.64142	83.32469	94.231064	92.9994	107.330124	76.66686	76.93658	107.66821	185.24068	167.98514	174.0293	147.65062	166.4157	9.282817	13.044255	96.63676	153.94022	185.12282	78.20088	89.90332	76.25527	168.29565	47.271755	37.403526	92.802925	77.31234	45.714436	76.66102	38.84565	176.65833	46.681316	112.36339	139.68507	76.93658	9.979119	78.451775	29.469158	6.4397674	191.66315	13.442113	9.64511	85.939896	69.72585	117.34918
G001803165	104.08477	102.64569	0.033536624	93.50112	152.74403	112.595894	218.31595	158.91493	68.36292	102.86678	108.82034	103.25564	37.37886	0.0	102.55039	35.71097	89.91451	103.22211	125.19925	23.069794	102.07607	46.376354	32.410458	0.09312162	18.682087	66.19004	220.12808	128.12222	150.07828	101.32009	157.23032	0.009677915	182.19717	207.68855	177.21344	177.67995	134.30922	225.622	72.638535	129.21388	125.32313	131.09288	101.1215	102.060295	104.53957	181.5296	188.10358	170.10522	182.39375	154.77693	47.517796	46.475384	131.36603	138.25003	180.30305	70.18689	121.166855	101.65566	180.64548	71.85213	0.00044150723	125.13549	102.3105	1.5951413	101.11559	0.08206385	158.00166	105.920944	185.92194	172.07384	102.060295	50.531147	103.04886	71.33938	31.005585	165.56448	68.17973	49.811924	123.37105	88.746086	170.28358
G001536145	0.95858496	0.14622997	103.00364	117.84083	165.99129	131.1465	198.18047	148.53685	134.55879	149.19499	136.72395	0.117740154	77.65855	102.55039	0.0	93.47696	139.53488	0.34449625	6.602563	89.79915	0.1353646	99.9474	92.15999	102.48741	78.54955	142.76863	238.80438	145.35927	25.305378	0.18922721	185.6638	102.56293	202.77946	252.33789	191.88869	198.22346	161.5685	216.87097	147.59683	144.1877	6.879451	10.569701	0.19075371	0.04679112	133.4402	200.6714	208.78116	208.4449	202.25313	176.04054	99.63886	90.80159	147.66821	197.83473	200.4364	94.985115	116.40626	0.09803561	203.45557	113.62787	102.59078	6.862858	0.15061016	104.01437	0.19073033	102.93189	186.24197	156.47815	218.95076	191.96777	0.04679112	101.808624	0.26476675	117.054276	75.093445	190.61018	106.7775	101.3927	104.766304	136.70421	135.38167
G001804605	95.56121	93.21053	36.775764	36.41391	130.47783	74.023796	190.21881	133.90161	23.515076	54.061485	57.10652	93.63168	13.714406	35.71097	93.47696	0.0	36.027126	93.17656	110.77807	8.4716625	92.6725	15.446495	16.288483	36.17042	19.833784	21.472288	207.77545	82.110634	157.27664	91.418884	155.64832	36.39579	174.46008	114.05257	173.361	168.9025	81.24977	204.7828	49.82759	82.81808	114.97526	122.90262	92.16272	92.514565	89.34853	172.5468	171.60864	156.87932	132.98677	151.00238	13.228113	33.46727	84.99024	134.56158	171.84381	67.15647	92.211815	91.84616	164.96407	30.093523	35.726643	114.72737	93.05069	45.041023	92.156746	37.111908	156.34586	54.426163	112.04178	125.79893	92.514565	14.438866	94.079506	33.139404	11.446279	175.54387	31.709322	14.103876	95.42338	46.941673	123.1305
G001567545	141.51099	139.45552	91.11547	51.230587	155.40044	97.66953	216.36255	169.25745	33.277916	77.90532	74.33016	139.67715	41.37826	89.91451	139.53488	36.027126	0.0	138.97714	152.98918	38.65142	138.768	34.852627	44.420456	90.38927	65.33847	55.95182	244.37299	105.45021	214.1675	136.91911	198.12135	90.80727	215.85944	115.62224	206.09326	209.8224	84.97185	237.69453	88.467316	106.48224	158.00484	170.53958	138.08649	138.32957	108.292915	213.04703	195.72836	168.44133	131.23326	192.03871	31.59514	65.35961	107.474205	153.03441	213.07762	104.363144	117.06936	137.49446	189.17793	45.385204	89.954254	157.80545	138.925	101.26709	138.08177	91.58084	198.8327	79.92946	122.600494	127.37208	138.32957	31.54715	140.30414	58.08546	47.492405	212.20822	49.2864	31.6019	124.93714	61.272957	146.17389
G001536045	1.2315795	0.3960857	103.68593	118.306305	167.95386	132.76714	200.5174	150.16142	134.38707	148.43974	138.0153	0.35758844	77.51248	103.22211	0.34449625	93.17656	138.97714	0.0	6.254813	89.598724	0.37309247	99.24245	91.245514	103.15124	78.111244	142.01715	240.90349	146.8499	24.497362	0.42438295	187.88684	103.24234	205.34535	251.24129	193.78584	200.74055	162.08585	219.36917	146.8465	145.63252	6.5278487	10.602125	0.42451125	0.3235517	133.52603	203.20035	210.54404	210.04744	203.57472	178.32642	98.93225	90.423836	149.1933	200.14615	202.89786	96.03559	116.39835	0.37731302	205.45723	114.19373	103.2599	6.5073524	0.44608623	104.80034	0.42447662	103.63835	188.47015	155.71042	216.48462	193.42549	0.3235517	101.06618	0.49206746	116.4729	74.788414	192.83902	105.906395	100.67456	104.679565	137.52538	135.99252
G001536105	7.253969	6.735415	125.85633	130.66045	197.41571	155.37773	233.14445	176.40599	157.75206	154.48947	158.78696	6.3015733	89.395096	125.19925	6.602563	110.77807	152.98918	6.254813	0.0	106.41012	6.8428555	112.93002	106.03217	125.27874	92.78577	156.13573	278.4948	168.3332	15.901342	7.00048	226.21872	125.31811	240.98624	250.19476	230.65726	236.09325	183.90877	252.6786	177.2786	166.73247	0.9434807	10.537744	6.9410124	6.6079135	160.7306	238.29648	240.14166	241.50977	226.79497	216.53471	111.82154	96.301834	170.94702	238.08464	238.4815	124.42428	133.24315	6.710198	237.09256	137.31259	125.238716	0.9414821	6.7399845	128.26367	6.940545	125.866325	226.79143	162.11874	210.31088	217.35274	6.6079135	113.808	6.643803	121.81395	87.1029	232.76883	110.54464	113.469055	119.466446	163.55351	158.1459
G001802995	91.5748	89.82854	23.80134	49.18567	140.79227	85.631905	193.85745	131.79074	32.71546	61.375786	67.26743	90.06777	9.510293	23.069794	89.79915	8.4716625	38.65142	89.598724	106.41012	0.0	89.27865	7.439013	13.9399605	23.441391	12.723995	28.73065	209.66124	97.89896	147.56555	88.17438	155.80293	23.552305	173.47871	138.0034	171.27641	168.36194	91.062065	204.24155	55.84917	98.68934	109.056885	119.427826	88.55627	89.012825	89.28276	171.9095	167.9011	154.67776	139.3728	150.79195	7.685219	24.766863	100.741135	136.1698	171.22693	66.675804	91.88237	88.39727	162.9297	38.932175	23.091759	108.85568	89.28123	29.701698	88.55086	24.086227	156.54451	63.609325	128.39655	131.82965	89.012825	8.887064	90.53142	41.43294	10.45525	173.20049	23.893654	8.598188	94.16115	55.959084	123.630684
G001535985	1.0514015	0.16080579	102.53111	116.64981	164.1283	129.39455	196.43715	147.18549	133.17624	148.14671	135.5877	0.20132835	77.328575	102.07607	0.1353646	92.6725	138.768	0.37309247	6.8428555	89.27865	0.0	99.59771	91.45047	102.00877	78.03379	141.97888	237.12389	143.54813	25.848944	0.22002481	184.08894	102.09082	201.27304	251.19261	190.28276	196.73042	159.68704	215.29143	146.43619	142.3597	7.170601	10.778198	0.20923594	0.09767229	131.34515	199.14969	207.00713	206.63853	200.74269	174.55971	99.2069	90.9912	145.79617	195.8106	198.92331	93.46422	114.87259	0.14389887	201.69693	112.41044	102.11645	7.1485243	0.20056446	103.60629	0.20921156	102.46361	184.66348	155.27104	218.31372	190.47473	0.09767229	101.382675	0.32930988	116.78249	74.5967	188.66373	106.66199	100.96952	103.32798	135.42056	134.13838
G001803075	101.60192	99.98585	47.424694	53.108322	173.49413	103.75993	216.32137	144.30664	42.289223	50.353443	71.978645	99.98581	10.3592205	46.376354	99.9474	15.446495	34.852627	99.24245	112.93002	7.439013	99.59771	0.0	21.033102	46.88399	25.665941	24.683023	243.88216	116.65677	162.2968	98.03811	192.41673	47.107037	206.2584	116.28993	204.82753	200.82166	102.6278	226.35857	72.148415	117.28144	116.7748	133.10463	98.874054	99.07254	109.70983	204.20314	181.9556	182.9894	154.67674	185.38058	0.87673646	24.852732	119.75482	171.44998	203.83832	91.31502	96.42623	98.391174	183.4113	50.616913	46.407375	116.57858	99.505066	55.77373	98.868935	48.032936	193.27463	53.449707	110.17735	148.14006	99.07254	0.9463094	100.76587	42.059643	15.449689	213.84818	11.448492	0.95152545	95.01953	71.0947	121.36862
G001873185	93.65917	91.80081	33.227272	72.58861	169.12619	114.61934	237.04582	178.76804	40.755253	67.56058	107.120674	91.984276	25.043507	32.410458	92.15999	16.288483	44.420456	91.245514	106.03217	13.9399605	91.45047	21.033102	0.0	32.84482	10.684403	32.296963	234.14642	124.368645	141.86299	90.14041	184.36002	32.957874	209.8652	138.48846	193.53445	204.98955	120.83141	252.54788	54.915283	125.22589	108.61409	122.60396	90.520294	91.24856	91.507645	208.57071	217.28412	188.81276	180.38557	184.68709	18.767374	35.061913	127.49543	168.21364	207.39128	82.3439	117.13301	90.92386	210.0767	58.53807	32.43609	108.41399	91.90215	40.78013	90.51578	33.71396	184.89748	70.323425	101.23124	172.52948	91.24856	20.382778	92.596	44.866703	15.80027	195.54599	35.435753	20.203447	118.20376	79.31213	162.46454
G001804635	104.01105	102.569244	0.111810505	93.95778	152.35855	112.65769	217.89365	158.76343	68.5117	104.053345	109.38527	103.180275	37.942726	0.09312162	102.48741	36.17042	90.38927	103.15124	125.27874	23.441391	102.00877	46.88399	32.84482	0.0	18.945198	67.13247	219.72621	128.12018	149.92961	101.23771	156.76445	0.088278085	181.74602	209.36581	176.80379	177.24896	134.40656	225.41693	72.4441	129.18275	125.34847	130.94139	101.05247	101.99685	103.91366	181.07521	187.92874	169.3986	182.02585	154.29703	48.091717	47.209427	131.33943	138.05746	179.84663	69.86664	121.03055	101.58327	180.36752	71.95339	0.0934134	125.155846	102.228714	1.5427277	101.0466	0.12931503	157.53235	107.045494	187.32423	171.72351	101.99685	51.121098	102.98573	72.162575	31.563286	164.9648	68.99836	50.399742	123.34385	88.713585	170.32758
G001871325	79.96531	78.41414	19.13819	73.44017	148.96309	104.49342	214.68701	151.53719	47.287704	82.71684	104.48057	78.55434	24.138685	18.682087	78.54955	19.833784	65.33847	78.111244	92.78577	12.723995	78.03379	25.665941	10.684403	18.945198	0.0	46.79405	219.28188	116.30357	119.214035	77.318695	162.07193	18.9471	184.302	176.97974	176.36646	179.91957	113.31993	227.0944	53.560337	117.194725	93.79822	102.58275	77.21587	77.9575	83.31403	183.37833	192.85828	165.73347	163.48807	160.21982	26.02086	34.388542	119.494865	152.96716	182.13266	64.70564	101.53399	77.660225	185.38954	55.857254	18.69716	93.61648	78.35571	23.143852	77.21024	19.442875	162.66426	85.314445	133.06819	155.29202	77.9575	28.438353	78.97685	52.764072	17.321293	176.42392	44.264328	28.080652	103.25738	73.22772	143.57512
G001516025	144.82375	142.26862	67.6621	62.079304	207.0251	117.99849	258.0041	184.76913	57.076553	35.189137	85.92912	142.60667	28.357386	66.19004	142.76863	21.472288	55.95182	142.01715	156.13573	28.73065	141.97888	24.683023	32.296963	67.13247	46.79405	0.0	277.9111	124.52069	211.33769	139.9859	231.40662	67.27474	246.54543	73.085884	243.23062	240.50943	128.07536	267.85724	88.18825	125.10701	162.17805	182.03357	141.27556	141.50218	145.55547	244.28677	220.37468	228.82959	197.84793	226.56741	20.712318	42.74307	127.87629	210.67865	243.67065	124.10904	127.42958	140.56471	224.65372	73.92563	66.212555	161.8964	142.55856	80.29553	141.2695	68.768	232.32251	35.625515	79.99673	190.28133	141.50218	20.954212	143.43825	33.707657	23.628733	251.67087	27.28938	20.664373	123.52937	99.21832	164.89494
G001899175	241.8279	238.20424	220.02106	207.26288	120.07582	153.49661	114.309204	160.6404	172.25073	327.1152	190.27628	239.8207	227.66321	220.12808	238.80438	207.77545	244.37299	240.90349	278.4948	209.66124	237.12389	243.88216	234.14642	219.72621	219.28188	277.9111	0.0	166.93819	323.48117	237.5425	34.417694	219.90811	76.46725	433.35977	50.042885	75.6554	163.9828	138.11827	176.65092	168.27998	280.0724	247.38573	237.46428	237.88036	146.35086	76.884705	183.79132	120.34974	163.51591	49.259285	245.20796	286.6783	166.14067	93.33544	76.22831	121.53712	211.20428	237.22661	145.61742	148.55304	220.1812	279.7022	237.47353	214.73338	237.46156	218.62259	34.12389	323.77982	477.15308	154.70496	237.88036	248.54955	239.50642	304.8355	239.45642	69.58935	296.6459	247.78082	233.378	138.5325	202.52534
G001577025	148.89424	144.79634	128.93019	32.448048	43.786724	4.0816154	88.3629	71.23287	70.52395	131.40143	52.771294	145.6672	93.81181	128.12222	145.35927	82.110634	105.45021	146.8499	168.3332	97.89896	143.54813	116.65677	124.368645	128.12018	116.30357	124.52069	166.93819	0.0	231.10387	142.84956	118.85665	128.61212	119.06483	195.58179	135.93103	113.01038	39.029408	128.51784	130.34697	0.6202828	173.88145	164.34483	144.18153	144.06422	72.99307	115.00886	96.91855	79.30714	55.030476	106.77125	111.700035	146.20035	0.47146404	81.683464	116.6543	53.337463	71.48411	143.02298	86.31104	46.483055	128.18039	173.55638	144.71268	134.55394	144.17548	128.57225	119.52237	128.40054	249.58948	49.109364	144.06422	113.66567	145.9107	121.528305	99.93451	130.73871	141.4512	112.97813	81.02766	53.92806	85.91618
G001536065	25.77238	25.536217	150.44052	196.23784	247.62044	217.50865	300.25043	241.0565	213.49858	216.58249	229.89095	24.748095	133.1819	150.07828	25.305378	157.27664	214.1675	24.497362	15.901342	147.56555	25.848944	162.2968	141.86299	149.92961	119.214035	211.33769	323.48117	231.10387	0.0	26.632198	268.3366	149.85443	290.93646	333.85132	273.36768	287.01926	249.99565	319.567	212.94606	229.26816	13.074766	22.78785	25.915655	25.720274	201.9296	289.22864	309.90875	294.70758	294.5395	261.4501	162.5557	126.63948	233.9139	290.81937	288.74332	163.95535	190.37732	26.03589	302.40027	194.39429	150.0961	13.141793	25.52933	149.34721	25.915796	150.14462	268.8193	224.83344	259.7698	284.13757	25.720274	165.5936	25.200174	161.85397	126.29847	269.63068	160.03934	165.11523	177.28357	219.80957	229.52162
G001536125	1.1036263	0.23131049	101.78055	115.22626	164.02634	128.82431	196.23311	146.95308	131.87358	146.29968	134.29904	0.2603258	76.129196	101.32009	0.18922721	91.418884	136.91911	0.42438295	7.00048	88.17438	0.22002481	98.03811	90.14041	101.23771	77.318695	139.9859	237.5425	142.84956	26.632198	0.0	184.3232	101.344955	201.17471	248.37454	190.22412	196.63058	158.88835	215.10826	145.57329	141.70384	7.4394484	11.13339	0.29397777	0.15304722	131.29599	199.07658	206.4608	206.5174	200.09901	174.79176	97.561584	89.81362	145.13777	196.0271	198.85251	93.40927	114.06432	0.19356108	201.37584	111.50596	101.3603	7.418456	0.27567035	102.94221	0.29397047	101.72735	184.90004	153.39406	215.78549	189.85205	0.15304722	99.699135	0.40073594	115.27122	73.35162	189.30695	104.984276	99.286514	102.41129	134.58513	133.47644
G001804625	188.28824	185.09503	156.93387	156.51938	63.718266	103.707565	70.77047	100.30675	120.60517	283.01056	136.99432	186.75702	175.6917	157.23032	185.6638	155.64832	198.12135	187.88684	226.21872	155.80293	184.08894	192.41673	184.36002	156.76445	162.07193	231.40662	34.417694	118.85665	268.3366	184.3232	0.0	156.94995	34.197315	396.8289	24.69797	33.0862	113.994545	83.00172	123.136826	120.14368	227.27943	190.86215	184.63103	184.94574	94.503044	34.258316	120.784	66.362564	109.758484	8.244349	195.0537	235.82527	118.530464	53.517876	33.68042	63.001537	148.85875	184.325	86.178955	96.63042	157.2729	226.9271	184.34798	150.46474	184.62567	155.59286	0.08310887	279.1966	436.72205	100.45244	184.94574	198.85202	186.42928	252.37265	187.5503	37.53074	249.80081	197.9215	170.28456	87.54136	143.78004
