	G900101435	G000422945	G000192845	G000757725	G900109895	G900103545	G900142915	G001636615	G900107535	G900112985	G000783305	G000426825	G002000245	G900101875	G000170795	G001705515	G000242635	G000988325	G900103515	G001412655	G001899705	G000302595	G000747525	G001423945	G900100945	G900100435	G001652725	G900102835	G000832545	G000416985	G000258495	G001421515	G001006065	G001596135	G000427965	G000814685	G001027745	G000023825	G900111825	G001808025	G001442625	G900109365	G000722885	G001898335	G000799115	G000304455	G002013915	G900103125	G900116225	G900100705	G000410815	G900129215	G000686625	G000403135	G900109575	G000190735	G900155965	G900110415	G000333295	G000708265	G000020565	G000166195	G001412215	G900103665	G001730525	G000689375	G000425145	G001721645
G000783305	106.170235	86.134964	18.893425	17.48833	38.436066	59.202606	96.8684	130.49954	64.993546	45.80433	0.0	109.420715	12.670267	102.68566	63.30929	138.72696	56.425476	11.423495	47.167576	46.138126	12.143734	84.90187	28.305502	78.42902	99.73214	42.156033	170.0366	17.99281	79.61587	5.090032	72.28486	95.75001	44.74564	84.56784	26.116102	11.237752	56.115406	84.03392	75.11576	12.37453	79.17425	81.10394	45.728687	112.11169	133.61842	91.18343	134.81639	92.056274	8.766586	78.08655	83.76781	58.613354	21.27737	46.208893	27.588507	56.07063	86.17253	125.088066	134.06502	91.46078	118.515785	92.690895	77.471375	51.08286	42.030598	98.68087	136.52612	55.93301
G000426825	127.14942	199.08557	88.35764	68.7169	68.09201	169.67116	115.11265	94.69679	94.02666	130.26736	109.420715	0.0	101.61996	85.659355	73.51221	71.57681	173.74655	104.4603	131.08675	123.57801	107.375084	191.72214	176.6749	136.16223	85.9733	127.64432	348.85333	142.56776	173.56369	105.99769	162.13232	166.37946	199.72897	74.27609	48.739887	97.76401	112.7514	103.30788	134.16652	110.72228	150.37665	40.64057	130.16074	82.53199	268.5852	233.44817	60.07476	91.91607	91.92898	149.56331	103.26368	121.41441	65.98569	167.18483	130.64468	197.29916	98.71045	95.77148	88.70365	197.94592	283.65756	86.18098	174.51668	109.43481	159.02275	246.1145	279.00388	124.077065
G002000245	64.53844	50.154274	9.294859	13.267576	18.29669	31.630508	57.76731	95.06377	34.998825	22.391506	12.670267	101.61996	0.0	66.12997	42.587505	103.08368	34.552776	1.2378843	23.340384	22.5357	1.4552425	60.42039	22.477364	44.83689	62.797134	20.754814	140.73795	13.246768	47.631454	10.183765	40.234524	56.680763	31.485922	52.829792	27.954676	18.726227	26.313663	46.73566	38.335323	1.8324828	44.1107	73.77678	22.36156	80.33661	112.01871	85.914276	106.62921	56.447224	8.640068	42.5924	46.5461	31.081995	10.084593	27.986012	16.431702	40.245377	52.08639	86.62529	93.49367	56.993587	120.66666	58.80982	53.34863	24.881075	25.040066	91.62188	114.9119	28.728916
G900101875	22.409792	85.89706	49.34167	56.767536	27.221766	89.27748	9.941306	5.705676	49.533634	63.683567	102.68566	85.659355	66.12997	0.0	68.73023	17.713518	72.72107	69.00189	63.91162	65.49642	69.32879	78.756874	103.00323	41.70355	1.9611282	47.313663	184.89182	106.346535	83.33018	88.33003	58.55042	45.308384	108.68743	4.2270436	74.104225	101.07371	35.44558	29.636354	32.2657	71.17992	40.326252	78.28271	63.689922	5.282071	130.58861	135.05284	19.34921	4.037482	78.49715	39.5987	29.657764	71.76175	61.09594	77.74506	61.928574	102.43928	5.23473	3.738848	6.245665	73.97913	178.33461	2.9935622	69.9079	62.73132	75.50868	141.6152	135.84853	68.88329
G000170795	80.74472	97.92653	51.901573	45.25851	29.09627	59.309135	74.88885	94.43442	13.157127	39.401962	63.30929	73.51221	42.587505	68.73023	0.0	80.75223	88.50049	49.555214	39.526924	30.688704	51.43551	133.42754	102.10377	83.77716	63.979523	51.7371	255.7385	61.186966	61.580246	54.915073	87.50235	99.62775	113.7963	51.857925	38.121758	56.650745	39.639942	33.050537	67.34957	53.877064	85.13945	46.599407	39.286846	72.81608	200.76495	186.37271	86.88246	60.130486	49.58418	81.393974	32.942883	21.537458	21.973341	73.79356	76.66651	114.318016	64.1188	91.48354	84.10431	108.40028	220.93134	67.405685	113.99228	18.378134	66.96337	192.84222	207.06305	24.54497
G001705515	57.24601	155.04681	83.2334	77.56547	53.29069	149.67079	47.011654	16.419693	75.3628	111.42158	138.72696	71.57681	103.08368	17.713518	80.75223	0.0	138.36757	107.48101	111.472824	112.39185	109.783745	147.63496	168.8424	88.789734	18.506231	99.039276	290.46277	156.10341	143.00443	125.296974	116.56188	101.45451	181.09567	19.571331	84.66995	135.29337	75.950195	62.339497	78.61649	113.00392	91.86469	59.823837	111.37321	14.8973055	219.53996	215.45787	8.757481	23.516497	112.38215	91.78068	62.39496	112.445526	78.56525	142.78848	116.70628	176.51527	30.901167	16.984888	8.979184	144.4187	270.27875	19.137003	134.04565	99.83464	137.64946	225.04387	226.88443	111.39477
G000242635	45.346478	17.472706	30.276457	56.93202	46.45309	19.780241	44.16034	99.44451	57.36432	22.090782	56.425476	173.74655	34.552776	72.72107	88.50049	138.36757	0.0	32.24329	22.74397	26.301977	29.752026	23.404799	17.52579	24.954235	68.455826	11.332527	65.16591	36.450417	28.484749	45.030735	14.198527	22.682732	15.103942	65.57671	94.34923	59.327923	20.573044	49.78891	21.317694	28.566597	19.076658	160.41812	22.155138	89.11829	48.01544	59.69061	138.19688	62.608295	43.87435	18.290564	49.655888	40.259575	64.710045	7.329026	13.279725	13.813212	52.158527	91.24747	105.96134	15.343198	72.30523	68.20147	22.331425	38.857906	8.568824	61.000343	49.08141	35.614513
G000988325	65.206856	51.55991	7.883318	12.25131	21.554346	34.878136	60.21229	97.66064	42.335743	26.190079	11.423495	104.4603	1.2378843	69.00189	49.555214	107.48101	32.24329	0.0	27.274157	25.292624	0.23596548	55.40291	18.775043	42.490276	65.808685	21.303835	133.97864	12.229632	53.226967	9.962098	38.190895	55.256557	28.311459	56.02762	29.526781	18.112299	28.190859	52.31216	39.103592	0.42336592	43.32578	78.67837	26.162663	83.45853	106.2638	82.146	109.5307	60.320152	7.598044	42.306347	52.115166	36.069103	13.732648	28.166538	14.3203335	38.05176	55.137173	88.93957	96.8948	55.71439	115.97892	61.229256	49.111668	29.404242	25.550869	87.7046	109.36524	33.856293
G900103515	48.59498	23.343554	28.630928	42.517483	26.711426	11.243611	46.009556	92.531624	16.800186	0.07877019	47.167576	131.08675	23.340384	63.91162	39.526924	111.472824	22.74397	27.274157	0.0	8.500087	26.088018	55.382942	36.376076	37.04621	60.650814	11.961451	123.60163	33.133083	8.716839	34.098885	30.611471	41.385464	36.346302	50.255116	65.10356	43.97117	12.458808	25.42207	25.080269	26.143587	32.026806	111.6092	0.08031355	75.85745	92.70904	93.11158	115.727905	52.9896	33.534878	28.582848	25.300182	12.531346	32.357178	13.422647	24.55664	31.056324	47.798325	87.479904	93.47947	35.393543	108.82989	60.922638	50.725822	11.369265	11.428901	95.23112	95.084076	8.531617
G001412655	46.19002	30.030333	28.978258	41.348804	25.283995	14.04099	49.042313	95.48319	17.46873	8.248842	46.138126	123.57801	22.5357	65.49642	30.688704	112.39185	26.301977	25.292624	8.500087	0.0	24.346535	55.49703	38.82768	37.48819	61.260242	9.87804	128.35966	27.117704	17.37879	35.545967	28.719538	40.216362	41.124077	51.226772	57.863945	44.61351	11.32745	21.686996	23.989645	24.670553	31.54792	104.05414	8.233555	77.969505	96.10714	98.41728	115.47609	53.7872	33.314304	28.492329	21.565102	5.4674773	31.897789	16.8335	27.951424	37.81592	49.234978	88.685616	94.15041	34.995358	122.123985	62.422764	45.410103	4.966573	14.675835	100.5127	99.82839	4.591451
G001899705	63.68827	48.207737	8.104012	13.403372	22.52423	32.894997	59.22121	98.11988	42.72532	25.001316	12.143734	107.375084	1.4552425	69.32879	51.43551	109.783745	29.752026	0.23596548	26.088018	24.346535	0.0	51.57564	16.517248	40.369816	66.05271	19.777298	127.23407	11.957438	50.821808	10.251778	35.456203	52.455013	25.261204	56.612854	32.07597	18.844374	27.115519	51.84076	37.139942	0.15803099	40.896996	83.34369	24.986197	84.2369	100.62902	78.18287	111.690605	60.52628	8.053398	39.849323	51.645145	35.603878	15.316063	25.931314	12.859895	34.7014	54.905228	89.334946	97.81637	52.08939	111.446106	61.6121	45.947823	29.26543	23.633387	83.53169	103.59214	33.272377
G000302595	40.973694	33.13146	49.205025	74.84181	69.39549	59.74156	52.55215	97.56334	97.210884	54.63726	84.90187	191.72214	60.42039	78.756874	133.42754	147.63496	23.404799	55.40291	55.382942	55.49703	51.57564	0.0	32.970867	19.87465	78.26484	27.909267	38.19957	69.09599	61.417236	73.2244	15.887573	17.469948	30.037241	75.51808	122.69971	88.064354	39.03094	70.51394	25.167574	50.15465	17.200495	194.88394	54.77487	97.598724	21.588058	48.741695	142.77362	74.1069	67.36402	18.021757	70.40899	77.50282	97.65313	33.148872	27.422373	21.332561	61.48945	89.56901	109.14613	17.830452	73.2128	72.1264	12.228594	73.7498	36.767776	49.11412	23.760279	72.19165
G000747525	79.41172	36.520306	27.21578	44.95735	54.338787	33.537556	75.68865	132.92326	77.55082	35.274685	28.305502	176.6749	22.477364	103.00323	102.10377	168.8424	17.52579	18.775043	36.376076	38.82768	16.517248	32.970867	0.0	45.91404	99.80741	23.51365	69.2643	21.81601	50.76946	25.59408	30.346878	48.397144	3.2868414	91.63416	80.139	39.71502	41.768562	78.806206	44.168777	14.999905	40.591553	158.4315	35.323162	121.42935	56.75769	43.470818	167.64737	90.47125	28.999958	39.526863	78.59116	59.257156	55.9485	15.689935	9.982841	13.551387	78.36831	124.0681	141.93584	34.801807	63.40102	93.9982	33.472332	55.63378	16.561129	46.731983	56.74401	54.103607
G001423945	15.23156	28.747274	34.287216	51.38012	38.98558	46.91191	28.297562	61.522022	57.821766	36.66421	78.42902	136.16223	44.83689	41.70355	83.77716	88.789734	24.954235	42.490276	37.04621	37.48819	40.369816	19.87465	45.91404	0.0	40.37545	20.422232	81.746704	62.20328	51.150898	69.284	6.5787067	8.417931	46.12856	38.114594	89.0659	78.76451	14.233501	38.458355	8.134649	40.152348	7.712959	130.85255	36.76229	58.452076	60.184254	88.77124	88.73247	41.847336	55.088905	7.63582	38.40889	50.596294	64.70039	35.312588	29.256306	39.129154	34.7096	50.853325	61.48111	18.827179	121.642784	37.36958	22.701735	45.48789	36.426517	90.18268	64.35619	47.234367
G900100945	21.774118	81.53973	47.513206	55.773823	26.39901	82.59239	8.921571	8.705947	45.134552	60.378822	99.73214	85.9733	62.797134	1.9611282	63.979523	18.506231	68.455826	65.808685	60.650814	61.260242	66.05271	78.26484	99.80741	40.37545	0.0	44.585598	183.51155	101.409676	78.492516	85.84705	54.97997	43.859165	105.07177	4.8286448	73.561295	98.94809	31.764158	27.527704	29.875275	67.88117	38.860546	78.00267	60.389736	7.29107	130.91959	137.04237	23.324703	3.11712	76.174065	37.849663	27.547096	66.04751	58.368973	73.845474	60.85538	100.52335	4.5659866	5.2258625	5.9665546	70.743286	180.4141	2.9239078	68.908714	57.735344	71.561356	144.03789	135.74498	63.82921
G900100435	28.83612	23.166964	20.01958	36.72793	22.215473	18.328215	29.130165	70.125336	29.87368	11.540267	42.156033	127.64432	20.754814	47.313663	51.7371	99.039276	11.332527	21.303835	11.961451	9.87804	19.777298	27.909267	23.51365	20.422232	44.585598	0.0	91.102165	30.839108	20.467402	31.156927	14.598502	19.425425	25.012228	38.158558	62.188503	44.636375	7.292618	20.959059	11.225579	19.615288	13.211204	115.41933	11.572095	59.36008	59.13959	61.64303	99.16553	37.732384	30.655304	11.866722	20.846544	19.922926	38.446503	8.27329	11.83169	21.085842	30.875168	64.503136	75.82066	18.158667	84.488525	43.39435	19.70498	17.887575	7.8199973	64.518974	61.556747	17.029333
G001652725	121.01714	59.39187	136.66412	180.41077	167.85303	105.57679	130.59004	211.58966	195.53868	122.9258	170.0366	348.85333	140.73795	184.89182	255.7385	290.46277	65.16591	133.97864	123.60163	128.35966	127.23407	38.19957	69.2643	81.746704	183.51155	91.102165	0.0	134.37953	113.27202	159.21207	60.583736	64.58745	53.681408	183.5466	249.67159	180.85104	115.016365	160.4567	88.11529	123.544304	71.902176	356.29068	123.16975	214.77606	21.53601	64.55161	286.75183	173.98637	160.38324	71.61682	160.34633	160.27113	206.47105	75.657196	83.455635	48.797787	153.31667	197.59941	229.88264	44.26448	75.459915	175.62677	55.10041	160.78477	84.29454	61.647415	18.880072	151.35756
G900102835	93.14386	54.784557	24.74485	33.65775	42.646046	29.338572	90.0458	142.05862	54.635067	31.951168	17.99281	142.56776	13.246768	106.346535	61.186966	156.10341	36.450417	12.229632	33.133083	27.117704	11.957438	69.09599	21.81601	62.20328	101.409676	30.839108	134.37953	0.0	55.74207	18.994127	49.068398	73.01921	31.44449	90.10542	46.293163	24.213938	41.4516	72.17816	56.876087	11.756031	60.730385	109.700836	31.90512	123.588	114.19728	94.60516	157.09225	93.749176	17.555357	58.988316	71.93731	37.290455	32.016705	28.94164	26.394934	40.759617	86.88997	132.82014	140.53806	62.701427	118.807976	98.59348	61.0818	34.030178	26.315649	98.151436	117.41338	35.877693
G000832545	58.512726	21.452208	56.798897	79.1436	49.938156	12.828869	54.82729	112.68709	27.65561	9.12401	79.61587	173.56369	47.631454	83.33018	61.580246	143.00443	28.484749	53.226967	8.716839	17.37879	50.821808	61.417236	50.76946	51.150898	78.492516	20.467402	113.27202	55.74207	0.0	61.39481	37.68685	45.389065	44.33287	71.17227	105.79862	75.47761	22.873486	30.959127	32.11074	50.54048	38.86555	160.80084	9.163321	97.38207	86.456726	96.859184	150.51482	67.93174	63.214027	34.523975	30.882769	19.466684	63.050846	18.000387	41.779694	35.6502	61.044506	107.397934	116.25703	32.97849	109.32186	81.38995	56.165024	22.567003	17.58434	97.504135	87.00004	15.186017
G000416985	90.228165	73.930305	13.776577	15.605729	31.978876	48.372032	81.07316	113.74861	50.918747	32.91705	5.090032	105.99769	10.183765	88.33003	54.915073	125.296974	45.030735	9.962098	34.098885	35.545967	10.251778	73.2244	25.59408	69.284	85.84705	31.156927	159.21207	18.994127	61.39481	0.0	64.11924	82.26166	38.52929	71.7081	27.470926	8.389406	45.290577	67.01939	62.0224	10.477365	65.516754	84.03387	32.85498	96.21835	117.25296	79.87493	122.28035	77.15014	6.4578595	64.81015	66.780464	45.830868	18.050947	34.652576	20.091934	43.920685	71.64911	111.59487	119.57267	79.69533	101.9641	80.28425	66.94589	39.388187	30.766134	86.870766	120.22171	42.917965
G000258495	24.634794	16.567673	36.918774	57.8452	44.636765	30.479113	36.391266	83.485016	57.43963	30.2095	72.28486	162.13232	40.234524	58.55042	87.50235	116.56188	14.198527	38.190895	30.611471	28.719538	35.456203	15.887573	30.346878	6.5787067	54.97997	14.598502	60.583736	49.068398	37.68685	64.11924	0.0	7.6884646	27.742893	52.751877	97.91119	76.109406	13.1622505	42.434692	7.915158	34.66118	7.026431	152.06487	30.30752	77.43502	47.001923	73.849	119.01634	52.33176	54.318024	5.766743	42.35771	44.23829	67.85181	21.489115	23.581713	25.91116	43.217274	71.62083	84.3113	6.337123	103.52859	52.971066	16.49397	41.640934	23.419897	74.79209	49.221157	40.632313
G001421515	11.948342	24.707136	48.046955	72.82358	48.468933	45.666573	25.1006	63.32862	64.35487	41.19745	95.75001	166.37946	56.680763	45.308384	99.62775	101.45451	22.682732	55.256557	41.385464	40.216362	52.455013	17.469948	48.397144	8.417931	43.859165	19.425425	64.58745	73.01921	45.389065	82.26166	7.6884646	0.0	43.711647	44.490887	113.060455	98.47667	17.976942	35.742203	5.0608993	51.991673	2.207294	161.50966	41.316982	62.643143	45.778088	75.23676	103.149086	41.148724	72.69508	2.5553823	35.722065	54.490757	83.69215	31.634548	32.995457	37.24644	32.935204	53.8751	68.04068	9.051085	108.22062	42.093235	14.697716	51.954327	34.324566	76.05316	47.99137	50.644375
G001006065	79.189064	27.131565	37.597622	60.19852	64.06906	29.669493	75.30124	139.76285	81.08735	35.46596	44.74564	199.72897	31.485922	108.68743	113.7963	181.09567	15.103942	28.311459	36.346302	41.124077	25.261204	30.037241	3.2868414	46.12856	105.07177	25.012228	53.681408	31.44449	44.33287	38.52929	27.742893	43.711647	0.0	98.41562	102.00315	54.99102	43.59983	79.72854	42.352573	23.412758	37.932606	184.32216	35.543884	129.03587	47.635056	42.1966	182.786	94.944786	43.314655	36.454407	79.53563	61.41326	69.35101	13.916568	14.019514	10.149652	81.953865	130.29149	149.24959	27.23126	59.01862	100.35989	32.159664	59.171703	15.977126	44.19811	46.82015	55.645206
G001596135	22.848042	77.83959	38.357033	42.635014	18.24749	75.96009	12.714273	11.195379	35.922176	50.063362	84.56784	74.27609	52.829792	4.2270436	51.857925	19.571331	65.57671	56.02762	50.255116	51.226772	56.612854	75.51808	91.63416	38.114594	4.8286448	38.158558	183.5466	90.10542	71.17227	71.7081	52.751877	44.490887	98.41562	0.0	58.63259	83.329704	27.2053	23.39065	28.808836	58.379272	37.82219	64.88813	50.045406	6.7790446	128.37321	129.47495	20.347612	5.706334	63.506207	36.477	23.395151	56.894974	45.702038	66.69925	52.773003	92.6721	7.015709	10.485144	11.731894	68.931946	169.77667	4.502128	65.799446	48.262367	63.674957	135.996	133.72073	54.387108
G000427965	98.77707	123.29831	26.634699	15.080014	25.735682	88.5138	88.760086	95.215355	52.47753	63.89965	26.116102	48.739887	27.954676	74.104225	38.121758	84.66995	94.34923	29.526781	65.10356	57.863945	32.07597	122.69971	80.139	89.0659	73.561295	62.188503	249.67159	46.293163	105.79862	27.470926	97.91119	113.060455	102.00315	58.63259	0.0	25.95445	61.66428	70.36908	83.96027	34.113136	95.10816	26.218779	63.77238	77.52512	191.35144	147.09749	77.421005	71.226234	21.66461	94.28697	70.158775	61.4797	13.658852	83.80997	55.65557	106.566536	72.34382	93.08283	92.93163	127.00476	186.6279	68.82935	107.95179	51.483604	76.86315	156.2048	198.5706	61.852287
G000814685	104.034355	86.94637	20.029196	18.69559	39.214806	59.728817	97.18845	128.73996	58.13488	42.750553	11.237752	97.76401	18.726227	101.07371	56.650745	135.29337	59.327923	18.112299	43.97117	44.61351	18.844374	88.064354	39.71502	78.76451	98.94809	44.636375	180.85104	24.213938	75.47761	8.389406	76.109406	98.47667	54.99102	83.329704	25.95445	0.0	55.329357	79.52253	75.678215	19.202387	80.915016	81.094734	42.64948	108.096825	134.95947	99.61242	128.43326	92.30923	8.440886	79.87798	79.2604	52.614265	21.663118	48.63183	30.89894	55.960625	87.360794	126.235504	131.51344	96.465775	118.099556	93.61035	84.66023	45.54205	43.89422	107.175026	139.4298	50.079704
G001027745	18.388086	25.844168	24.456753	37.72453	18.914572	22.423265	24.270617	58.174618	20.439638	12.332131	56.115406	112.7514	26.313663	35.44558	39.639942	75.950195	20.573044	28.190859	12.458808	11.32745	27.115519	39.03094	41.768562	14.233501	31.764158	7.292618	115.016365	41.4516	22.873486	45.290577	13.1622505	17.976942	43.59983	27.2053	61.66428	55.329357	0.0	14.349051	6.4835377	27.607769	12.348207	97.16886	12.353442	47.208878	82.11854	95.13536	80.20907	28.448511	37.06915	10.483933	14.279755	16.9054	36.051003	20.152212	24.46719	38.915485	24.239769	50.708992	56.045574	22.288261	125.297615	32.55453	32.19626	14.343384	18.852207	97.62128	85.57988	14.69828
G000023825	24.453285	51.040035	46.862595	58.87857	21.552523	41.20333	22.66493	46.798786	14.380785	25.66695	84.03392	103.30788	46.73566	29.636354	33.050537	62.339497	49.78891	52.31216	25.42207	21.686996	51.84076	70.51394	78.806206	38.458355	27.527704	20.959059	160.4567	72.17816	30.959127	67.01939	42.434692	35.742203	79.72854	23.39065	70.36908	79.52253	14.349051	0.0	20.140543	53.181656	29.924273	94.83327	25.680983	37.47351	113.71047	118.60416	67.50119	22.419085	62.26286	27.715187	0.0027736356	19.36991	45.696224	42.772106	49.866196	70.21165	22.070868	43.21503	47.35926	47.749573	153.34026	30.291798	52.940384	18.172014	40.5979	121.94832	117.62179	19.121412
