	G900112615	G000814325	G001314545	G900114995	G001896965	G001601815	G000020625	G000375425	G000243115	G000016085	G001567405	G001623405	G000974785	G001438265	G000375465	G001898485	G900110645	G900110995	G000020645	G000275825	G000006985	G001975825	G900156765	G000511175	G900094705	G900102545	G000814475	G000024005	G000724545	G001975465	G001724695	G900129015	G900129295	G900115755	G001897525	G001899605	G001897535	G900089555	G900129315	G900106985	G000013045	G001650905	G000012585	G000759025	G001464625	G000373105	G900089545	G900089565	G000508085	G000515315	G900089575	G001654455	G000168715	G001439115	G900089525	G900110245	G000015125	G900101395	G900129465	G000419585	G000020545	G000024845	G001564065	G900109685	G001302245	G001898505	G900110835	G000374125	G001898405	G000020465	G900116565	G000379805	G900107765	G001829005	G900119105	G000212735	G900142605	G001715195	G001644645	G000020505	G001829035	G000246855	G000374045
G001567405	45.431736	25.484386	124.620834	63.961563	57.3201	64.65701	129.46973	20.654673	66.41203	174.87762	0.0	109.66564	91.04625	55.55623	42.194828	58.721878	123.8996	55.193222	92.5659	112.83759	244.82698	37.879196	93.7197	44.40234	89.75883	59.002213	57.107964	58.656044	79.58966	129.31416	82.44106	118.04975	42.768642	100.14255	37.11975	57.304066	116.46823	108.411446	59.174316	50.05391	300.01807	36.461285	95.51089	93.46271	57.20245	112.5795	107.61255	107.36135	41.742584	53.440044	107.67165	73.32408	135.42964	52.75541	102.03573	59.785007	108.87148	92.20949	70.38815	297.68826	111.774155	300.1575	21.024897	126.92812	79.33799	84.55321	75.42529	95.126335	42.7659	167.64189	53.872578	34.537716	33.647007	83.95622	43.76117	74.20726	76.8738	37.80462	43.682068	232.21144	84.08252	66.4039	63.633392
G001623405	90.953766	98.55576	306.0748	175.62277	45.572956	96.39179	348.69098	138.94383	90.314285	401.06958	109.66564	0.0	223.76665	178.81638	121.43299	125.545845	314.36148	112.89832	269.8806	189.42236	482.5281	117.29026	93.47687	35.29691	137.45528	162.02943	177.08145	165.92253	67.66099	337.46603	196.28024	196.5195	64.378746	28.86456	84.09971	39.284737	51.288715	0.85979813	213.2613	113.116135	519.2966	111.10493	154.23413	247.09679	25.544111	289.37067	0.8423724	0.79200566	36.696625	118.76231	0.8016203	87.87228	346.73944	173.99066	1.5554556	89.61214	296.85107	152.13046	149.088	486.74466	324.1337	497.4055	132.96783	161.20528	96.88763	251.80269	154.09593	174.82101	106.03793	383.73776	134.36995	145.23213	78.09963	33.70589	124.0566	172.56992	161.29811	185.89479	77.61128	471.34045	33.683846	92.05277	32.26853
G000974785	92.1874	51.741283	32.89268	39.694363	118.07	44.830452	66.23713	78.038826	53.905285	82.14175	91.04625	223.76665	0.0	21.80675	156.8357	27.967161	45.766876	85.7838	58.659718	161.94313	133.84888	58.7064	87.129105	139.18483	39.465836	39.63785	9.367026	40.03862	249.69974	70.53856	15.834167	28.710344	111.833466	164.82336	68.657845	121.50808	247.58025	229.5617	32.20645	34.589657	185.69473	168.71536	124.278175	28.791998	165.66759	39.53998	229.48105	223.1403	138.85764	32.24933	228.46114	62.515923	73.31569	23.058567	223.1296	49.672714	66.109276	30.26121	36.01985	160.93916	60.96307	142.0841	84.712715	57.493584	68.62234	27.167885	26.839033	24.426746	42.613937	79.49423	33.70424	65.555405	86.43529	237.5427	48.465153	66.92286	24.278078	70.91585	108.0829	127.21972	237.87602	49.463028	181.4675
G001438265	59.762478	31.453999	46.810165	26.464735	102.527695	42.829037	78.90344	60.056416	57.700935	100.51481	55.55623	178.81638	21.80675	0.0	100.54261	22.493946	53.93729	54.267822	63.135235	135.02365	161.21216	30.039322	61.184887	95.54122	36.65711	23.178225	15.281196	24.870663	187.0345	84.37536	28.656729	36.165665	77.32319	141.00233	47.38279	93.201965	197.84454	183.2305	36.132328	24.682785	208.49585	126.467865	92.84216	29.812683	124.32024	45.760674	183.13258	177.87712	94.81995	23.691664	182.60255	63.10276	87.821434	0.16081528	176.90117	40.359043	77.47218	48.101295	31.039091	180.89955	71.84899	179.11491	61.94225	59.843513	53.09284	31.421307	26.306955	47.035286	35.711117	103.64662	28.505672	35.13279	63.44088	176.34535	26.867197	61.48292	18.908264	59.301533	66.438286	152.43	176.71555	42.988323	139.25726
G000375465	72.18188	57.100914	183.19746	107.59765	78.95794	111.50374	186.55255	37.479706	112.68879	238.24805	42.194828	121.43299	156.8357	100.54261	0.0	104.35201	165.16747	81.49867	142.2032	111.32192	296.8614	68.45464	113.650215	55.432034	133.41689	99.64804	106.94507	100.71353	58.30544	188.32706	132.49199	159.68974	62.020554	125.27582	66.0255	85.50956	93.33968	118.7038	111.849625	86.32972	349.89392	24.767565	86.34619	142.71448	65.79472	148.59467	118.158165	117.47982	51.91141	90.80081	117.87131	124.97283	195.41705	96.9414	111.824005	91.61111	162.9717	153.59999	111.04191	338.95364	168.71602	361.6362	36.9067	174.58885	118.3158	143.90048	125.595345	159.73131	84.14731	233.70557	111.28697	41.170685	71.9553	62.298004	79.87649	103.044876	121.23016	64.17071	36.61362	283.54462	62.44984	99.62333	66.228745
G001898485	38.00833	22.574152	75.9493	23.573261	64.42684	17.505157	111.79482	59.98279	21.97909	143.92316	58.721878	125.545845	27.967161	22.493946	104.35201	0.0	83.548164	36.372795	85.25419	122.120964	205.9439	23.058485	32.066692	70.62698	18.155582	20.084553	19.459375	21.753666	159.99745	113.68625	26.07367	34.50402	52.062206	84.99198	23.17183	50.851048	161.57657	129.48918	45.33091	11.746249	253.99734	114.24041	98.99756	51.028065	83.14396	73.64033	129.8823	124.85961	70.74743	11.426103	129.20575	22.625393	117.98819	21.80338	125.08794	14.782247	98.3844	20.105625	18.62023	222.11871	101.244865	211.01457	60.386684	31.439512	22.984198	47.230232	12.764048	25.073454	13.694978	134.55736	22.194433	44.941677	37.592438	142.61128	18.439571	66.231674	13.686331	68.95743	48.04801	197.58928	142.85278	15.808302	96.18907
G900110645	167.086	109.14072	25.257412	94.77672	171.17662	113.0698	43.278202	95.95538	113.84483	47.831635	123.8996	314.36148	45.766876	53.93729	165.16747	83.548164	0.0	156.41591	47.55224	132.97353	68.67026	116.07137	162.69879	208.00366	89.83953	95.94324	56.923027	94.57613	283.60367	48.809086	45.52458	63.02479	187.56398	260.10956	126.10396	206.69064	302.2991	319.86035	33.59079	94.43473	100.46492	199.74423	123.19244	18.293806	236.96698	4.551435	319.02008	312.22702	204.88124	91.74214	318.02115	140.98451	48.712826	56.28681	309.4532	114.64957	52.765232	89.181755	101.72015	95.441376	47.353832	87.34819	101.587036	130.06923	161.28229	31.490322	87.87914	73.86747	111.32047	54.314747	87.89222	62.913246	136.10469	295.07376	108.68159	66.22733	69.411285	75.16095	152.81276	63.685833	295.4535	114.45912	247.41501
G900110995	2.882914	24.033194	156.01251	19.309475	87.98122	44.67381	194.68663	72.07002	55.723866	247.0586	55.193222	112.89832	85.7838	54.267822	81.49867	36.372795	156.41591	0.0	158.6253	175.7024	330.8708	8.477184	25.460018	49.92047	52.276485	14.994698	55.56451	16.793854	127.99126	199.53825	88.75049	102.03929	24.06037	84.343056	20.576042	36.561543	157.17513	112.792885	94.746284	36.90075	371.64267	83.962006	140.75671	119.37155	62.656662	140.57983	113.86048	111.23392	51.248043	39.054592	114.107635	41.389053	205.34795	51.089478	109.860916	32.447094	177.83205	66.69819	22.041925	344.58185	173.18793	335.5115	69.38064	53.674347	20.50175	100.43111	30.231356	82.66582	27.112722	237.10107	67.48174	63.83499	34.316616	108.87751	9.846578	134.13052	39.407013	98.93946	28.771824	317.95425	109.124916	36.852318	70.708786
G000020645	159.47455	90.44604	50.10447	107.02528	133.9362	114.44951	14.466129	69.75739	109.23756	28.482382	92.5659	269.8806	58.659718	63.135235	142.2032	85.25419	47.55224	158.6253	0.0	116.96399	73.7394	116.86947	178.41391	176.90405	120.76236	107.08761	57.400433	105.814415	233.67003	8.843017	54.418663	88.22894	167.94572	217.16203	119.799675	172.69104	250.03441	273.81656	39.4143	87.111374	151.32259	154.80228	86.31647	44.568035	198.99702	51.82712	272.69254	267.3709	172.60927	85.88608	271.81177	131.48605	11.282333	64.61202	264.75327	119.957726	6.9378695	100.60298	114.595085	148.80135	13.255753	153.04216	66.65917	164.47552	154.26651	55.794983	110.05642	86.39577	95.65974	28.164848	74.3348	64.39688	126.823494	253.99962	114.125786	60.375248	98.089	42.036873	144.00996	65.823166	254.24487	121.49856	205.78612
G000275825	167.49942	118.95898	172.95084	171.06387	109.43906	133.1972	159.18826	96.82825	118.331825	179.80112	112.83759	189.42236	161.94313	135.02365	111.32192	122.120964	132.97353	175.7024	116.96399	0.0	222.53307	145.4318	169.24269	142.09879	137.87263	161.68158	141.6694	165.28743	136.63863	151.06456	138.75804	135.28368	144.50485	176.99335	114.741325	152.23668	160.95358	192.41753	107.433876	127.95598	259.69144	139.1254	103.823944	111.74558	146.29004	128.26855	190.2549	186.62405	137.68236	129.61548	189.32346	143.56046	155.706	134.01683	183.99326	132.82845	137.0539	144.67517	160.68227	253.78563	153.20334	272.98724	102.23982	187.89662	183.71715	128.83942	164.52211	143.06439	126.80346	186.87456	131.02907	69.78205	112.87439	156.89558	147.49	76.02008	148.80281	111.34545	109.12097	215.85608	157.00299	135.03267	146.60019
G000006985	338.90808	239.99236	78.4203	235.38954	290.68054	250.88422	49.684532	199.62424	240.16345	46.83561	244.82698	482.5281	133.84888	161.21216	296.8614	205.9439	68.67026	330.8708	73.7394	222.53307	0.0	267.38837	336.89594	371.47974	226.24463	239.38878	156.94225	235.84792	436.26013	57.863464	122.53214	164.78636	357.0209	409.95514	276.43927	366.1653	446.28036	489.60736	113.19175	214.54169	67.80116	333.43402	202.79709	100.36909	402.61932	80.63931	488.2191	480.57913	366.34235	210.68396	486.54782	285.16495	56.36956	165.86632	477.55206	254.40437	65.6328	211.34715	248.33063	68.69852	65.46133	71.854004	201.27448	286.96872	320.37354	111.15771	226.80583	179.81638	244.29526	38.501522	191.4944	177.09705	283.26828	466.32776	259.3702	144.73717	200.9505	149.70906	311.46814	2.056116	466.6664	251.9007	407.69043
G001975825	10.302655	13.661944	114.6355	12.335444	75.40917	36.791954	148.42084	51.242622	46.122704	192.8493	37.879196	117.29026	58.7064	30.039322	68.45464	23.058485	116.07137	8.477184	116.86947	145.4318	267.38837	0.0	30.476059	50.384693	39.049526	8.948829	33.641262	10.260226	123.83475	154.27853	60.26463	74.68638	26.261827	89.81648	17.34848	41.83494	151.40607	117.94999	66.0578	21.81169	312.12558	78.23344	111.54102	83.30465	65.43858	101.82627	118.652534	115.603836	50.43227	23.43447	118.54872	40.48531	159.77676	27.681906	113.860825	24.748613	135.77672	54.756084	17.24618	286.62207	131.30806	281.6443	50.878666	52.894814	22.433933	68.14737	23.006172	64.61717	18.60269	188.17589	43.950138	39.32116	31.246017	110.04178	1.8756208	94.05951	26.074371	71.22728	26.478851	255.83813	110.2905	29.383736	75.15607
G900156765	27.093742	41.192005	161.94098	44.975525	79.24816	30.897243	222.31595	107.66222	43.235935	262.18887	93.7197	93.47687	87.129105	61.184887	113.650215	32.066692	162.69879	25.460018	178.41391	169.24269	336.89594	30.476059	0.0	57.70705	29.946198	36.049778	65.79695	40.85413	143.9564	222.71399	85.21752	68.473854	36.2436	64.19913	30.698875	36.592724	142.49936	96.811584	114.87989	36.377594	371.15622	132.67828	122.32787	117.10729	67.114914	143.36136	98.11722	93.36069	60.249054	37.579323	97.548874	32.801968	228.72287	58.83601	94.87923	21.123337	199.94016	54.677456	31.623692	323.5915	204.54095	320.18408	107.937164	29.496105	15.603627	114.172516	33.30806	73.49908	35.88023	255.47226	66.24172	75.74907	49.113754	114.383224	28.207176	122.57551	34.71992	138.40987	34.017017	327.16696	114.67769	21.53652	77.5581
G000511175	35.478542	36.419437	208.3454	91.747826	38.83204	54.12299	235.55237	64.96288	62.14129	287.4869	44.40234	35.29691	139.18483	95.54122	55.432034	70.62698	208.00366	49.92047	176.90405	142.09879	371.47974	50.384693	57.70705	0.0	92.81658	82.212036	96.09023	83.94208	51.9668	232.89366	126.20522	138.00092	21.045778	42.317894	37.022602	23.306717	60.145077	34.622406	128.50168	57.498108	416.5185	47.38663	109.11469	159.0708	13.626781	188.70374	34.31245	33.882145	0.52166533	62.05508	33.96395	57.83897	241.40526	91.40792	31.399633	51.09258	200.79895	105.7042	80.407486	393.75754	212.3559	397.2991	60.761528	116.06817	56.377823	158.293	89.50212	121.82387	48.101547	278.32205	77.588486	69.7109	33.427628	24.303507	56.17949	115.1026	96.23714	100.86396	27.464869	358.41214	24.396059	56.08144	23.104372
G900094705	56.17354	42.696487	89.03682	41.461876	79.73734	23.55873	150.4105	92.30221	26.064043	174.40184	89.75883	137.45528	39.465836	36.65711	133.41689	18.155582	89.83953	52.276485	120.76236	137.87263	226.24463	39.049526	29.946198	92.81658	0.0	35.013157	36.381886	38.95306	185.49782	151.94336	38.250072	26.285429	66.8072	95.76584	36.865246	69.973495	181.26093	142.93976	64.20391	25.25193	255.8204	156.65115	113.38648	58.509087	106.37939	75.35062	143.52002	137.83418	93.90474	24.711824	142.771	31.718687	155.93864	36.40643	139.34277	19.362804	137.95766	23.754305	24.484194	210.6728	141.00554	205.21736	98.515434	20.465227	36.259476	55.083416	17.42559	29.942656	33.93424	170.24178	39.674797	60.07661	51.68251	163.16982	31.249899	72.324776	13.4786005	109.4886	62.94952	220.45349	163.48965	17.562593	117.73443
G900102545	22.534813	24.014776	93.54164	2.5290823	104.373566	40.68811	126.77109	66.56129	51.664837	166.02885	59.002213	162.02943	39.63785	23.178225	99.64804	20.084553	95.94324	14.994698	107.08761	161.68158	239.38878	8.948829	36.049778	82.212036	35.013157	0.0	24.381496	2.0714629	173.33676	135.28879	48.80467	62.75015	48.585285	117.64419	27.65737	64.25728	198.35872	163.97958	57.63375	24.110613	283.12582	111.098755	127.59711	68.86895	102.37385	85.06604	164.9806	160.23756	82.83422	24.307728	164.60855	43.646362	139.29063	21.781506	159.66849	30.650524	122.16323	44.66844	10.021425	255.98474	112.64352	243.40503	67.339645	39.264797	25.423248	51.45956	13.046557	51.99945	21.955515	162.12967	47.44521	50.47413	47.118656	159.15994	6.381737	105.38558	17.38232	79.08347	45.893356	228.8201	159.49496	33.685528	112.78428
G000814475	58.121006	25.494032	48.07092	26.89455	86.0583	32.425728	72.718796	49.10964	41.926567	98.98676	57.107964	177.08145	9.367026	15.281196	106.94507	19.459375	56.923027	55.56451	57.400433	141.6694	156.94225	33.641262	65.79695	96.09023	36.381886	24.381496	0.0	25.507025	190.99335	77.813324	17.397741	35.78136	70.92596	125.03325	42.36263	83.8007	194.03888	180.94162	30.060045	19.12504	211.73917	116.67031	99.10542	36.49884	118.065796	47.300533	180.73709	175.89354	95.7264	18.436033	179.81216	48.229046	82.072235	15.292434	174.39044	31.71189	66.38776	31.803543	23.694685	191.50899	62.730442	179.10886	54.99154	56.203476	48.3119	32.228188	22.568666	30.350534	22.542889	93.136925	26.91734	43.169125	60.78355	179.42017	27.384916	60.552578	22.110119	51.012	69.44339	148.4025	179.73083	33.137608	129.77869
G000024005	24.899836	27.204214	90.24777	0.8019162	104.969986	42.38769	123.14638	65.32956	52.553154	166.04338	58.656044	165.92253	40.03862	24.870663	100.71353	21.753666	94.57613	16.793854	105.814415	165.28743	235.84792	10.260226	40.85413	83.94208	38.95306	2.0714629	25.507025	0.0	175.03886	132.91786	47.006363	67.66089	53.664894	122.55528	30.295246	67.46299	201.62033	167.5071	55.847897	25.8516	281.73764	109.7011	130.67899	70.369545	104.81131	83.707466	168.5099	163.9168	84.38764	26.109621	168.23357	46.09643	136.85092	23.512056	162.89182	33.02865	118.31998	46.284557	13.700048	255.86314	108.85341	243.24951	64.89157	45.2917	28.235481	52.009636	12.972147	52.552185	24.714611	157.53621	49.6374	50.854996	46.588604	162.15256	8.608015	105.42159	18.801529	75.81955	49.394276	225.1375	162.4725	36.37971	114.63494
G000724545	106.40258	106.70594	306.31122	185.58444	69.71604	146.61595	301.90143	101.408424	132.2357	366.07227	79.58966	67.66099	249.69974	187.0345	58.30544	159.99745	283.60367	127.99126	233.67003	136.63863	436.26013	123.83475	143.9564	51.9668	185.49782	173.33676	190.99335	175.03886	0.0	300.95667	213.53204	234.94762	75.52279	93.7427	96.599106	76.543076	47.833298	63.228558	193.91891	140.57263	478.11398	53.804688	126.52315	238.1711	40.851265	263.06555	61.812317	64.62602	48.76002	147.94775	61.51484	141.24544	310.38538	181.6401	57.47028	134.07538	258.76636	202.2657	180.18672	467.84976	279.86575	490.6523	96.70534	230.09514	152.93306	236.62007	194.76888	217.1659	128.545	354.41306	168.15764	101.24604	87.64673	24.029997	138.45027	156.76526	195.06657	146.90959	63.78276	422.0768	23.948105	140.98676	32.771656
G001975465	203.353	128.14384	46.4696	132.92857	183.05862	148.3761	11.4596	99.89326	144.06865	17.550907	129.31416	337.46603	70.53856	84.37536	188.32706	113.68625	48.809086	199.53825	8.843017	151.06456	57.863464	154.27853	222.71399	232.89366	151.94336	135.28879	77.813324	132.91786	300.95667	0.0	71.41718	109.48036	220.54103	275.65576	158.20592	224.98438	315.87183	342.012	49.53875	121.54179	136.82834	201.72314	127.27949	53.321056	259.23907	57.656372	341.33524	334.79797	228.52872	119.143845	340.42667	167.48212	1.0951918	86.79548	332.58502	157.32864	9.0569315	122.28262	144.23724	139.67416	11.903151	138.537	96.28531	192.39748	196.36159	66.55787	135.05615	103.393	131.77727	15.701487	103.33106	97.6526	165.95863	323.234	149.179	90.85407	122.18094	61.39474	192.79243	50.422318	323.52805	157.98773	266.5492
G001724695	92.728455	51.655037	40.484062	48.203506	90.8102	46.70888	64.04153	64.9708	43.512146	89.69227	82.44106	196.28024	15.834167	28.656729	132.49199	26.07367	45.52458	88.75049	54.418663	138.75804	122.53214	60.26463	85.21752	126.20522	38.250072	48.80467	17.397741	47.006363	213.53204	71.41718	0.0	32.254955	108.56267	141.33333	64.603546	108.862724	208.89009	201.46277	33.913097	26.559654	176.9838	146.82413	96.208084	35.711895	142.74551	39.115093	201.52837	195.75537	125.02693	24.783054	200.2009	62.09994	74.27698	29.654078	194.67657	42.66341	58.420254	35.068848	43.015873	145.20389	60.08812	141.95483	71.98004	68.580605	69.00414	33.005863	32.423332	27.432268	40.228813	75.960106	33.1509	52.601654	82.01918	209.7722	54.013485	51.1572	30.64514	60.910007	93.9126	116.96405	210.05585	42.41149	155.4347
