	G000298555	G001796065	G000270385	G000508065	G001401485	G001796285	G001794895	G001618265	G001625515	G000471025	G000687415	G000024145	G000700905	G000298455	G000493885	G000415685	G000008725	G000687395	G000204175	G000270405	G000700865	G001545115	G000068585	G001007065	G001464115	G000756735	G001736045	G001007125	G000417845	G000298375	G000508025	G001007085	G000338695	G000829755	G001499655	G000174995	G000270425	G000007205	G001466415	G001796095	G001007145	G001794865	G002007725	G000317995	G001714575	G000253035	G000516655	G001401475	G000007605	G001714565	G001796105	G000751535	G000091085	G000211155	G000298515	G001007025	G001714585	G000009945	G000470805	G000204135	G000011565	G000700845	G000191925	G000583875	G000298415	G001007105	G000700925	G000417695	G000008745	G001401455	G000470765	G000011165	G001796275	G000813665	G000092785	G000415565	G001796185	G000298435	G001796255	G001736055	G001794935	G000750955	G000298495	G001625535	G000830965	G001794905	G001796175	G000237205	G000470825	G001897225	G000270445	G001796235	G001563055	G000508005	G000454725
G000687415	0.5443183	174.83604	0.03510034	45.687218	0.7274697	162.39525	162.42664	159.17378	45.629124	30.766644	0.0	43.072197	53.992195	0.5143978	56.430016	0.027409993	51.67198	0.0061495933	0.021665253	0.02269767	53.994045	155.65858	51.077713	44.865387	147.81654	165.41148	0.026969282	44.5962	2.527392	0.045431852	46.361885	44.8774	0.5421864	155.44193	164.01114	55.01294	0.026220687	44.321556	45.876575	169.32294	44.95506	162.31093	30.812708	0.5968041	0.025170418	168.93202	42.563087	0.54414886	13.609649	0.01892895	169.0839	165.45929	44.23741	0.027253525	0.17124142	44.962864	0.025129057	14.18982	45.33974	45.942684	169.13474	53.994045	0.0006497811	30.12131	0.63548833	44.954628	53.994255	36.29296	44.9077	0.8485459	45.353386	44.40661	162.87799	162.65001	156.56117	0.016898511	171.75266	0.6383053	162.33127	0.02527438	149.9868	158.93698	1.4657795	44.951775	54.022182	163.29413	162.07182	165.95749	45.406967	159.85646	0.02439948	162.3986	0.02005475	46.46873	36.297806
G000024145	41.744534	174.54163	43.246086	37.46952	42.194252	160.69847	160.7493	166.04805	37.891052	52.60725	43.072197	0.0	57.03918	42.06803	67.03538	42.824894	51.595936	43.018887	43.13953	43.005688	57.074844	170.15724	52.879707	0.604139	162.22594	179.20192	43.010223	0.6128956	38.223064	43.134007	38.933033	0.60783976	42.920868	154.85255	164.6265	57.787594	43.105175	0.5887129	37.185036	163.51505	0.61303544	160.63167	52.63106	42.36771	43.038643	171.77086	0.04633302	41.750324	42.57096	42.893528	168.79591	166.78856	0.6148777	42.96205	42.683926	0.6126399	43.04585	43.507286	37.544765	37.18954	167.84799	57.074844	43.07259	45.42116	41.905704	0.6130348	57.075047	44.80302	0.6133892	41.89385	37.76864	0.6209884	162.10692	167.20616	165.1	42.908855	171.28514	42.383224	160.62747	42.81142	162.73068	157.39006	41.276836	36.446648	57.093773	193.23407	162.69742	140.12149	37.093697	153.41266	43.09431	160.73053	42.875404	39.150677	44.805233
G000700905	52.795597	170.13202	54.38547	59.326225	53.568268	150.83694	150.87712	147.30716	59.377686	59.955387	53.992195	57.03918	0.0	53.61671	11.716186	53.51396	12.334942	53.8649	54.31746	54.044876	0.00042500903	150.86801	12.615055	59.34	164.76567	165.29395	53.793846	58.999626	50.11725	54.445065	59.930874	59.365387	55.594784	158.67053	164.12212	0.049659744	54.21086	59.097767	59.8167	159.36989	59.345024	150.7472	59.47265	54.51546	53.828484	156.63397	56.952644	52.706123	53.470356	53.722935	169.07559	163.70355	58.75216	53.684002	54.457905	59.367664	53.877148	42.976162	60.492825	59.491814	152.58148	0.00042500903	54.023495	58.648888	54.100536	59.350197	0.00042628517	49.64883	59.372433	53.362186	59.49748	58.888165	159.80139	175.18233	146.85155	53.757156	168.14426	54.32004	150.75327	53.652752	165.5865	161.34259	53.209915	58.77828	0.00088953297	197.53984	159.91801	156.00946	59.350266	172.05145	54.093136	150.84775	53.69711	60.368298	49.614162
G000298455	0.5308426	174.62126	0.5088115	44.725655	0.49712542	165.16125	165.1921	157.86093	44.652958	29.521112	0.5143978	42.06803	53.61671	0.0	56.407616	0.45522043	51.23594	0.50029844	0.49596527	0.50270855	53.622948	153.61003	50.641556	43.845287	147.9218	164.64919	0.475094	43.60007	3.0479712	0.47027138	45.45214	43.85741	0.3832216	155.34473	163.08765	54.679565	0.5043429	43.301376	44.915386	169.18817	43.93442	165.07805	29.510315	0.56957704	0.47237402	168.22789	41.509155	0.5417908	11.913962	0.45806673	168.70206	164.56082	43.230724	0.43941078	0.3361903	43.94217	0.487331	12.902068	44.38757	44.9772	166.95041	53.622948	0.51153976	28.298445	0.6120528	43.934433	53.623226	34.835983	43.88844	0.5476221	44.44926	43.44078	162.58084	161.41687	155.29794	0.4546733	171.46524	0.5211611	165.09894	0.4555147	150.229	158.85085	1.1409478	43.90514	53.64826	162.3866	161.84492	166.07018	44.496845	159.52023	0.4979207	165.16748	0.44605437	45.621525	34.84028
G000493885	56.000374	161.92245	56.792652	56.915485	56.35442	130.7033	130.75586	133.28726	57.274036	67.3098	56.430016	67.03538	11.716186	56.407616	0.0	55.948223	15.041135	56.29928	56.856777	56.535217	11.715464	137.55522	14.662869	68.52831	140.05016	159.81532	56.273148	68.07072	51.497707	57.32452	57.432762	68.54734	58.60113	158.60242	154.96767	11.951757	56.717537	68.222984	57.82857	151.40129	68.53943	130.59456	67.04745	57.466164	56.311523	150.73572	67.09824	55.842834	53.50036	56.195198	159.7617	154.00462	67.79646	56.114975	57.005917	68.56043	56.287716	41.422047	58.196545	57.492107	153.38512	11.715464	56.501778	74.47743	56.379795	68.54281	11.71518	58.661507	68.55581	56.08031	57.72774	67.73505	150.3286	159.97798	132.34271	56.287136	158.48837	57.28885	130.60802	56.22876	139.82584	147.87532	57.20913	57.463135	11.710286	164.98802	149.60281	159.6621	56.804993	168.7118	56.56069	130.69073	56.154205	57.762077	58.631336
G000415685	0.488284	173.80888	0.026813421	45.514362	0.68908954	160.97765	161.00911	158.0913	45.443596	30.11874	0.027409993	42.824894	53.51396	0.45522043	55.948223	0.0	51.509106	0.03219835	0.05153149	0.014277186	53.515408	154.09381	50.92686	44.62334	147.0146	163.37715	0.012567552	44.35603	2.4854212	0.06608396	46.188507	44.635185	0.5562683	153.79814	162.52682	54.534283	0.017342495	44.074413	45.689106	168.22922	44.712852	160.89525	30.160692	0.59452385	0.0135698505	167.26372	42.323074	0.48575702	13.413818	0.0069869882	168.07495	163.9639	43.995728	0.012324471	0.18893789	44.72039	0.012248286	13.860518	45.179268	45.752792	167.31184	53.515408	0.029511364	29.521677	0.5858709	44.71225	53.51566	35.753956	44.666294	0.8036169	45.18376	44.157944	161.81349	161.06949	155.47696	0.007521887	170.64954	0.63024384	160.91512	0.012783761	148.77533	157.47458	1.3912424	44.758533	53.54322	162.19212	160.98216	164.89134	45.229336	158.03398	0.013853138	160.98245	0.006181222	46.282555	35.757904
G000008725	50.976242	172.48108	52.246887	59.043125	51.327564	158.69872	158.74817	152.3183	59.816647	76.817375	51.67198	51.595936	12.334942	51.23594	15.041135	51.509106	0.0	51.607594	51.910236	51.93165	12.335405	159.11087	0.20795718	53.239937	149.8266	198.93703	51.848133	52.91969	47.214073	51.952385	60.0329	53.256966	51.872585	174.62677	164.00587	12.808416	52.03693	53.192616	59.581802	161.17365	53.222744	158.58954	76.173416	51.89496	51.85939	182.6864	51.348274	50.948887	53.83314	51.67188	169.49205	163.12787	52.707893	51.706516	51.683567	53.24819	51.84499	48.479336	59.939503	59.3082	177.77025	12.335405	51.681927	73.8298	52.46449	53.230892	12.33533	50.256195	53.258423	51.038677	60.015747	52.92786	161.55067	183.22005	152.18817	51.67355	171.36398	51.711536	158.59885	51.652485	165.33545	183.91368	52.917767	59.23696	12.344405	209.21976	162.30049	163.5842	59.027397	195.15497	51.966473	158.70396	51.643932	60.570103	50.254486
G000687395	0.54103065	174.74257	0.05008753	45.718662	0.71363014	162.10092	162.13217	158.9126	45.66203	30.717546	0.0061495933	43.018887	53.8649	0.50029844	56.29928	0.03219835	51.607594	0.0	0.031849407	0.034305584	53.86707	155.51701	51.015667	44.80963	147.65997	165.15428	0.03549658	44.54062	2.520361	0.05656473	46.399887	44.82158	0.5567863	155.23753	163.7995	54.889317	0.03992343	44.266727	45.91063	169.22054	44.89904	162.01663	30.76324	0.5911203	0.033519022	168.62305	42.516468	0.53788483	13.602657	0.024331389	168.98778	165.24364	44.181282	0.033210214	0.1741573	44.906956	0.028546134	14.104554	45.376396	45.97661	168.8963	53.86707	0.0070262956	30.071716	0.6285325	44.89879	53.86723	36.142506	44.85182	0.8340966	45.388832	44.351913	162.77472	162.51973	156.29828	0.022783482	171.63937	0.6326114	162.03696	0.031229936	149.72995	158.77066	1.4519926	44.981686	53.894985	162.93224	161.95709	165.67123	45.443775	159.61896	0.035740864	162.10449	0.025401535	46.506264	36.147354
G000204175	0.5651897	175.5094	0.031939108	45.88052	0.73441845	163.63574	163.66664	159.758	45.861507	31.007843	0.021665253	43.13953	54.31746	0.49596527	56.856777	0.05153149	51.910236	0.031849407	0.0	0.044014968	54.319324	155.93127	51.33521	44.935802	148.39172	166.10199	0.03679652	44.658512	2.6057987	0.04391333	46.57112	44.947784	0.5181439	156.00858	164.48201	55.344563	0.047003597	44.384075	46.0867	170.02922	45.025257	163.55086	31.039139	0.6013293	0.032896556	169.74062	42.612503	0.5716267	13.512111	0.037439007	169.69131	165.95807	44.29799	0.04112257	0.18348876	45.033237	0.04129476	14.240714	45.525646	46.152866	169.62492	54.319324	0.018393815	30.211973	0.65964204	45.02479	54.31951	36.39887	44.97775	0.8722835	45.575306	44.46823	163.55573	163.09769	157.15295	0.034865078	172.4339	0.63666177	163.57108	0.032542054	150.72485	159.49901	1.451695	45.164913	54.34792	164.22954	162.76025	166.81635	45.59982	160.51945	0.04740805	163.63892	0.03889651	46.690823	36.403595
G000270405	0.513602	174.4122	0.013619539	45.856644	0.7433218	161.76083	161.79195	158.84901	45.787144	30.393217	0.02269767	43.005688	54.044876	0.50270855	56.535217	0.014277186	51.93165	0.034305584	0.044014968	0.0	54.045723	154.754	51.350025	44.80017	147.67749	164.24489	0.014198984	44.533867	2.5843236	0.046797216	46.528385	44.81193	0.5490116	154.46643	163.20528	55.05922	0.0019962534	44.254482	46.028904	168.87401	44.889877	161.67755	30.440886	0.6200965	0.014520185	168.1185	42.498867	0.51471543	13.536837	0.008484094	168.67097	164.65332	44.175278	0.01390161	0.1877862	44.897453	0.015086377	14.1241255	45.50683	46.09508	168.1304	54.045723	0.0237041	29.77526	0.6012472	44.889153	54.04608	36.293232	44.84304	0.8624554	45.514496	44.3376	162.43181	161.8892	156.22928	0.007543904	171.28464	0.6612744	161.69765	0.015517511	149.3632	157.97464	1.4299424	45.1024	54.07426	162.88274	161.61798	165.5794	45.566517	158.8448	0.0025913254	161.76497	0.008573526	46.624027	36.297203
G000700865	52.7981	170.15057	54.386333	59.34591	53.57557	150.82152	150.8615	147.34787	59.39642	59.97031	53.994045	57.074844	0.00042500903	53.622948	11.715464	53.515408	12.335405	53.86707	54.319324	54.045723	0.0	150.86531	12.61381	59.37779	164.78433	165.3028	53.79514	59.037994	50.123795	54.44599	59.950275	59.403202	55.59758	158.66714	164.12871	0.049276114	54.211487	59.13633	59.83677	159.38301	59.3828	150.73169	59.488	54.5217	53.829853	156.65169	56.98906	52.70874	53.4736	53.724308	169.0936	163.70964	58.790207	53.685432	54.46106	59.40543	53.878487	42.981728	60.513527	59.511898	152.6052	0.0	54.025288	58.671814	54.105286	59.387947	0.0	49.669495	59.410267	53.369514	59.517334	58.926514	159.8159	175.1972	146.89029	53.758465	168.16084	54.326775	150.73782	53.653835	165.5648	161.33447	53.21586	58.800327	0.00079967873	197.58124	159.93506	156.03018	59.371044	172.07695	54.0939	150.83221	53.69856	60.38704	49.63478
G001545115	151.4923	141.47075	154.76996	172.06656	156.77306	152.21628	152.16151	74.541756	170.59744	148.6532	155.65858	170.15724	150.86801	153.61003	137.55522	154.09381	159.11087	155.51701	155.93127	154.754	150.86531	0.0	157.80388	172.12143	131.43462	87.429695	154.34811	171.93564	150.93982	155.74644	172.98743	172.1197	157.50504	61.747494	25.133625	152.2493	154.8138	171.46228	174.30194	132.3335	172.13945	152.21425	148.1099	158.17686	154.43393	69.02517	170.05508	151.28575	129.45222	154.322	134.09157	25.262728	171.6081	154.52539	155.96143	172.15564	154.0397	136.83937	173.03416	173.94391	47.455112	150.86531	155.71648	161.57082	153.79651	172.13705	150.86673	155.40935	172.19061	156.5021	172.8977	170.47064	124.97846	60.402077	73.54639	154.51564	132.17145	158.03369	152.17528	154.2932	134.01465	85.79231	151.93071	170.16103	150.88893	172.53387	124.14676	145.1485	172.08278	84.89667	154.5889	152.22029	154.27881	172.42839	155.37766
G000068585	50.394817	171.38196	51.675304	59.11422	50.787495	158.53642	158.58656	151.27635	59.82604	76.9252	51.077713	52.879707	12.615055	50.641556	14.662869	50.92686	0.20795718	51.015667	51.33521	51.350025	12.61381	157.80388	0.0	54.496006	148.4129	198.53456	51.26544	54.188885	46.696957	51.375687	60.04145	54.514088	51.233013	174.5395	163.2233	13.105333	51.452473	54.45513	59.63312	160.28987	54.480526	158.42407	76.30675	51.36251	51.275917	182.44402	52.63264	50.36333	53.316113	51.088562	168.39276	162.29926	53.96576	51.12488	51.057594	54.506554	51.26107	48.190033	59.95288	59.36588	177.31142	12.61381	51.089157	74.34557	51.94642	54.489017	12.613695	50.86705	54.516285	50.46551	60.027737	54.196136	160.46597	182.368	151.113	51.091045	170.30798	51.178295	158.434	51.07864	164.56561	183.36058	52.448353	59.29024	12.622787	208.25748	161.26996	164.07983	59.0835	195.50415	51.379993	158.53964	51.05971	60.583126	50.86574
G001007065	43.484764	176.16843	45.052837	37.758293	43.860355	161.39766	161.44989	169.01701	38.270298	53.344383	44.865387	0.604139	59.34	43.845287	68.52831	44.62334	53.239937	44.80963	44.935802	44.80017	59.37779	172.12143	54.496006	0.0	162.16278	181.86981	44.8171	0.03398902	39.3527	44.912376	39.167557	0.00022969335	44.56537	157.81514	166.73909	60.11637	44.899532	0.033596683	37.43571	165.36838	0.0009639547	161.32756	53.415077	44.001465	44.84489	174.37315	0.7237756	43.491524	44.336582	44.692245	170.59	168.85916	0.047350876	44.777657	44.369514	0.00090888445	44.839783	45.11233	37.81992	37.44524	170.65257	59.37779	44.86436	47.262512	43.667343	0.00094612956	59.377987	45.777622	0.00070306123	43.535587	38.224907	0.07046408	163.81369	168.77644	168.11047	44.704716	173.02711	44.020344	161.32321	44.61081	163.38441	160.88664	43.178726	36.9129	59.393627	192.5052	164.38745	142.45386	37.384357	155.94257	44.8898	161.42624	44.67061	39.375122	45.78126
G001464115	146.21974	82.81617	147.8206	158.40698	147.46222	97.71825	97.690834	92.07957	155.53601	164.87968	147.81654	162.22594	164.76567	147.9218	140.05016	147.0146	149.8266	147.65997	148.39172	147.67749	164.78433	131.43462	148.4129	162.16278	0.0	133.33133	147.49278	161.6151	137.40414	148.98096	158.60748	162.15578	151.66408	115.20836	98.10976	166.24446	147.70683	161.44742	159.5548	79.52595	162.14673	97.72464	164.37871	148.38953	147.59366	97.89148	162.6658	145.95845	159.90956	147.24702	74.75851	97.048225	161.28285	147.40775	148.24272	162.15791	146.9968	159.08914	158.53677	159.3384	116.31974	164.78433	147.92555	178.45517	149.56479	162.1506	164.78406	146.94312	162.17046	147.11557	157.78775	160.57878	71.99124	118.41967	91.764084	147.38414	75.089516	148.47711	97.69617	147.26723	78.47768	157.0059	153.64963	156.06906	164.78308	123.02159	68.58526	87.43248	157.7982	109.471664	147.53574	97.74136	147.11172	157.57391	146.94461
G000756735	160.99257	133.7958	164.13106	182.49438	165.13441	130.46938	130.47844	119.61209	179.36955	127.9683	165.41148	179.20192	165.29395	164.64919	159.81532	163.37715	198.93703	165.15428	166.10199	164.24489	165.3028	87.429695	198.53456	181.86981	133.33133	0.0	163.60217	181.36987	163.11284	167.24455	183.32964	181.86615	171.8547	59.577534	91.61213	165.93417	164.45056	180.66255	183.09052	127.34875	181.91034	130.54526	127.99605	167.00862	163.78273	58.343384	179.97302	160.48181	155.7981	163.75359	128.51785	93.69151	181.04654	163.54211	167.0933	181.91255	163.39192	150.03271	183.11365	182.84808	33.516586	165.3028	165.62373	138.71854	162.75725	181.90718	165.30247	153.64944	181.94637	164.6974	181.7042	179.79095	120.480194	68.196526	117.65273	164.08951	122.30918	167.37222	130.50543	163.71147	126.531815	70.37071	159.40019	179.22694	165.3199	153.57976	116.8825	138.3873	181.45412	41.418877	164.16467	130.50967	163.67694	181.65347	153.55742
