	G000988325	G001442625	G000708265	G000302595	G000410815	G000783305	G001721645	G000832545	G900103125	G001652725	G900111825	G000020565	G900109575	G000258495	G002000245	G000192845	G900112985	G900110415	G000416985	G000814685	G001027745	G000333295	G900107535	G000190735	G900109365	G001898335	G000023825	G001412215	G000403135	G000427965	G900103545	G000425145	G900100705	G001636615	G000170795	G000422945	G900102835	G900101435	G000757725	G000304455	G000242635	G900100435	G001705515	G002013915	G001423945	G900100945	G000689375	G000747525	G900103515	G001006065	G000799115	G001421515	G001730525	G900103665	G001412655	G000686625	G001596135	G001899705	G001808025	G900155965	G000426825	G000166195	G900116225	G900101875	G900129215	G900109895	G000722885	G900142915
G900111825	92.21392	10.45103	18.836147	64.947525	43.631775	84.82542	39.092625	43.989605	67.821815	65.08719	0.0	139.30927	73.9468	16.807978	83.315475	71.88769	48.191437	72.34969	88.62315	92.01263	16.234684	67.10823	42.90423	64.58338	74.40956	70.90178	43.998768	36.309486	70.50907	76.890564	61.790554	59.03631	5.9346924	69.498634	44.930614	62.384388	85.87377	10.911217	86.39804	155.09525	84.70531	47.26	69.99664	77.37286	17.90652	66.49506	156.71185	83.00212	47.399986	89.38059	60.07434	10.643088	72.30565	43.313923	43.823288	85.39464	75.41822	88.22756	92.415504	66.91092	119.99616	63.54107	87.52938	70.987076	41.507515	74.14539	48.938164	66.720634
G000020565	151.8397	133.31844	140.5402	141.20758	140.51285	144.81195	147.30888	142.6845	141.43703	132.9542	139.30927	0.0	126.84968	133.46004	147.54294	129.8087	140.16629	140.70966	144.55707	139.94974	134.441	154.61423	139.20561	131.05557	126.695724	145.14392	140.32536	136.86757	135.88022	130.26265	128.13654	115.50415	140.93895	150.45175	139.88756	131.5012	142.866	135.57404	142.80722	95.91668	118.94042	130.88873	131.81685	138.58028	134.48021	135.088	98.16396	151.99515	137.15004	146.79018	126.99466	133.00204	139.3994	148.40404	138.36067	144.3617	145.08795	148.58174	152.77698	141.87944	116.70608	136.39215	150.38672	141.7748	145.20499	137.5664	141.28336	130.268
G900109575	63.99167	68.70171	68.267975	75.22694	77.430725	57.940918	76.39304	77.032555	82.61236	66.38548	73.9468	126.84968	0.0	76.96268	64.23916	18.200157	79.904495	84.74275	62.637028	63.603172	74.23544	90.47459	71.55855	64.474236	47.81772	79.39043	77.94349	72.92955	71.07196	33.33487	68.31488	69.70633	70.67535	71.42066	76.89829	72.23006	63.97363	74.946594	59.1935	160.14656	66.87236	85.78546	77.33339	81.362595	69.23271	83.51749	159.6766	54.35287	79.21218	55.25366	62.978664	73.08132	72.97552	72.463104	76.65876	64.2286	76.976	67.25381	66.054665	76.63807	114.95775	75.19781	61.410946	76.17265	76.346344	39.94043	79.949066	70.95621
G000258495	88.2445	15.741432	11.215448	59.971382	46.43154	81.456024	42.087337	42.432697	67.09451	58.290752	16.807978	133.46004	76.96268	0.0	85.41283	75.944115	47.54349	68.80394	95.71543	92.78805	12.416806	75.109215	37.988667	64.74936	72.85596	74.16555	46.28496	32.370888	67.762955	75.05813	56.044952	58.00661	16.684576	70.57646	43.831257	61.78138	86.76867	14.499261	83.29734	162.32518	70.29056	41.29424	64.95693	69.12696	14.602592	62.63541	163.76892	81.38338	46.650677	86.16981	59.65359	16.80112	66.61704	42.584713	39.52917	88.64097	64.82214	86.124695	89.07906	64.860306	117.7084	63.893692	87.5124	70.60023	40.508896	77.36023	48.01706	69.130066
G002000245	8.566014	86.097404	88.89787	85.62461	93.41993	32.110546	88.10657	87.49509	87.24731	81.36413	83.315475	147.54294	64.23916	85.41283	0.0	64.94516	95.843185	89.20229	41.417393	47.748936	91.50564	101.097855	90.28889	77.11482	51.855736	97.43113	94.62409	86.163	89.147156	66.22592	78.23948	77.97984	86.961914	92.25495	91.631004	79.142784	40.80971	87.09076	42.830467	167.57336	95.21943	88.78884	91.28006	93.10477	88.754944	93.343475	168.84088	28.555063	97.19921	29.661114	80.39421	86.90337	89.53013	87.634605	89.748	9.832344	90.98354	9.210677	9.447251	88.812294	134.58629	82.40822	42.10705	90.57418	89.73	59.425777	95.08338	82.34508
G000192845	60.22988	73.64623	78.35222	70.34598	83.26852	56.206505	72.7588	82.486534	80.74307	68.84709	71.88769	129.8087	18.200157	75.944115	64.94516	0.0	79.11562	87.832985	64.24332	68.32406	74.78109	80.457565	76.33399	70.565796	45.717247	84.230125	83.92371	73.17676	73.7951	38.392395	71.65514	66.78501	72.726814	81.4583	84.42214	71.55961	61.441715	74.10387	57.98428	153.53448	61.900196	87.07908	72.23602	85.066216	72.25796	74.70764	153.32951	63.82616	78.58556	70.4411	60.576595	76.7096	69.96505	65.104904	78.02444	62.29518	78.74878	64.03605	64.476364	80.2389	108.92608	64.534065	59.519794	81.478096	72.99309	46.62391	79.95206	77.53982
G900112985	94.88051	45.877193	46.40404	69.860176	34.48891	85.50161	31.503252	23.684807	74.19185	66.71679	48.191437	140.16629	79.904495	47.54349	95.843185	79.11562	0.0	74.99193	91.282234	95.81622	44.94148	82.556046	23.053562	68.08064	78.16633	75.42701	34.241932	35.752377	69.343796	82.13838	63.216713	67.27762	43.746887	73.436165	34.07629	65.18224	88.06885	44.251724	92.585304	172.69868	79.517105	33.499157	71.36429	77.31581	41.5363	72.25582	172.0746	91.07654	1.6260794	94.89626	65.21109	48.885178	65.0741	33.81475	33.881535	88.60949	75.30925	94.3584	98.770775	76.14803	122.07258	69.92066	88.49012	71.08674	35.227943	77.76207	0.15932228	71.78715
G900110415	90.563255	72.553314	69.11258	72.73683	68.49251	82.113365	70.48216	72.119354	19.382843	64.23389	72.34969	140.70966	84.74275	68.80394	89.20229	87.832985	74.99193	0.0	99.69778	95.30806	69.290985	27.031916	78.32919	63.76347	76.18664	39.633274	69.24799	68.10226	61.8187	82.451164	60.995564	64.22123	72.78214	30.354559	72.33947	61.862865	95.19464	68.29018	103.70896	162.97055	78.786835	69.999374	42.704193	36.41146	62.445644	21.890581	163.96225	87.33489	75.747025	97.09766	66.7953	71.06558	61.577633	73.90438	74.02224	94.203926	36.77333	93.12332	91.7019	17.092274	123.57265	37.07678	96.26648	14.581216	72.612595	76.21687	75.11008	28.906225
G000416985	49.258423	78.96335	95.61842	78.10504	88.84041	36.07078	86.4632	88.834045	87.2257	79.26533	88.62315	144.55707	62.637028	95.71543	41.417393	64.24332	91.282234	99.69778	0.0	25.68965	85.000916	96.42874	87.789604	72.02251	52.815094	94.060104	91.05409	82.35576	86.52726	62.692265	78.85433	76.36036	84.738235	84.9997	88.99517	85.26991	28.960114	87.73693	33.03396	172.62279	79.795906	83.57146	82.72326	93.27466	89.989876	92.50462	174.63306	44.279037	93.961235	44.501167	79.288086	87.728	82.68026	92.57875	91.10637	40.83442	93.208725	48.52331	50.44406	91.06632	126.17079	81.205795	31.960634	100.95083	88.36196	65.11808	90.86149	86.328125
G000814685	50.757744	91.633545	92.47098	87.66525	94.51213	41.109386	90.45032	97.59316	95.53147	82.00008	92.01263	139.94974	63.603172	92.78805	47.748936	68.32406	95.81622	95.30806	25.68965	0.0	91.172035	97.60134	92.68456	79.77032	57.562176	97.674545	96.236916	87.994514	90.941376	67.089264	86.189354	82.59534	88.70563	98.58864	88.37086	83.504654	31.868156	91.51239	35.614666	177.55801	82.24244	93.36675	95.34329	97.55876	88.93298	94.46468	178.55208	47.35206	97.90016	48.767925	84.80436	91.4483	86.04428	94.50347	93.299934	46.333935	95.79251	51.256126	51.32601	94.32053	125.10498	91.061646	33.898167	93.33539	94.04782	60.44437	95.71289	89.72691
G001027745	94.13686	15.109155	13.069342	62.189075	38.696293	75.01702	39.380222	41.407787	69.60176	63.366096	16.234684	134.441	74.23544	12.416806	91.50564	74.78109	44.94148	69.290985	85.000916	91.172035	0.0	69.62136	41.54448	62.606575	69.3817	69.287125	39.3783	36.168034	61.695175	72.14991	55.40391	55.464684	16.585323	67.08157	41.78555	59.391003	83.98242	14.09558	80.09972	162.63048	65.3408	36.346626	66.92838	69.86102	16.198135	59.173363	162.96895	79.2675	45.788086	89.70377	58.13345	17.438444	59.076134	45.332222	44.04632	92.017166	68.83584	92.53486	96.56197	62.574028	118.566376	63.626045	80.1102	73.88544	41.19087	77.60552	44.962326	66.7559
G000333295	106.59918	78.24577	79.71258	72.802795	76.592995	93.29192	71.93399	79.555885	24.73727	71.43409	67.10823	154.61423	90.47459	75.109215	101.097855	80.457565	82.556046	27.031916	96.42874	97.60134	69.62136	0.0	71.961334	74.646576	77.48786	38.703835	78.03448	73.12865	69.652016	90.877365	63.51988	70.82693	72.15551	35.05712	78.7026	63.25479	90.247826	74.63756	94.12104	169.22545	88.94919	82.34255	45.290012	41.840187	75.8246	16.568943	168.19106	92.44785	83.355736	99.073586	68.81801	79.43356	66.34734	75.83556	75.9949	103.051285	39.210472	104.86607	104.20864	29.748499	128.00975	39.726788	101.278244	26.692049	74.39849	89.775055	82.982086	37.437622
G900107535	95.94453	41.65915	46.215546	66.6946	30.797823	87.246666	32.2146	16.109722	71.143776	65.684	42.90423	139.20561	71.55855	37.988667	90.28889	76.33399	23.053562	78.32919	87.789604	92.68456	41.54448	71.961334	0.0	67.2595	74.63166	73.374886	30.600824	33.48595	66.650345	74.9115	58.158188	64.66861	42.597134	65.88796	31.398062	65.33787	92.61318	45.14821	86.65872	167.03633	84.32792	33.536667	69.145546	68.2823	43.079155	65.10061	169.0511	89.02821	22.736895	86.79247	64.89004	44.48373	65.91442	32.39003	31.708237	87.925804	63.299286	92.518	96.0641	73.780846	124.56337	65.58015	90.00379	71.95367	29.478462	78.705475	23.67924	68.56009
G000190735	86.640434	58.501675	65.354195	39.094524	66.19372	78.47406	61.898422	67.912605	65.77505	35.820736	64.58338	131.05557	64.474236	64.74936	77.11482	70.565796	68.08064	63.76347	72.02251	79.77032	62.606575	74.646576	67.2595	0.0	64.93909	73.65193	66.85087	60.459385	60.370186	67.575745	57.20063	28.319752	62.908176	67.854805	72.88414	56.512276	82.477554	64.24508	82.08229	163.46951	71.631	65.42405	67.58343	67.06032	58.538372	70.6639	163.34123	85.159935	70.31549	82.588524	28.788723	66.944374	62.45572	64.10131	68.13761	85.32796	70.85365	84.537285	82.8864	64.4115	115.50854	68.057686	75.82241	66.68649	63.785954	72.524155	68.03097	63.972347
G900109365	54.81865	70.343735	69.583206	66.941536	74.44787	46.124725	71.67594	75.23367	74.05332	59.840923	74.40956	126.695724	47.81772	72.85596	51.855736	45.717247	78.16633	76.18664	52.815094	57.562176	69.3817	77.48786	74.63166	64.93909	0.0	82.49188	75.367455	65.37247	68.82454	45.649086	67.536095	61.017605	72.04604	74.51962	72.82217	62.48158	47.518383	72.60056	49.85712	155.15392	63.036823	73.58756	70.80743	79.06109	75.219086	74.90676	155.10156	51.41085	76.459694	52.42598	60.841522	70.42794	68.06919	73.646286	75.22654	50.801434	76.220085	56.918613	59.517174	74.0973	108.911766	70.73652	48.31696	74.32908	74.08021	44.814537	77.922134	74.72815
G001898335	101.72746	76.62871	68.81959	73.40817	69.96094	90.31019	71.18671	76.004364	33.29485	72.19364	70.90178	145.14392	79.39043	74.16555	97.43113	84.230125	75.42701	39.633274	94.060104	97.674545	69.287125	38.703835	73.374886	73.65193	82.49188	0.0	71.3804	64.41375	66.02826	81.46071	59.286163	67.88721	67.87745	17.42397	73.08356	60.48003	95.88961	70.23137	83.99364	172.6239	77.59806	71.02412	41.898476	24.256933	68.56566	33.386158	168.62833	89.76833	76.834526	88.392	64.08914	75.26284	63.288548	73.58269	71.375	96.38653	23.37712	98.91664	98.8235	32.801155	122.5723	37.500954	89.101906	34.07916	73.4166	80.30514	74.36064	33.39037
G000023825	91.888336	43.407303	42.2418	66.73624	0.1882434	86.58212	23.139553	31.940737	72.002014	63.914906	43.998768	140.32536	77.94349	46.28496	94.62409	83.92371	34.241932	69.24799	91.05409	96.236916	39.3783	78.03448	30.600824	66.85087	75.367455	71.3804	0.0	32.293476	68.6583	76.98786	63.6618	62.98975	43.899868	69.07854	25.790516	62.632107	91.28679	40.593693	90.44043	167.26476	77.43579	13.879111	67.30966	76.19361	38.770905	69.67147	166.97865	86.57108	34.349026	89.41412	63.31141	43.48682	66.63384	24.84796	24.493845	92.620834	76.29209	91.19946	93.5479	73.61473	121.88756	67.22594	90.89418	71.92333	23.206112	72.03347	34.581596	66.36072
G001412215	87.31527	34.51038	34.91742	58.313408	32.63826	74.400185	32.89238	35.772327	64.6891	60.200474	36.309486	136.86757	72.92955	32.370888	86.163	73.17676	35.752377	68.10226	82.35576	87.994514	36.168034	73.12865	33.48595	60.459385	65.37247	64.41375	32.293476	0.0	61.719147	66.765854	52.741688	57.661354	34.147198	64.192986	34.039806	58.27314	81.735825	32.69073	85.82984	157.26707	64.41238	31.184582	66.34218	66.06651	33.93212	63.68782	158.68184	84.70683	35.262314	86.93019	55.663975	34.976902	59.699776	34.967274	34.7414	87.66864	62.50192	85.33594	87.78008	67.08163	110.451485	58.364956	82.59988	65.53606	31.078423	74.24118	36.365036	69.420364
G000403135	89.49687	62.062664	63.720238	59.4268	66.06091	84.711624	65.20347	66.3706	67.07656	61.03594	70.50907	135.88022	71.07196	67.762955	89.147156	73.7951	69.343796	61.8187	86.52726	90.941376	61.695175	69.652016	66.650345	60.370186	68.82454	66.02826	68.6583	61.719147	0.0	71.72814	40.48753	56.804337	59.23136	59.696598	65.518036	45.88576	87.91702	59.862274	86.42504	159.86678	73.932846	65.82762	60.02125	65.96287	59.906998	61.545788	163.30128	80.60595	71.889435	83.378685	59.511692	60.072495	5.1550193	69.51016	64.32434	85.6503	64.5085	91.09354	84.82489	60.42539	110.713394	59.734043	86.79671	60.96062	62.49292	74.60456	69.74863	59.12633
G000427965	68.01116	74.43255	72.78582	68.74481	75.69511	53.30986	78.390076	77.52126	79.65013	65.95332	76.890564	130.26265	33.33487	75.05813	66.22592	38.392395	82.13838	82.451164	62.692265	67.089264	72.14991	90.877365	74.9115	67.575745	45.649086	81.46071	76.98786	66.765854	71.72814	0.0	63.129272	68.78323	78.2559	83.27311	78.88733	76.81589	58.47833	79.03711	60.336514	166.80243	82.47784	80.50146	80.48717	82.544624	71.035835	74.947754	164.8585	63.34663	84.341194	69.41073	65.98062	78.931076	73.3183	80.567474	74.98587	61.578907	86.19576	65.800125	65.68309	74.20767	113.02545	71.45997	58.630936	74.78559	77.8271	47.71117	81.97191	78.7288
G900103545	84.799225	57.834213	55.997704	60.439114	62.216843	75.899574	58.104103	61.402245	53.670746	57.23955	61.790554	128.13654	68.31488	56.044952	78.23948	71.65514	63.216713	60.995564	78.85433	86.189354	55.40391	63.51988	58.158188	57.20063	67.536095	59.286163	63.6618	52.741688	40.48753	63.129272	0.0	52.44595	61.109283	54.86556	61.90297	27.071756	68.77276	58.456707	80.0438	161.33992	65.514946	63.275703	51.86029	56.47156	53.92032	53.432343	159.68391	83.0932	65.85225	79.73419	51.831745	58.953346	43.412556	62.892315	63.179443	77.935104	58.951363	81.570076	78.567696	56.455593	109.35086	52.36534	82.64752	59.691376	53.58063	63.69884	63.755924	51.620148
G000425145	82.743286	57.89761	58.5735	34.78263	61.79308	71.38746	61.68265	60.32918	62.115566	32.01733	59.03631	115.50415	69.70633	58.00661	77.97984	66.78501	67.27762	64.22123	76.36036	82.59534	55.464684	70.82693	64.66861	28.319752	61.017605	67.88721	62.98975	57.661354	56.804337	68.78323	52.44595	0.0	60.031197	63.950996	63.072453	55.400944	79.64839	54.81538	79.34331	150.7181	68.064705	61.128616	59.739243	66.523384	56.92271	60.6053	152.27768	76.30645	68.14359	82.004654	5.13783	60.24188	57.166225	64.4774	65.8809	75.82254	65.34013	81.83628	82.87131	60.477047	109.292885	55.322037	75.37724	66.296745	62.940994	64.86979	67.58857	62.316803
G900100705	93.690056	8.032535	15.47911	60.88448	43.047413	85.32921	40.429092	46.216343	69.60348	60.297836	5.9346924	140.93895	70.67535	16.684576	86.961914	72.726814	43.746887	72.78214	84.738235	88.70563	16.585323	72.15551	42.597134	62.908176	72.04604	67.87745	43.899868	34.147198	59.23136	78.2559	61.109283	60.031197	0.0	66.09008	43.401917	59.99528	85.36075	9.386916	83.79623	160.65662	81.35248	44.217903	64.63494	73.380196	16.241163	70.85765	162.34485	84.13491	42.750732	87.48701	59.500862	9.470841	59.122696	43.824158	42.14027	86.4759	68.420685	92.19411	95.15266	67.04913	118.46726	62.371216	90.036964	68.71186	44.235916	73.837135	44.259693	65.764435
G001636615	98.49925	65.14751	66.66695	65.41504	67.95598	86.61157	68.24399	66.688965	28.762	64.89071	69.498634	150.45175	71.42066	70.57646	92.25495	81.4583	73.436165	30.354559	84.9997	98.58864	67.08157	35.05712	65.88796	67.854805	74.51962	17.42397	69.07854	64.192986	59.696598	83.27311	54.86556	63.950996	66.09008	0.0	71.29127	60.886562	84.386536	68.440254	83.86016	164.68214	81.906494	70.77881	37.500225	20.831347	63.490284	33.082188	164.5938	85.04942	72.49854	86.63685	60.576656	65.62535	59.93636	69.36038	72.40392	96.82309	19.748281	98.19912	98.801315	31.701283	124.242584	37.591896	80.23097	31.599934	65.60191	77.25679	73.07454	26.72957
G000170795	94.5171	45.14314	44.274788	65.95235	25.352865	83.39656	17.826952	33.95226	70.48032	62.745308	44.930614	139.88756	76.89829	43.831257	91.631004	84.42214	34.07629	72.33947	88.99517	88.37086	41.78555	78.7026	31.398062	72.88414	72.82217	73.08356	25.790516	34.039806	65.518036	78.88733	61.90297	63.072453	43.401917	71.29127	0.0	68.91329	92.55359	43.36534	90.26131	168.69942	77.27297	25.505247	68.06629	74.71561	39.072025	72.6664	168.24768	86.943436	33.98553	90.28568	64.53586	44.4253	67.260475	20.027067	19.849148	83.51978	73.920494	94.33798	96.343185	71.19229	121.34269	67.033264	94.24875	70.65024	17.958242	76.72145	34.363758	65.61429
G000422945	87.8861	64.40077	58.717762	57.148617	61.34884	73.87003	57.15146	63.594456	59.240177	52.915607	62.384388	131.5012	72.23006	61.78138	79.142784	71.55961	65.18224	61.862865	85.26991	83.504654	59.391003	63.25479	65.33787	56.512276	62.48158	60.48003	62.632107	58.27314	45.88576	76.81589	27.071756	55.400944	59.99528	60.886562	68.91329	0.0	82.56455	57.333775	77.209366	163.182	69.374504	66.28825	57.752235	59.533684	56.365765	61.337666	160.2174	82.94069	65.50745	77.998726	55.38873	56.623802	44.59203	63.44971	63.07346	79.53847	57.05489	86.44703	84.92609	58.413353	115.71223	52.634716	76.321594	59.66463	61.748714	67.73889	65.27885	55.599308
G900102835	43.650215	83.104485	86.773056	79.6955	89.58845	39.205173	84.69221	96.241684	89.23564	72.64886	85.87377	142.866	63.97363	86.76867	40.80971	61.441715	88.06885	95.19464	28.960114	31.868156	83.98242	90.247826	92.61318	82.477554	47.518383	95.88961	91.28679	81.735825	87.91702	58.47833	68.77276	79.64839	85.36075	84.386536	92.55359	82.56455	0.0	87.20885	32.093586	171.32526	84.715225	90.58505	85.90667	91.99904	85.69659	89.557274	169.79308	37.68472	89.66613	47.748627	76.736885	87.70235	82.226715	88.70579	85.77581	44.608032	93.2674	44.027298	45.68746	95.45445	125.62429	85.47438	30.734388	92.8143	85.825226	56.61621	87.85878	85.33948
G900101435	90.65358	9.443277	16.021584	61.716114	40.235203	85.06689	39.105614	43.56625	67.553665	63.554802	10.911217	135.57404	74.946594	14.499261	87.09076	74.10387	44.251724	68.29018	87.73693	91.51239	14.09558	74.63756	45.14821	64.24508	72.60056	70.23137	40.593693	32.69073	59.862274	79.03711	58.456707	54.81538	9.386916	68.440254	43.36534	57.333775	87.20885	0.0	88.03556	167.53828	70.39553	42.2562	62.48089	67.08917	15.647686	64.50684	167.19926	81.777885	44.66734	88.62556	55.120255	10.328087	60.162003	42.483997	38.987316	84.677185	66.69856	90.15283	92.084236	64.28058	117.9089	64.47261	89.44386	67.97333	40.46251	70.713776	44.333065	66.39522
