	G000723745	G000382665	G000019665	G001914875	G000025905	G001804785	G001604605	G001604625	G001304075	G000428305	G001580195	G000382685	G000385295	G000155695	G000378105	G001804885	G000379365	G001803285	G001831055	G000980515	G001803255	G001872735	G000383735	G000020225	G001917295	G001803315	G001603055	G000173075	G000405145	G001647615	G000380785	G000170755	G001917935	G000406005	G000285795	G001613545	G001803205	G000383715	G001940945	G000739615	G900141815	G000437075	G000953475	G000817245	G001318295	G001919485	G001914855	G000172155	G000405125	G000172555	G000972765	G001578645	G000436395	G001439535	G000242935	G001438005	G000171235	G001580015	G000264605	G000402275	G000383755	G001683795	G001803225	G000372285	G000019965	G001017655	G000493945	G000526255	G001604585	G000438015
G001580195	11.66607	210.7602	183.33664	147.28242	188.08307	209.0753	193.53001	189.54579	228.71858	113.27738	0.0	211.54166	180.73819	186.46112	111.100624	211.67839	175.31621	214.66708	203.52147	13.220544	220.15756	205.16592	114.31184	10.538687	10.964612	216.18095	213.9217	130.3385	246.34068	0.28597394	242.27295	226.15068	156.10269	232.69437	120.78053	133.90396	226.78856	171.72641	11.92295	95.33041	104.714615	8.902699	181.34825	182.48048	152.70525	143.71486	149.108	110.411514	241.8233	157.79398	193.98357	0.00044684383	11.672854	193.6793	192.58769	170.44438	195.05115	198.3216	118.590096	247.95349	213.50108	52.65382	217.99458	233.87646	187.96123	212.60794	243.62234	177.1815	196.27509	207.3389
G000382685	215.23131	13.890689	213.74413	195.0948	115.85172	222.9744	217.799	204.87637	245.46014	214.45628	211.54166	0.0	196.16953	139.14017	218.29808	208.13054	201.6326	226.05824	146.47655	224.92894	217.84308	141.5792	221.47778	216.0504	216.29085	223.56697	216.49365	180.59447	256.2386	212.97902	248.73885	226.96214	197.28906	237.11676	219.19664	182.72697	229.55026	198.02855	211.12053	192.0561	205.04631	218.13016	216.54753	211.53017	203.47508	193.55276	194.67804	187.90773	255.18382	178.51176	147.66731	211.59381	221.62532	114.50718	145.44496	195.69682	145.40529	150.8203	212.17142	257.59055	15.55498	220.41704	227.99593	236.60135	140.17433	220.8733	250.02922	200.46341	136.24164	148.6245
G000385295	192.1445	198.05669	181.67491	166.06229	185.89995	216.44978	132.10562	142.30748	216.36311	189.2944	180.73819	196.16953	0.0	164.48878	180.2854	183.85817	180.13762	203.1231	194.43477	181.43819	206.59717	179.57164	189.96596	187.49976	186.88812	211.25963	198.64784	148.3466	234.45642	181.41817	232.09033	202.16667	170.26212	208.8299	188.45355	150.01518	218.26527	26.128834	186.71414	164.66501	176.95401	180.67023	185.84526	184.30276	168.4608	159.42119	162.0262	161.0472	229.32141	86.45492	174.25815	180.73747	184.10027	181.3955	184.53098	168.11028	181.13988	179.72002	193.0076	229.16145	198.3046	182.56741	200.57658	215.37259	171.34863	198.21202	229.80203	167.10506	183.07375	194.17276
G000155695	193.2123	137.03156	193.3419	165.66057	111.64533	186.9522	173.3919	184.92984	209.44891	194.31793	186.46112	139.14017	164.48878	0.0	181.33115	192.47066	175.15501	196.55365	129.58249	194.16463	197.8118	124.60374	189.52744	191.03795	191.20425	189.50821	195.96877	152.57193	228.62654	188.29875	223.28139	212.03616	178.2841	211.5947	198.5839	152.70789	205.10577	162.93219	186.84656	171.50327	173.3577	186.62415	186.32225	184.88518	178.03665	160.3846	170.1116	167.83699	229.69588	148.23706	96.4615	186.48824	196.96953	117.42151	104.18337	165.59952	103.82163	106.09301	186.43617	228.78633	140.9712	182.82092	198.51187	211.04219	94.74562	204.13474	222.1294	178.56812	118.48879	134.8838
G000378105	116.21477	210.72284	182.71791	149.13194	171.66054	220.58812	188.62645	190.03125	229.66092	93.04007	111.100624	218.29808	180.2854	181.33115	0.0	210.04103	180.16792	215.43872	198.314	119.10146	221.78554	190.35555	80.732155	114.52035	115.39549	216.5411	212.97208	123.87123	243.02283	113.13969	238.51384	219.60805	153.47682	235.68051	87.67609	143.61235	232.58961	166.70157	116.238625	82.34754	37.27437	112.14637	180.90796	182.15533	153.93867	148.20251	145.70195	111.01789	238.22684	162.03342	194.32657	111.11154	112.4436	184.64563	192.52745	165.2914	189.45105	194.80136	85.81929	243.65446	219.94238	112.926155	214.56242	231.12686	188.76065	216.24998	240.69177	173.01859	202.36517	201.49112
G001804885	220.68333	213.8662	202.63753	195.3548	202.42453	143.79857	206.91676	219.03221	196.44643	222.78082	211.67839	208.13054	183.85817	192.47066	210.04103	0.0	202.3054	85.59687	206.55476	210.28471	90.6745	192.644	205.27522	215.24895	213.25133	84.88486	166.40782	181.44424	221.14705	216.95145	212.52165	189.705	196.81627	207.48877	236.53877	180.24292	167.06564	192.01244	211.04576	189.69434	185.85391	217.73775	203.05576	212.74477	196.68521	190.29684	189.93318	188.66898	226.76251	155.46205	197.59013	211.68219	219.69919	194.5852	190.7277	193.64174	197.23387	197.16185	217.43677	214.87486	214.43108	210.38347	170.51965	204.74202	195.03615	124.81716	212.23567	196.118	194.35635	216.97856
G000379365	179.2928	202.80022	84.08638	154.73631	181.17694	201.51295	185.97734	182.73859	225.10919	183.36536	175.31621	201.6326	180.13762	175.15501	180.16792	202.3054	0.0	210.16432	202.27383	183.90527	214.58354	190.64105	180.01192	177.77579	179.32275	206.80832	211.74686	140.61888	233.98528	176.23038	230.1566	225.37077	167.16669	222.32698	195.05911	144.16542	216.04172	165.53946	181.23415	160.75075	169.486	177.15509	81.141594	85.01215	161.7634	152.59248	164.00069	152.61366	238.7506	140.66364	197.52493	175.30167	181.50168	189.25148	182.45665	126.093315	188.75172	194.68044	189.56012	238.88353	201.50357	183.03676	207.77182	226.82237	184.35637	212.8973	232.12134	19.992035	185.12111	201.71817
G001803285	221.6744	222.45349	213.60583	199.41232	205.17729	170.87193	221.48573	200.94951	210.82335	219.1155	214.66708	226.05824	203.1231	196.55365	215.43872	85.59687	210.16432	0.0	220.40147	223.87048	13.673955	215.28812	220.49269	218.49832	221.71915	4.0328717	168.43214	180.63593	225.27907	217.70322	220.62582	185.54158	201.04648	214.19678	224.99513	183.86754	178.3738	186.78595	216.01318	202.88234	210.16724	218.70886	208.99844	209.8466	196.83409	194.27522	200.37036	189.19945	223.48273	171.18105	199.8537	214.67998	223.3624	205.94359	202.50569	198.33476	205.40509	208.61986	221.06976	232.8553	225.0172	220.56091	167.77893	212.26413	196.54698	134.03392	219.91939	207.36142	205.13426	220.23036
G001831055	205.77124	142.12248	207.43184	180.65259	117.552	206.05191	202.328	197.73946	225.30452	198.02826	203.52147	146.47655	194.43477	129.58249	198.314	206.55476	202.27383	220.40147	0.0	210.79654	208.07816	89.330956	193.89304	204.13002	206.4722	217.5997	210.88744	167.54117	246.8394	204.59764	242.69815	231.51341	191.8586	227.3766	217.81366	169.79195	230.41975	177.1202	201.9962	184.86226	208.78526	205.50967	204.35362	198.79523	188.88606	185.73073	186.84335	171.0234	248.00705	169.869	143.68892	203.55249	210.85713	120.116394	139.1722	187.47093	141.82408	143.72461	205.09862	253.6525	150.3062	208.16951	217.53333	233.85135	133.64503	215.05028	240.81311	198.82704	120.549644	120.04406
G000980515	5.130947	224.79709	188.95709	151.58276	200.00517	220.40736	186.32155	188.8445	228.94891	121.46832	13.220544	224.92894	181.43819	194.16463	119.10146	210.28471	183.90527	223.87048	210.79654	0.0	226.02423	203.06479	118.18155	3.9083521	2.3859773	225.67844	222.99524	138.66206	251.21005	13.869966	245.36859	233.4994	165.29512	237.36343	125.56081	136.21422	225.9166	174.75336	5.0516095	100.67532	110.36146	8.359544	190.1208	192.20416	160.11885	150.08353	156.7219	117.35162	243.26454	151.65967	198.86606	13.2260475	4.4838266	203.30396	201.9151	179.46278	201.98804	203.26819	123.658936	246.87808	227.09871	56.458366	220.93457	230.72412	190.9164	217.17455	246.08972	181.4657	205.0953	217.36993
G001803255	222.38232	218.2916	218.57487	201.81131	194.0964	175.83446	212.72006	215.53847	230.19925	219.97769	220.15756	217.84308	206.59717	197.8118	221.78554	90.6745	214.58354	13.673955	208.07816	226.02423	0.0	201.51453	215.19093	222.5623	225.52908	17.265306	179.29515	191.16458	227.07367	223.1613	223.75775	203.40594	207.56766	214.02466	226.07904	186.36295	182.76259	188.89307	220.33665	201.27124	216.67355	222.11789	225.11623	222.25381	211.09299	199.26265	204.5272	194.73396	227.04575	187.07724	207.64427	220.1894	227.22675	201.92427	206.63866	217.49011	208.66739	208.81815	220.45145	238.08876	221.2337	223.29427	178.71806	223.95639	199.60165	135.45427	221.91505	209.52078	203.52081	212.8382
G001872735	200.17062	134.93901	191.20505	170.66945	110.40272	220.59384	187.40817	192.7898	232.82962	198.67108	205.16592	141.5792	179.57164	124.60374	190.35555	192.644	190.64105	215.28812	89.330956	203.06479	201.51453	0.0	196.15782	201.63376	203.19418	209.87222	211.19763	160.7034	252.64395	204.07533	237.31874	209.96027	184.61563	218.06528	214.61304	166.25877	219.39383	178.37529	199.29439	181.74849	184.10103	197.53175	200.57231	199.38815	186.72075	167.48247	188.84024	166.81355	231.5357	169.11134	126.70775	205.21835	205.92024	106.92312	132.6822	184.83803	135.21614	139.03146	203.40031	245.66016	137.4375	200.9003	208.99277	215.27676	122.8649	211.42766	236.44072	189.50464	107.23097	111.128494
G000383735	117.39179	217.72725	175.97478	149.44725	191.94048	202.98412	191.92172	196.09486	244.94545	99.202896	114.31184	221.47778	189.96596	189.52744	80.732155	205.27522	180.01192	220.49269	193.89304	118.18155	215.19093	196.15782	0.0	116.90752	117.345566	228.58472	216.4854	141.75606	246.74619	116.84458	245.49301	238.62674	156.25987	228.57976	26.384518	138.53445	205.18256	165.52312	121.86124	85.53872	74.80072	113.60254	178.31557	182.97495	156.82533	150.314	146.85184	113.36186	239.38326	160.05899	194.05043	114.31063	113.61205	189.72028	197.11958	169.63998	192.97087	206.59293	21.34945	252.47075	220.88954	117.28929	228.83675	226.024	190.80478	219.2844	244.7804	173.3229	197.4803	217.47763
G000020225	1.4375198	215.5915	184.7415	148.71278	192.86559	216.98184	199.86931	190.21918	233.76439	117.70573	10.538687	216.0504	187.49976	191.03795	114.52035	215.24895	177.77579	218.49832	204.13002	3.9083521	222.5623	201.63376	116.90752	0.0	1.6980369	220.61763	216.05649	134.70119	250.90442	11.118	246.258	234.64305	159.98413	238.37325	125.471634	136.92027	226.19029	175.3188	2.6283047	100.877235	107.47952	5.6297016	183.95242	184.24352	156.28934	146.87166	152.45609	113.77457	245.49211	157.41376	194.81355	10.540674	2.286568	195.13722	198.61223	170.77454	199.09525	200.17856	122.68072	249.39241	218.13838	55.440575	213.86934	233.44531	189.57698	217.2363	247.59225	177.1963	199.12923	213.65887
G001917295	2.6506515	216.44052	185.82433	148.16577	196.5077	220.69719	198.92462	192.72673	237.1968	120.72778	10.964612	216.29085	186.88812	191.20425	115.39549	213.25133	179.32275	221.71915	206.4722	2.3859773	225.52908	203.19418	117.345566	1.6980369	0.0	223.8567	219.26208	134.86595	252.57137	11.541948	247.01207	236.01048	157.77618	240.39519	124.247856	135.55292	226.57382	177.51274	2.6769216	100.45922	107.66978	6.1138935	184.10913	185.3697	156.04391	146.55307	153.36742	113.80165	245.68864	157.23058	196.52025	10.970745	2.2306187	198.586	198.30565	172.946	197.9555	199.43	122.43348	249.05525	218.44594	53.694695	219.10112	232.30879	190.4239	216.67706	248.36717	177.73944	203.1057	212.53914
G001803315	222.99884	219.37605	217.99857	198.2729	203.6606	169.87552	213.29512	205.76822	208.59077	223.90019	216.18095	223.56697	211.25963	189.50821	216.5411	84.88486	206.80832	4.0328717	217.5997	225.67844	17.265306	209.87222	228.58472	220.61763	223.8567	0.0	167.04924	185.24234	223.98772	219.31131	217.45552	179.81447	206.33057	214.119	233.21243	189.97334	181.83275	197.43703	218.19621	206.89868	211.07167	221.69583	210.95143	211.8994	204.01169	193.69879	201.33994	190.50702	223.5017	173.91016	200.06235	216.19888	227.43698	205.63988	196.51154	193.42834	204.37077	204.70622	225.95929	230.0496	220.83147	221.9897	168.76346	205.58101	193.88535	130.70943	217.16841	207.22853	203.48738	217.72379
G001603055	218.6704	217.94221	213.79202	193.18741	205.16818	123.86408	203.43419	212.0833	206.42145	217.81676	213.9217	216.49365	198.64784	195.96877	212.97208	166.40782	211.74686	168.43214	210.88744	222.99524	179.29515	211.19763	216.4854	216.05649	219.26208	167.04924	0.0	183.38445	224.82343	217.29079	218.5775	161.03105	204.97243	214.27513	228.54398	183.87279	133.61624	196.5565	214.99246	193.75697	209.07895	212.3121	209.84229	209.65439	200.33025	194.35211	202.74004	186.22873	221.93471	171.58403	193.01526	213.92842	221.30464	203.53407	195.73138	198.89517	204.13248	203.93362	223.39182	223.22162	225.4268	215.03291	129.51268	208.9517	198.61038	163.05142	219.22658	199.01434	201.20769	216.29543
G000173075	137.83821	179.95155	148.68176	87.07456	160.37654	168.83415	165.76994	148.26837	201.97154	140.47678	130.3385	180.59447	148.3466	152.57193	123.87123	181.44424	140.61888	180.63593	167.54117	138.66206	191.16458	160.7034	141.75606	134.70119	134.86595	185.24234	183.38445	0.0	214.68265	130.48914	208.80307	194.4831	87.62854	205.56609	140.94456	82.03685	193.23387	136.47983	135.94525	112.836945	129.48273	133.68456	147.23955	148.76535	100.40005	81.115875	86.04421	108.12786	204.32317	111.286285	161.1327	130.36806	133.28197	155.95259	160.1314	133.2267	161.40704	164.2046	146.91435	212.81682	177.66986	129.25601	179.67438	202.79573	147.44218	178.62128	210.16623	146.8684	160.11235	177.9524
G000405145	251.9996	254.35872	243.27165	229.07484	233.02713	221.56854	243.62288	240.92693	213.51239	249.79065	246.34068	256.2386	234.45642	228.62654	243.02283	221.14705	233.98528	225.27907	246.8394	251.21005	227.07367	252.64395	246.74619	250.90442	252.57137	223.98772	224.82343	214.68265	0.0	249.14795	4.959598	239.72258	228.91032	210.15465	254.40672	218.34077	232.96559	223.09471	251.18016	233.93744	238.59952	249.85315	247.64514	242.07756	241.15088	227.57251	225.59067	214.60611	18.446346	211.13364	235.25212	246.34996	257.52002	238.11385	232.19504	228.01991	229.88571	237.7651	257.36786	21.345818	263.58398	251.82875	228.73793	214.99675	227.15819	224.02779	4.8321805	232.04077	235.9743	258.7631
G001647615	12.035166	211.29846	183.47351	146.38326	188.62247	212.4485	196.48758	189.95734	231.40085	114.71965	0.28597394	212.97902	181.41817	188.29875	113.13969	216.95145	176.23038	217.70322	204.59764	13.869966	223.1613	204.07533	116.84458	11.118	11.541948	219.31131	217.29079	130.48914	249.14795	0.0	244.92554	227.75508	156.20764	233.8571	121.78713	132.67664	228.0932	172.00867	12.7957115	97.48363	106.94402	9.257404	182.20242	182.86816	152.05907	142.43437	148.73062	110.74404	243.58353	160.55058	194.20903	0.28852227	11.974161	194.20186	193.84105	171.10489	196.47263	199.2162	121.327965	250.3793	214.41177	52.60924	218.1278	234.83206	188.50237	215.37108	246.40984	178.09067	197.76343	207.74988
G000380785	246.43022	249.065	239.81218	224.34633	226.70108	221.1635	238.2797	238.16809	204.59126	245.24518	242.27295	248.73885	232.09033	223.28139	238.51384	212.52165	230.1566	220.62582	242.69815	245.36859	223.75775	237.31874	245.49301	246.258	247.01207	217.45552	218.5775	208.80307	4.959598	244.92554	0.0	237.13232	228.66989	200.83003	249.04291	210.50194	232.2462	226.13441	247.66904	225.82983	230.78731	246.30244	242.10994	238.64009	231.60727	219.5174	226.05788	214.33401	9.489064	203.85167	227.24316	242.28311	253.50221	230.3197	225.33481	222.29758	225.97546	229.42278	248.90399	9.706675	251.96843	246.41388	225.22235	199.38722	220.70981	216.42526	0.38082618	229.94975	231.73367	248.37598
G000170755	238.19382	226.39702	228.42522	214.72932	218.5247	156.09451	224.99568	229.48894	222.17201	232.53978	226.15068	226.96214	202.16667	212.03616	219.60805	189.705	225.37077	185.54158	231.51341	233.4994	203.40594	209.96027	238.62674	234.64305	236.01048	179.81447	161.03105	194.4831	239.72258	227.75508	237.13232	0.0	223.08281	225.20633	236.37341	196.22469	165.67323	233.13077	229.68188	223.09753	223.44678	223.33675	225.012	221.08315	224.08347	207.52531	210.37445	198.19368	244.30537	186.40295	218.52765	226.18256	236.32668	214.34474	216.51408	212.97028	214.75652	218.29372	226.08002	236.87947	260.08447	233.29639	160.08209	227.3632	211.14789	181.64902	238.91595	214.38367	217.55757	236.27457
G001917935	161.13553	194.23753	171.25339	42.195305	182.85767	200.33789	187.77611	171.22063	231.20634	155.1799	156.10269	197.28906	170.26212	178.2841	153.47682	196.81627	167.16669	201.04648	191.8586	165.29512	207.56766	184.61563	156.25987	159.98413	157.77618	206.33057	204.97243	87.62854	228.91032	156.20764	228.66989	223.08281	0.0	230.68828	163.45966	106.274734	211.73936	155.84123	157.92375	144.98277	147.70952	156.9977	172.59828	171.72574	126.94389	40.274117	44.27968	127.195175	231.99701	158.76031	187.63374	156.14201	154.78076	177.42804	181.1301	154.11823	179.9261	184.75621	171.76785	236.7569	202.70036	156.49393	210.90666	216.38806	174.65768	208.82281	232.108	161.30876	180.29102	193.1501
G000406005	240.32867	228.90057	230.69743	221.75624	204.39429	207.97992	220.51158	230.04726	167.87624	228.31287	232.69437	237.11676	208.8299	211.5947	235.68051	207.48877	222.32698	214.19678	227.3766	237.36343	214.02466	218.06528	228.57976	238.37325	240.39519	214.119	214.27513	205.56609	210.15465	233.8571	200.83003	225.20633	230.68828	0.0	237.10542	205.41234	229.51743	211.0369	237.69133	215.74081	220.34113	237.62527	230.06053	228.17891	216.77939	213.49815	212.757	200.382	203.16553	198.45526	215.12047	232.68166	243.80753	220.67648	219.83147	227.96136	220.6514	224.54485	239.69708	215.46764	242.83931	227.7933	207.388	75.90956	212.8409	220.17163	202.85031	221.96907	229.11696	234.73106
G000285795	124.80725	213.92538	187.60048	150.92441	206.25563	223.83105	199.90155	194.10074	238.33139	111.932304	120.78053	219.19664	188.45355	198.5839	87.67609	236.53877	195.05911	224.99513	217.81366	125.56081	226.07904	214.61304	26.384518	125.471634	124.247856	233.21243	228.54398	140.94456	254.40672	121.78713	249.04291	236.37341	163.45966	237.10542	0.0	143.14226	234.80634	173.76535	131.2432	93.048996	80.17619	123.90803	187.65022	189.55173	161.73772	145.65147	155.33351	119.40206	237.68991	167.46748	203.22305	120.79657	120.82043	203.8472	211.00385	173.86569	205.03021	207.5787	17.041847	252.05801	213.02531	115.694664	227.64658	243.27507	202.35036	233.22336	249.40373	184.85126	208.7269	217.15152
G001613545	137.16641	181.75145	147.84428	96.00769	158.54132	177.45125	159.71532	157.2957	202.76622	133.42409	133.90396	182.72697	150.01518	152.70789	143.61235	180.24292	144.16542	183.86754	169.79195	136.21422	186.36295	166.25877	138.53445	136.92027	135.55292	189.97334	183.87279	82.03685	218.34077	132.67664	210.50194	196.22469	106.274734	205.41234	143.14226	0.0	188.25044	139.50453	141.29118	122.53155	125.03117	136.33101	149.88757	150.69627	81.000824	92.76749	101.15225	102.39006	209.31738	123.97052	151.72037	133.95079	137.38557	162.49138	159.09677	140.5069	168.16238	163.99344	145.83185	212.66653	179.16989	132.99258	188.33957	201.36324	158.75087	176.64641	212.53458	142.2446	164.949	175.64316
G001803205	230.26833	223.26125	229.40001	199.39702	208.70128	105.37093	224.06262	210.19206	225.67041	241.16566	226.78856	229.55026	218.26527	205.10577	232.58961	167.06564	216.04172	178.3738	230.41975	225.9166	182.76259	219.39383	205.18256	226.19029	226.57382	181.83275	133.61624	193.23387	232.96559	228.0932	232.2462	165.67323	211.73936	229.51743	234.80634	188.25044	0.0	193.14812	224.52292	204.42482	214.2217	219.5765	215.29999	215.99574	206.86798	207.53033	210.82285	196.42259	225.02998	188.71574	208.71185	226.78773	226.96097	210.92538	213.6489	206.39684	211.929	213.33585	236.65785	240.66872	241.18578	217.18713	101.806854	216.22626	194.9548	179.90565	230.50104	208.1372	220.07796	225.47037
