	G000807855	G000374025	G000390185	G900112255	G000426725	G001592945	G000422585	G000974425	G000265075	G000265505	G000296815	G000277005	G000183425	G001567185	G000701505	G000263195	G001314815	G000429445	G001281695	G001442615	G900129785	G000169175	G900156415	G001078055	G000265405	G001657315	G900112005	G000325705	G000973725	G000374085	G000331535	G000373245	G900100765	G001592935	G001593005	G000473365	G000482465	G001747105	G001647285	G001890965	G900107465	G000812565	G000429425	G001050135	G000014145	G900113045	G000472485	G000429465	G000330725	G001870735	G001267955	G001898575	G001747095	G001483135	G000298295	G000714815	G001611675	G900112365	G900103285	G000429405	G900129725	G900116615	G900115665	G001592965	G900111145	G001683905	G000373265	G000295935	G000222485	G900142205	G000379765	G000566685	G900116885	G000428845	G000331105	G000166275	G000737515	G001306455	G000423565	G000024525	G000166395	G000427295	G000427405	G000473765	G000381545	G000430505	G000346615	G000715495	G000382225	G000383955	G000972495	G000023125	G000348925	G000379725	G000801315	G000374065
G000296815	120.034065	23.177471	122.31975	96.22674	99.73357	112.36694	114.16025	28.716915	129.34776	111.51659	0.0	105.39212	109.98168	115.848236	68.03448	69.441216	128.92863	120.59717	91.50868	126.85621	121.532745	103.1419	100.40924	108.14867	114.66243	106.254326	126.19817	112.63844	102.80897	29.52603	104.405975	116.14148	88.67101	110.06737	109.43439	98.99887	59.456276	117.35026	104.08	95.17398	119.00298	116.902565	119.394806	122.15771	106.81601	100.6294	101.0744	120.57243	122.717415	31.294281	110.94738	25.970661	112.13041	105.36398	113.97365	120.112656	102.70669	24.16375	68.692955	123.37715	116.47776	123.913506	69.61595	115.68332	115.027885	106.16037	100.16045	114.47912	121.12808	114.863945	107.5081	67.255135	105.020805	67.4851	34.4394	122.126595	105.810356	84.73787	62.57683	26.868246	83.73874	123.94646	67.700134	118.89061	118.42587	96.44779	107.14014	119.00831	115.38826	29.540583	115.60109	68.40848	109.64705	104.6477	107.50059	28.030355
G000277005	104.916336	107.84169	117.742004	81.6609	81.62321	107.40272	106.13735	109.56528	120.890236	100.97302	105.39212	0.0	104.138504	113.648224	104.50393	95.11534	120.913826	113.794044	90.34057	120.06506	115.66363	96.34715	3.3693411	58.774582	106.79389	105.274216	115.69485	108.265884	29.57603	113.64523	101.15037	113.6115	87.76668	106.70805	104.88072	53.111576	98.38078	103.96555	55.41313	95.36503	108.667885	110.41364	112.43907	117.11299	90.442825	94.31214	28.715572	113.2157	113.06575	97.14137	104.03078	105.47757	103.93246	70.62629	109.77369	106.98833	30.211077	110.506355	104.373566	116.1037	112.071945	113.51764	99.23519	108.78202	106.68201	99.83217	15.720061	106.8554	116.19133	109.627815	96.799385	105.05542	30.980122	107.35775	108.99007	112.59931	73.57169	108.003654	99.6006	108.58872	110.12909	122.07734	100.97709	110.22583	108.965836	98.93836	105.43385	74.30067	78.1291	106.08549	77.01967	105.02989	106.29868	91.42627	71.0792	116.32474
G000183425	93.29911	112.64769	87.025696	92.51827	88.51131	71.82075	103.41146	117.050316	97.35352	106.10289	109.98168	104.138504	0.0	90.420586	112.40162	91.99959	86.309395	93.36345	97.460785	84.175766	85.39071	105.55339	98.366234	103.878525	73.99479	82.05357	88.49478	78.81007	104.54051	118.49172	71.17655	83.81421	96.87589	69.7406	71.17477	97.149216	108.31666	76.49642	92.574585	109.52659	82.34029	99.85162	93.833855	89.88404	107.12509	87.493484	104.25774	85.32447	83.996086	104.87529	70.60915	110.69706	78.04874	106.53734	91.66705	81.81898	100.33586	109.91364	102.2119	87.5977	88.143486	89.462265	106.657104	73.881424	75.87771	79.539116	96.52041	89.71427	85.20411	72.315186	80.535774	113.98293	102.08914	105.82132	114.67938	81.76221	112.62261	115.066734	101.41219	122.1925	117.74132	90.027084	106.043015	82.18352	81.94875	98.5668	77.076775	115.4349	120.91194	106.76872	106.81165	108.95843	82.62309	102.81377	109.66784	112.98664
G001567185	105.65932	118.54147	90.83038	98.03739	107.007545	89.502556	112.880005	119.60886	104.385956	112.17339	115.848236	113.648224	90.420586	0.0	122.14384	106.39514	106.83397	103.29755	104.67513	97.348946	96.48518	110.27339	102.94536	111.552605	89.71027	70.06776	105.74201	101.79496	112.66672	121.9829	60.85027	97.049416	104.47954	90.477875	88.89901	102.76685	110.658875	95.30851	111.964714	107.197495	96.33418	106.95048	101.58779	105.34059	107.539154	96.86624	109.40893	100.10129	101.98682	108.524635	93.033005	120.674515	87.548904	112.79325	92.98794	98.606384	106.892136	123.58919	118.289	109.4344	41.699806	96.3958	111.7114	96.8019	86.35675	79.70482	104.48829	99.03129	96.61418	92.58601	92.898605	123.93019	108.66359	120.04418	124.88832	97.73459	120.10793	117.05935	110.43557	128.78075	122.16865	105.95549	114.09843	95.137314	95.56125	107.62206	78.86421	119.089264	124.494	112.82639	124.26408	117.74422	85.370895	109.03967	112.979996	116.24257
G000701505	121.85564	74.04132	126.544754	102.04952	102.65785	122.61319	118.74699	77.912994	131.23409	118.93029	68.03448	104.50393	112.40162	122.14384	0.0	75.50449	132.51158	125.71392	99.48471	124.28585	123.942314	104.97165	104.06587	109.844444	117.905045	111.48819	126.69422	124.8289	109.83778	78.08026	111.35139	128.10541	108.709564	116.6281	114.161835	107.21679	55.8562	119.95072	105.56172	100.18691	121.82601	121.44758	128.2374	130.5493	112.021454	108.213615	109.25502	123.320145	123.11719	66.428665	117.266754	73.41092	117.617424	113.35878	124.39334	124.15209	108.81636	75.031494	75.08232	129.25827	129.67886	128.99591	71.67522	121.756485	118.42529	113.15786	109.15566	119.40335	131.12146	120.15869	111.456696	31.210012	111.505974	15.197668	73.95824	127.12192	119.43078	89.48236	58.569588	74.00054	91.19697	131.62267	74.60955	123.6968	121.963234	104.915276	110.720055	120.80601	120.72101	70.4004	119.23026	16.924963	116.178665	111.28594	112.98472	75.36471
G000263195	105.905396	73.03387	112.466644	86.594955	96.56649	107.53019	105.78203	77.83237	115.18189	104.51512	69.441216	95.11534	91.99959	106.39514	75.50449	0.0	113.75368	113.71725	84.05957	117.0623	116.106476	90.036	93.25934	97.01851	101.323395	98.86457	117.906555	106.60233	93.23228	76.66973	101.05348	109.01072	91.67755	105.938	103.19543	92.8671	62.59342	106.94221	93.22716	86.46347	107.52677	106.50413	116.31659	119.80987	98.271866	90.17297	94.21201	120.34513	114.57405	67.80517	102.79965	76.92729	104.2543	101.25706	104.62823	112.24487	93.95144	77.04998	67.54027	110.07327	108.50127	112.10868	63.93454	105.24629	106.93371	100.52966	90.8496	117.236046	104.47115	105.0388	93.74696	72.01581	96.17808	75.48585	75.37444	115.92603	100.71414	53.339104	69.4298	77.17858	55.26792	122.65598	63.687714	109.91432	108.023994	92.708176	100.93901	108.19967	108.80353	71.17996	104.64152	73.02363	103.971954	93.92716	104.57164	76.58385
G001314815	118.14838	130.32315	59.751484	115.89404	124.62501	94.74029	122.617096	138.30048	60.466724	120.238945	128.92863	120.913826	86.309395	106.83397	132.51158	113.75368	0.0	31.98769	118.96493	38.036293	36.88422	120.78544	116.53359	120.98638	47.8032	98.14766	38.12949	57.435394	123.67258	138.89256	88.152405	61.87575	117.17754	94.40658	95.050415	122.96799	126.48882	96.09515	125.26668	119.32946	48.769993	117.57202	29.448454	66.40047	122.212296	111.86096	119.15492	23.205698	53.13046	123.566795	93.48421	130.9849	96.57487	126.77412	51.812218	57.462856	117.781456	132.43439	122.55133	4.8179073	103.31441	36.0997	123.37652	102.41552	97.72154	91.19214	117.98925	50.554684	57.863705	94.22499	110.13982	129.03242	119.7213	130.86926	132.71582	36.7292	135.30203	130.56058	112.8163	137.91061	137.91544	69.85723	126.85486	49.093586	48.47591	122.591835	92.46946	129.07315	135.81166	124.11057	128.05392	129.03983	100.47609	122.65564	127.35774	135.67201
G000429445	105.05145	124.48507	56.45647	108.218796	105.28933	91.555984	118.579666	126.60108	58.443604	118.952675	120.59717	113.794044	93.36345	103.29755	125.71392	113.71725	31.98769	0.0	114.16432	31.788517	31.160494	112.825806	110.24992	114.02525	44.638554	96.019295	34.198174	53.652164	119.58245	134.49165	89.12836	57.816387	110.9736	89.830055	90.15459	111.121574	121.01989	95.64595	112.64196	112.00437	47.077515	112.435875	18.043055	63.75632	119.57851	104.97147	113.24313	24.4038	44.462368	121.90116	90.6053	128.07	93.190384	121.92321	47.69854	52.860035	115.89726	127.94955	117.67485	29.90719	91.30257	30.765833	118.18385	93.770195	97.07674	96.6145	114.81783	46.19373	57.996784	96.16839	99.95717	126.47827	117.94179	125.08258	131.74283	29.682652	123.60865	129.04813	122.63667	121.023186	135.57043	63.753117	121.47114	46.994015	46.652077	114.148346	91.49786	128.93985	128.83209	124.26276	127.874695	127.116714	95.202065	120.4678	124.0644	136.272
G001281695	99.67531	94.66009	104.659195	83.85847	82.95634	102.27254	102.84945	101.17195	113.05685	96.035126	91.50868	90.34057	97.460785	104.67513	99.48471	84.05957	118.96493	114.16432	0.0	118.34089	108.68159	78.6578	86.44759	92.21938	102.12582	92.55781	114.08695	100.31912	86.021515	102.66113	92.448204	108.491974	89.408134	104.36119	102.03008	92.65076	89.46459	106.302795	86.387344	72.45835	107.03965	105.853035	106.243416	110.50309	93.519356	85.867485	89.15577	102.876205	105.32593	93.18188	101.548996	96.77129	105.42394	95.836945	109.26561	102.19218	89.23056	102.76685	89.52668	114.242615	101.3151	113.7146	89.58341	97.083145	104.6002	95.04392	83.56173	99.903244	112.76592	104.793465	93.59976	101.26496	90.91888	96.89269	98.28039	103.14262	98.327896	98.004135	91.31704	102.40772	102.3703	114.363785	88.64434	105.01549	105.42377	75.89028	97.16894	99.629234	105.01576	93.031555	102.100395	94.55588	101.64132	94.97844	96.75467	102.264496
G001442615	115.38076	128.04074	53.39789	108.50747	114.04749	96.38151	118.94373	135.03242	59.24766	116.565384	126.85621	120.06506	84.175766	97.348946	124.28585	117.0623	38.036293	31.788517	118.34089	0.0	23.17226	115.36601	113.06364	118.46152	47.60552	88.94993	14.047937	54.071507	114.421005	128.4683	83.58996	57.128086	115.85017	94.5186	92.29167	121.86954	117.28169	95.84186	111.07602	117.260025	45.604874	117.71576	31.246231	61.29171	116.67478	105.53378	117.06632	31.146904	51.99984	120.25752	96.03402	124.9087	100.44915	125.21622	48.242805	49.998394	113.761024	127.83014	120.18154	34.999985	99.09515	11.526606	106.88167	91.87009	95.927216	97.47575	112.49096	44.028778	63.76264	96.489395	106.749985	125.13483	115.659935	124.81135	127.87827	25.958677	125.58131	143.07344	119.2861	132.68126	130.63899	63.21497	112.81122	45.47832	45.12363	116.1106	91.734764	129.29778	128.8509	122.59682	127.55854	126.726	95.76257	119.44967	124.67328	125.418594
G900129785	105.15032	122.47561	52.07502	106.76841	113.26307	93.01658	119.04223	130.86131	59.967503	118.062706	121.532745	115.66363	85.39071	96.48518	123.942314	116.106476	36.88422	31.160494	108.68159	23.17226	0.0	118.61784	109.041245	114.99113	45.39683	88.30408	25.184877	53.51811	113.73042	130.47075	96.2444	56.99551	110.517365	90.90078	90.34361	111.85797	112.703285	89.40573	111.38267	109.66906	44.82996	107.40914	27.642736	61.167625	111.434746	103.62695	113.81431	26.954407	48.014828	118.574	91.014496	122.87978	90.863945	118.31228	39.48419	52.08862	111.81271	129.03194	119.55288	28.75466	94.43312	24.701025	125.51687	92.48204	98.945	98.29036	107.064	43.248936	62.00409	93.09339	95.20203	115.65944	113.59	125.66714	127.551544	13.002482	120.83808	132.26433	118.46683	133.64381	124.687935	60.789036	123.83806	42.676445	43.395504	111.45273	84.54637	126.103676	127.6004	124.90536	124.09731	120.18217	93.367065	109.651085	119.97015	129.87
G000169175	108.75755	103.02448	111.11655	91.78999	88.76868	106.33375	107.3123	105.167	121.286285	105.168175	103.1419	96.34715	105.55339	110.27339	104.97165	90.036	120.78544	112.825806	78.6578	115.36601	118.61784	0.0	93.57502	98.26933	111.46117	101.15267	116.54735	109.95888	96.055984	106.33664	94.84025	113.917534	90.41072	105.14093	105.033394	95.70179	95.64787	108.71432	93.30742	20.414255	106.69704	109.824554	117.56026	115.26926	100.1783	91.4853	95.30791	117.23774	117.45959	94.7156	105.86789	105.44974	105.91171	101.42571	117.34823	106.38153	95.0644	103.91154	96.06489	116.04686	105.601234	113.10404	95.08668	107.718544	105.57454	101.48276	97.8865	105.97334	114.55507	110.49394	98.64665	106.21165	96.7406	102.66382	104.04988	113.90233	104.84877	107.50834	94.54542	107.00733	106.52011	117.22446	94.72705	108.16747	107.1279	65.41013	97.14421	104.82744	111.296745	100.98046	108.03809	102.73012	101.31685	98.73584	106.16825	105.12593
G900156415	101.7209	102.74421	109.36921	77.964485	81.05145	101.6471	101.84916	106.5045	115.49905	98.41817	100.40924	3.3693411	98.366234	102.94536	104.06587	93.25934	116.53359	110.24992	86.44759	113.06364	109.041245	93.57502	0.0	54.656868	104.1364	93.14352	111.374435	104.51325	27.776403	110.24874	93.029434	108.16596	83.5663	101.72598	100.432884	49.56129	96.15219	105.54262	50.75796	92.215385	105.47389	103.57991	109.462204	109.19056	88.50135	90.812225	26.462086	107.64397	110.79531	96.159615	99.571976	101.72639	102.6816	64.92684	106.09749	105.1344	26.710632	108.18907	99.18899	111.57795	101.957634	108.45673	94.90531	107.921455	105.041664	100.03699	12.5617285	102.77915	110.390594	106.68715	94.75847	104.21362	27.780882	106.61872	106.26531	109.83523	69.09721	106.77018	98.44154	108.7101	109.69766	112.74516	94.512726	105.69281	105.09046	96.15348	98.67189	70.39639	75.83297	102.15598	71.12883	104.540665	100.363945	88.30337	65.40257	108.91334
G001078055	105.36426	109.07744	110.48027	83.838715	82.75624	108.30044	108.84856	108.616356	121.66924	105.16761	108.14867	58.774582	103.878525	111.552605	109.844444	97.01851	120.98638	114.02525	92.21938	118.46152	114.99113	98.26933	54.656868	0.0	108.05088	100.74322	118.787186	113.80155	59.192657	113.59245	101.185036	112.224754	88.784325	107.893	107.417725	47.276325	102.347084	106.42891	22.100506	94.90873	111.900986	109.67058	112.40894	113.37202	91.39038	94.49309	56.058197	113.41885	114.466545	102.24829	105.703575	112.00431	106.252594	72.21777	110.0502	111.90436	56.00556	108.395004	104.66526	114.132614	110.13736	114.64674	100.68574	106.110886	112.61775	99.451416	53.89783	111.90994	118.886925	111.96296	99.8623	103.80715	57.76889	109.57029	111.53492	114.710884	77.03355	112.20816	102.31718	113.23264	115.116516	117.171	102.006905	112.9743	111.958496	99.110016	105.96427	76.36763	80.43629	103.970146	78.419174	107.06477	103.72009	96.26509	69.26784	111.80912
G000265405	101.581924	123.49892	50.791267	101.639755	97.65383	87.16053	113.24076	120.346344	52.564575	99.65257	114.66243	106.79389	73.99479	89.71027	117.905045	101.323395	47.8032	44.638554	102.12582	47.60552	45.39683	111.46117	104.1364	108.05088	0.0	97.27482	42.866066	48.044113	108.38793	127.348465	84.17678	51.03423	104.21947	82.076904	86.466835	110.30997	111.37536	87.064415	103.691696	110.514015	26.259062	99.73395	46.998623	55.34726	112.25969	98.11535	104.32663	42.61928	36.447807	112.02603	87.65934	126.03716	85.90526	114.94683	32.07336	48.463226	108.19828	123.598495	115.65017	47.755215	93.155075	43.435387	114.52408	89.00327	89.0544	76.90134	106.75948	26.903873	50.58796	83.70731	102.66005	119.28656	110.342705	119.308975	124.83451	39.47878	121.39932	116.85044	109.77049	119.38047	122.87336	56.958447	115.90536	26.316809	25.85176	109.89694	87.30588	122.96924	124.10362	115.75109	121.88374	121.301285	88.5883	113.566315	115.7759	124.72804
G001657315	101.0818	112.29989	81.88053	92.18987	100.10722	83.5889	101.58085	118.90926	96.53885	102.47544	106.254326	105.274216	82.05357	70.06776	111.48819	98.86457	98.14766	96.019295	92.55781	88.94993	88.30408	101.15267	93.14352	100.74322	97.27482	0.0	97.15543	83.14549	100.992516	116.01475	34.48854	90.536934	101.50314	82.40683	82.140854	102.71788	102.6558	85.74622	100.80487	103.3547	88.66943	95.26812	94.71521	96.215096	100.10285	91.941345	98.11622	92.20354	95.14395	100.91017	84.500496	109.07411	80.12961	106.61915	87.36213	88.46774	103.796036	115.734795	104.67898	93.834595	63.41795	91.07645	107.13153	93.11627	90.31599	76.74659	103.85042	82.54923	95.504105	83.48834	83.784584	111.040184	105.908165	112.4891	115.016716	92.41162	107.659996	108.44549	113.59563	124.96409	115.06841	94.99482	102.38346	88.246254	88.22781	104.428566	71.753746	112.61931	119.34309	108.933365	111.39436	111.33627	76.24802	102.834114	106.59416	115.44574
