	G001603925	G000397885	G001799925	G000020145	G900142455	G001799775	G001799975	G001462235	G001799795	G900143015	G001303705	G001875255	G001918595	G001799915	G001802045	G001577125	G001800205	G001302835	G001799745	G001784175	G900129735	G001603905	G001780165	G000010305	G000980745	G001304255	G001873075	G001800495	G002011675	G001800455	G001303225	G000146065	G001800425	G001462255	G001799565	G001800525	G001871115	G900142465	G000146505	G001577185	G001412425	G000474745	G002010615	G001800355	G001462305	G001603875	G001780795	G001789275	G001462245	G000404745	G001871125	G001304335	G001800635	G001045525	G900142545	G001799575	G001919145	G001462225	G001027545	G002010635	G001800015	G001800565	G001800475	G001780825	G001780805	G001508575	G001577135	G002011635	G001462345	G001800315	G900142505	G000980735	G000024665	G000980765	G001920195	G900142485	G000402415	G001777945	G001800095	G002010655	G000695095	G001304185	G001800235	G001800245	G001462315	G000522985	G000494005	G002011615	G001800325	G001303785	G001800375
G001303705	220.40445	184.2699	209.44489	221.29358	214.83066	211.2822	208.09467	207.11844	226.57458	219.46751	0.0	209.48105	199.07874	219.78484	189.83546	195.14383	193.13486	6.5745893	217.43097	213.22379	214.83963	220.63452	189.21954	197.53496	202.18782	188.1781	216.53639	208.83345	191.62079	193.22789	173.05667	196.77446	192.45882	201.76712	217.44061	193.14273	214.96465	216.15477	217.30704	195.62	191.11981	209.72513	185.93611	194.45695	220.1111	207.14957	173.11826	187.725	207.33327	191.38026	197.89574	113.39604	190.7326	197.41725	224.25766	212.52632	188.97868	215.65532	205.70541	179.79553	204.86174	188.1328	189.33348	167.21196	184.85347	181.63637	197.02791	191.35028	207.14957	187.45148	216.9445	198.62306	217.8129	204.59618	188.06212	217.85567	202.44438	137.94702	205.5001	183.28436	202.45921	5.1540775	192.03098	219.63963	220.40445	191.90018	202.3957	179.09135	200.77663	169.52943	209.766
G001875255	263.06894	231.57831	235.55396	254.2936	253.61705	242.21738	234.96469	249.66818	256.15012	259.60312	209.48105	0.0	244.9292	246.87389	237.26851	232.68936	230.73834	216.0386	252.25238	239.54863	258.91672	258.6258	225.05013	245.6438	264.43103	251.80045	258.60117	225.99791	250.57329	223.76836	237.80922	238.28192	228.15056	241.84035	252.87535	226.61513	242.39944	252.81087	264.01086	233.71504	237.33565	249.22153	248.28795	221.06383	258.49384	249.14346	220.27618	228.72572	249.75824	229.98848	235.47577	219.62453	224.22598	235.64354	250.90364	243.4697	235.10855	244.95154	240.04987	241.43822	244.1726	219.62177	220.46182	223.15936	223.91513	246.24582	244.16211	266.20944	249.14346	218.83331	252.14314	255.85063	264.27304	266.2106	232.65916	260.03076	242.4504	217.51743	240.74734	239.5701	241.2786	216.75945	221.03448	249.67244	263.06894	231.58699	242.4229	235.52339	236.85942	233.61192	240.78688
G001918595	249.32741	211.42302	242.1471	255.31912	241.16762	236.60974	239.41917	228.34094	254.24603	249.29663	199.07874	244.9292	0.0	246.35516	86.91877	221.56155	220.87378	208.23389	244.65704	230.04955	246.16469	243.58719	192.29704	124.471146	251.32237	230.6628	238.78195	233.10284	238.55344	225.01619	232.6358	227.0677	226.53172	227.59526	247.33148	218.90569	237.02234	237.83708	242.87231	220.89647	221.95267	214.1534	230.87523	216.9097	242.6493	232.92958	174.90169	215.40515	239.16891	220.7514	218.92635	234.06943	216.64197	218.68875	237.54814	238.49876	113.8466	235.29758	238.7823	228.97667	218.7529	213.23901	219.59189	178.42401	168.55058	240.60422	241.36407	251.75154	232.92958	216.85902	240.52094	249.93398	242.93703	256.42285	101.50693	250.21582	232.80247	216.72081	236.41833	230.55042	124.207466	217.45181	219.73515	239.81989	249.32741	109.738304	232.74803	225.45204	231.77518	233.6418	230.79765
G001799915	263.99146	237.04398	194.10794	137.23788	259.6717	60.187584	190.23764	251.17616	59.9538	269.47775	219.78484	246.87389	246.35516	0.0	241.46407	241.85501	185.19461	219.48552	5.2684164	232.62955	270.51437	272.38647	226.10872	244.4662	265.87338	268.29617	259.3379	181.4687	255.00308	176.6904	235.74951	243.52539	181.06267	239.13531	1.5966707	181.67615	58.26822	265.2623	266.173	237.19977	240.92368	253.88943	249.67804	180.14217	270.50363	258.32074	226.89368	240.63434	260.23706	238.8258	186.65234	223.65117	176.01697	228.24953	266.15573	57.70308	235.83907	262.5656	193.66754	238.3242	153.45369	174.3655	181.41016	216.82805	229.12643	247.05734	243.67099	268.8202	258.32074	181.76556	264.07657	260.3838	266.53174	268.79553	231.66449	265.966	237.01424	229.96117	193.80968	246.00508	243.65099	219.12233	181.61604	61.816788	263.99146	236.16063	237.04575	242.54553	188.37357	230.35771	62.299084
G001802045	246.82475	210.12488	229.44528	233.47113	232.38333	231.06467	227.23662	224.7241	249.76466	234.21028	189.83546	237.26851	86.91877	241.46407	0.0	218.93916	214.79736	198.53622	244.23335	227.2482	235.28793	245.57664	169.60988	114.79977	246.43478	227.03241	239.28465	216.0402	235.53732	214.10382	221.51227	221.78712	221.71588	223.42438	243.47202	222.37857	239.03351	227.65031	230.57025	217.90144	219.71576	228.71448	239.68533	217.54874	243.81642	227.2235	173.28209	233.05412	226.50558	214.10768	210.2916	215.32137	218.69403	226.1465	233.76106	231.03584	101.4398	231.73074	231.00482	229.81999	247.4244	212.6926	209.96597	164.29556	161.4735	225.68236	226.08054	235.78079	227.2235	207.42946	231.69057	243.05869	230.7843	257.191	113.48456	236.0821	226.6215	203.69186	223.78311	230.67047	108.6782	214.21771	210.89528	238.44987	246.82475	109.425766	226.57066	227.71767	218.25546	212.05463	224.6295
G001577125	244.96587	128.55412	229.07954	248.29613	248.17415	239.94798	230.86443	231.86142	244.25595	248.3579	195.14383	232.68936	221.56155	241.85501	218.93916	0.0	219.90186	200.57755	245.72354	233.56735	243.98958	246.39421	208.57501	232.16188	241.24748	223.38358	243.94757	228.0578	232.1731	220.5752	229.3303	111.23607	221.692	222.14279	243.80156	217.2386	242.70709	247.49586	245.4888	4.5943933	69.52354	232.53268	228.72913	212.43549	246.76419	228.82587	216.108	207.89914	237.55296	137.92491	225.00426	214.06967	212.1766	214.86308	239.0791	240.27406	224.45482	240.96997	229.25826	225.83559	231.81972	202.79123	215.12236	202.90009	206.4986	222.0787	142.47675	235.30952	228.82587	212.8289	246.93599	241.63908	245.83879	244.97218	217.37717	248.2136	69.566025	198.96227	227.05925	244.93681	230.2274	200.41222	215.61134	243.39598	244.96587	218.39966	69.50921	230.23459	234.55032	216.54381	236.07826
G001800205	238.83574	204.6065	143.49548	181.85545	233.82426	172.31314	143.63177	224.54239	184.00194	239.09166	193.13486	230.73834	220.87378	185.19461	214.79736	219.90186	0.0	198.78526	174.58711	212.94606	236.02643	235.57764	206.1394	226.2457	238.09206	220.7374	230.54335	123.99925	229.5567	9.78433	214.87659	218.20717	5.949608	221.11278	182.08887	62.315792	181.8217	235.1889	235.00536	219.34386	212.76999	233.2362	229.52061	66.64846	235.95432	224.59192	201.0497	203.67474	224.74976	207.19926	120.49866	209.66823	134.69382	217.1022	241.06322	173.30823	224.27986	225.27728	106.68492	223.55745	167.05962	134.0985	4.1133394	202.64917	199.16776	225.43703	219.83678	235.56056	224.59192	3.7433944	238.5246	236.67673	235.33014	242.19144	211.6151	241.25993	228.48547	198.4725	144.0601	224.29665	224.76562	192.34497	4.70191	175.12637	238.83574	211.78357	228.4927	217.07033	117.314476	222.11089	172.14699
G001302835	222.97052	196.35518	209.6521	228.67473	216.48044	211.37729	204.04782	210.93248	233.58359	226.52077	6.5745893	216.0386	208.23389	219.48552	198.53622	200.57755	198.78526	0.0	218.72624	215.67198	220.02751	226.92229	195.40114	208.86497	209.50833	204.42145	216.37207	200.1682	203.21936	197.22787	180.32721	208.71524	200.81628	203.51302	217.91707	196.22305	222.29762	220.73012	225.15826	203.14182	201.66367	209.78914	192.38324	196.15572	226.39961	212.09196	192.75891	200.22551	215.39928	202.8939	191.16664	134.6048	192.3088	202.35303	229.31705	212.61433	213.72809	218.25085	209.53862	186.2225	211.53477	189.505	195.16594	179.27763	201.15729	192.51396	204.8431	202.39334	212.09196	193.05602	221.92126	201.12033	225.77664	210.041	209.81126	224.58366	204.53978	146.2331	207.3885	189.73764	214.5235	10.475562	198.09338	228.7656	222.97052	206.19609	204.48338	182.83327	194.17358	177.18752	218.42648
G001799745	258.59387	230.02655	190.70386	134.77249	255.25333	62.61722	184.43733	246.0789	60.00749	265.1604	217.43097	252.25238	244.65704	5.2684164	244.23335	245.72354	174.58711	218.72624	0.0	234.34448	265.56787	265.60498	230.18457	246.07222	260.52728	258.76666	254.36913	182.31056	253.38565	174.2331	233.95226	245.89384	171.14163	248.58008	2.483762	176.33765	59.00774	261.20477	260.5558	241.74483	243.10112	259.80783	247.06888	179.29869	263.84637	249.65044	228.73381	228.59972	249.29814	231.286	190.6238	223.40453	179.4959	234.30638	263.95712	60.733772	241.90582	258.86932	193.41202	232.53656	149.62143	178.03477	175.85844	223.49109	231.57384	247.11089	242.08357	265.3928	249.65044	176.10516	259.87552	257.0904	260.9026	267.42493	233.53946	262.18356	240.6797	220.34818	188.95627	244.54149	247.4273	215.77524	176.06909	61.24221	258.59387	237.17632	240.71793	236.65128	182.07693	237.04823	63.658302
G001784175	251.64911	230.74466	218.61116	245.80206	245.6016	221.0589	224.96979	246.51382	230.05081	257.09915	213.22379	239.54863	230.04955	232.62955	227.2482	233.56735	212.94606	215.67198	234.34448	0.0	256.98514	257.01718	229.25366	237.38457	257.03015	259.31702	265.70694	225.80452	249.81227	212.14201	231.99588	241.73233	216.84344	232.19073	234.06671	213.69382	270.48907	253.57446	261.27884	237.31987	235.5676	262.66107	245.11748	210.54	257.21262	243.84474	224.31737	223.897	256.87967	220.22914	210.78233	210.01526	211.57576	222.85016	261.062	222.74612	242.37299	247.10309	221.5401	239.7586	221.28494	208.01598	209.92511	212.23576	222.19408	246.40784	238.51514	252.77869	243.84474	208.27704	255.05327	255.07564	261.80063	264.83588	236.03993	259.261	234.46	216.52242	228.20541	242.64548	257.2416	212.28937	212.954	230.74634	251.64911	232.4035	234.43623	233.10258	219.304	229.17174	222.48619
G900129735	18.115606	235.56267	250.2667	264.24417	57.110104	258.21646	248.66254	103.517334	259.48657	22.547205	214.83963	258.91672	246.16469	270.51437	235.28793	243.98958	236.02643	220.02751	265.56787	256.98514	0.0	18.435825	224.41972	243.04507	267.10153	256.5237	71.30824	242.58261	261.4959	241.71864	246.31628	246.9349	239.03262	194.54607	264.42966	233.3652	255.96182	27.815546	22.221848	240.40334	238.24872	203.64565	256.94766	238.01808	18.394499	63.65079	231.0727	186.02248	103.21924	238.35681	238.15573	233.23688	238.71304	197.6972	18.392437	262.1042	243.85497	110.989235	255.30699	244.74849	255.10924	237.55672	238.83719	223.93819	224.41064	248.65144	244.38995	263.41122	63.65079	237.33585	27.073145	267.01694	22.277542	269.31607	231.88518	22.049305	248.76932	232.68044	246.93465	257.27948	242.51811	218.28413	239.25217	260.1039	18.115606	234.4332	248.74083	242.26701	242.46046	244.46788	255.45781
G001603905	11.133538	234.25401	254.13774	270.78485	58.197212	254.85242	254.17784	107.04701	265.15543	23.554148	220.63452	258.6258	243.58719	272.38647	245.57664	246.39421	235.57764	226.92229	265.60498	257.01718	18.435825	0.0	230.14632	241.31853	268.35574	265.43777	73.31503	248.81802	253.00035	239.83655	244.33069	241.06195	238.02702	200.88622	265.575	237.27144	267.79947	29.502886	24.048536	242.08646	240.3798	207.858	257.14996	242.59975	0.108389415	65.31795	227.4613	187.88194	108.858826	237.87221	240.31514	233.81013	234.53502	198.45544	11.213202	259.06232	244.35548	110.06236	253.08667	248.23169	257.28568	234.5392	237.82278	224.9239	222.68996	253.93983	249.96155	264.48334	65.31795	236.62494	29.070704	264.7658	23.96505	271.69455	231.12526	24.502493	251.20558	228.16945	250.51357	248.73653	249.05513	222.26999	238.07466	261.46823	11.133538	234.79553	251.16885	244.88686	250.16899	247.75671	257.24683
G001780165	227.4132	201.4427	216.82468	241.15701	221.03984	222.97453	215.98396	221.2147	226.87956	228.33485	189.21954	225.05013	192.29704	226.10872	169.60988	208.57501	206.1394	195.40114	230.18457	229.25366	224.41972	230.14632	0.0	193.46587	236.43007	220.40923	212.30777	217.7848	224.4725	208.34363	212.43507	207.53842	204.8088	206.07927	229.31474	203.68419	237.3154	223.31235	233.40694	207.41066	205.0663	228.31099	222.06944	204.80513	230.436	218.92209	175.376	196.12721	221.92989	201.63962	206.0915	194.35396	197.99742	197.49936	229.79887	223.85992	201.92201	221.84178	216.13533	215.86087	211.87013	195.86499	204.63571	166.66711	171.04279	216.26608	214.04877	232.2065	218.92209	203.20459	224.56442	231.50874	233.92084	241.93527	165.76031	226.4821	215.65503	198.41876	219.97789	214.88844	190.60439	187.80206	205.8619	233.78664	227.4132	176.78209	215.67058	213.75795	206.94513	208.36252	229.45197
G000010305	243.4882	214.90836	240.66881	253.07838	247.134	237.5134	229.50264	233.03864	246.3433	245.72893	197.53496	245.6438	124.471146	244.4662	114.79977	232.16188	226.2457	208.86497	246.07222	237.38457	243.04507	241.31853	193.46587	0.0	256.52988	247.37085	238.13803	233.3222	246.03958	225.22974	227.2312	230.87248	223.11058	240.6713	245.4521	220.0702	262.37082	247.71349	247.2807	228.07047	224.54338	238.59389	239.10414	220.33525	241.12566	231.26906	175.03003	224.97829	236.81372	226.03961	222.46983	218.1246	220.5863	226.28098	237.09279	236.12744	92.476135	239.9174	233.64986	232.68808	235.38293	216.24641	222.50075	173.68317	170.16277	235.46324	231.72552	252.49844	231.26906	221.74136	246.2348	248.94627	247.60912	258.6656	78.2341	246.8296	230.32631	211.17203	235.78723	235.10631	23.126371	210.75395	223.72453	242.51521	243.4882	60.2656	230.32889	230.69775	225.33395	226.92758	235.57857
G000980745	274.34552	236.34204	258.94193	267.13916	264.41843	256.81918	257.65445	252.76161	265.08295	266.99692	202.18782	264.43103	251.32237	265.87338	246.43478	241.24748	238.09206	209.50833	260.52728	257.03015	267.10153	268.35574	236.43007	256.52988	0.0	205.53368	264.9197	256.55756	171.32404	243.29622	195.21617	246.41739	237.96078	251.3837	263.75574	239.73212	265.23352	264.24768	266.5795	242.33215	239.18987	265.38297	204.97183	241.44328	267.85193	257.64532	233.93613	243.92899	249.56543	238.81284	247.89375	216.9183	246.39406	243.9233	271.4264	257.39227	250.78513	268.69528	255.19165	158.77893	254.27486	242.32274	237.70297	227.22063	233.72604	218.29039	250.89001	174.68407	257.64532	235.59602	266.06927	11.086693	266.7433	134.34753	242.58713	266.6086	256.4992	209.62775	253.27281	167.83922	256.7722	203.93768	239.17072	256.9567	274.34552	244.52776	256.49097	158.58546	249.40138	193.87663	248.32495
G001304255	260.0374	216.56238	245.36682	259.59912	255.17918	243.86717	238.59161	247.7001	266.24377	264.5929	188.1781	251.80045	230.6628	268.29617	227.03241	223.38358	220.7374	204.42145	258.76666	259.31702	256.5237	265.43777	220.40923	247.37085	205.53368	0.0	256.67514	238.36555	204.19077	245.53351	73.270584	228.59631	228.8501	241.24411	267.537	226.7492	255.04694	256.317	260.85422	228.66922	216.37402	242.88904	182.02039	233.50934	265.28067	251.26471	214.25668	205.71362	237.02478	215.53131	237.65439	202.38507	247.2533	236.9298	252.6491	246.41182	253.98868	260.15485	240.63516	183.05522	245.85039	241.5639	226.807	219.52211	218.24155	213.65163	257.40897	201.23785	251.26471	221.99666	262.46445	223.07634	261.33075	214.69955	225.16866	256.65106	243.66592	196.44293	239.13475	207.72357	244.17612	197.6817	227.00677	248.49393	260.0374	230.40158	243.67114	186.00093	232.4967	47.277126	237.42468
G001873075	72.58095	224.58865	249.98003	269.30557	66.23379	244.15112	235.18059	99.44404	278.2576	71.328156	216.53639	258.60117	238.78195	259.3379	239.28465	243.94757	230.54335	216.37207	254.36913	265.70694	71.30824	73.31503	212.30777	238.13803	264.9197	256.67514	0.0	251.41887	245.55473	232.4593	231.01402	244.83026	238.42322	195.48193	254.04073	236.12305	273.99164	67.570946	72.66339	238.7894	232.66103	199.78017	242.0954	240.34943	72.5692	48.56372	223.31906	181.46227	102.062874	230.33505	242.29213	226.66722	235.58797	187.77457	74.09755	247.50462	234.18538	100.13816	251.60632	247.79025	257.94366	236.5882	232.76537	215.61604	223.17024	249.78651	241.74901	275.66806	48.56372	231.36592	69.20002	256.95535	72.905556	264.55505	231.14519	69.77928	240.35901	223.72748	244.40143	238.0917	239.57559	222.23317	233.93562	251.431	72.58095	233.92189	240.33734	244.33476	238.31868	236.22523	246.62656
G001800495	248.66418	206.12994	155.81552	198.89891	242.86943	178.18723	144.37517	243.87161	188.59361	245.08806	208.83345	225.99791	233.10284	181.4687	216.0402	228.0578	123.99925	200.1682	182.31056	225.80452	242.58261	248.81802	217.7848	233.3222	256.55756	238.36555	251.41887	0.0	259.8567	128.8518	237.4771	232.49799	128.17284	230.71123	184.73846	122.410034	188.56923	246.87164	248.3747	236.86882	231.29346	236.08005	240.62473	124.25389	247.94214	238.5649	210.79932	207.68578	248.19418	225.49503	95.9771	217.16075	145.8166	224.05023	252.1923	179.66978	220.2968	240.58295	142.5855	238.06131	190.52998	145.59781	124.0695	204.96692	211.70042	229.16527	228.78545	232.37141	238.5649	122.25941	247.62953	242.01337	248.74826	253.81097	214.86234	246.53622	226.0513	204.15952	150.76581	221.84618	245.51958	214.16017	125.743286	194.39273	248.66418	220.12558	226.0754	226.21078	41.57453	210.46141	186.7286
