	G001805855	G000315095	G000242455	G000346315	G001828415	G001956985	G001825655	G001873045	G000165715	G001830285	G001464525	G001806055	G001804005	G000346505	G001707835	G001804205	G001824685	G000338295	G001828445	G001824635	G000304635	G001997385	G001824605	G001805845	G000153105	G001873945	G001642875	G001825635	G001642915	G001805775	G001805895	G000949635	G001999965	G001804165	G001871815	G001778315	G001806075	G001803975	G001730085	G000186345	G001872105	G001027925	G000171775	G001610895	G001805365	G001871865	G001828265	G001874025	G001804305	G001804125	G000284115	G001642955	G001828635	G000181475	G001805375	G000025185	G000195185	G001804445	G001303695	G001302825	G000255655	G000092105	G001828535	G001804045	G001303465	G001805765	G001872775	G001603075	G000330745	G001804105	G001304275	G001830315	G001828545	G001805805	G000255705	G001828645	G001804055	G001723765	G001804155	G001804395	G001825715	G001805575	G001804255	G000296795	G001824645	G001828345	G001804225	G001805605	G001804065	G001825665	G001805565
G001464525	234.8427	189.30942	141.63507	123.88393	185.52962	140.17822	199.32446	204.80354	129.30637	185.31322	0.0	206.06804	213.94061	122.53223	129.18333	204.91833	201.09418	124.176476	186.80304	189.32195	124.66864	203.74661	190.206	214.19295	92.77871	203.74303	114.35952	203.91357	106.72618	213.56097	215.70744	190.14911	190.63402	203.61038	210.65395	207.39342	204.90668	207.95193	223.67752	141.5194	221.69847	121.7031	144.69348	142.86147	208.47812	224.13948	104.958534	213.45493	210.88356	198.96283	205.15944	121.577576	184.7434	128.55864	230.0203	94.03219	123.56758	206.90515	178.9243	185.75592	121.672104	128.12581	188.32224	239.53479	198.19392	210.85141	200.31262	194.84941	120.58669	224.48537	193.85002	201.7035	187.57054	208.81052	145.27103	187.8362	205.26791	187.07132	216.59158	218.05418	195.41388	207.3779	209.61823	190.88475	195.21542	194.9398	219.21048	214.67612	210.34547	185.06137	229.03333
G001806055	126.09809	173.67703	202.8624	241.93495	186.27995	203.58913	194.78355	126.424866	208.98543	197.9219	206.06804	0.0	160.8541	223.06184	210.86432	147.8617	229.00577	241.11848	189.46045	198.75574	243.52185	222.26192	196.4183	50.318104	221.70901	170.00443	225.38858	192.54953	222.03867	50.593296	103.13659	190.55278	216.929	140.76485	126.61059	188.8587	49.848293	127.71447	186.38391	203.26572	146.89807	243.45166	208.57716	205.09752	128.7435	177.24023	207.57143	142.30142	127.26404	139.84167	228.35103	229.61656	189.36748	206.23016	125.095406	209.05403	241.86957	52.263325	212.44627	186.96408	200.08179	207.4111	193.74495	139.6161	222.42815	89.33069	121.88981	212.32994	239.59874	163.79663	210.47462	194.77647	189.0329	114.688866	208.96307	193.29047	146.17036	188.59076	161.16396	120.538734	214.00005	50.15175	127.74346	184.56827	208.55664	217.36955	164.43178	49.692917	130.50873	213.25108	130.64816
G001804005	178.47519	192.73921	204.319	249.39374	195.33737	202.50374	196.20703	160.04703	212.44069	196.30309	213.94061	160.8541	0.0	255.6088	215.83266	110.84479	227.75116	245.8291	207.62848	213.3462	241.87827	225.47585	203.47737	160.00685	219.01042	179.57303	234.46547	203.97331	223.0515	167.13727	168.74908	175.94244	212.14894	163.86919	162.08347	191.14731	158.25409	150.17079	186.04352	214.22577	161.17798	240.79582	211.80016	210.87659	158.57866	183.23769	203.91968	165.53963	157.60965	145.88052	233.92235	250.76166	200.58449	212.19975	175.16524	216.37212	248.44937	154.6888	205.79309	190.28392	204.64668	215.5075	210.25555	163.91273	235.41983	154.82747	158.5961	231.81503	243.00998	124.70647	207.18018	203.71706	197.8755	147.46631	209.70174	211.32597	107.23607	195.70605	112.53603	164.32968	232.14322	163.86713	159.98927	208.75226	222.41148	215.29132	123.212166	158.36307	161.7089	217.79584	179.22696
G000346505	259.82214	206.06221	162.37424	37.814327	213.1785	167.59055	222.07246	235.62082	154.7185	223.00276	122.53223	223.06184	255.6088	0.0	154.98647	246.97198	243.81508	35.93143	214.32613	217.36533	37.44406	223.11691	209.34439	240.75746	114.90045	233.93123	118.86235	223.95848	64.09329	240.41385	251.4221	218.95383	219.35484	237.39879	239.00278	245.79169	241.0221	237.21222	253.22072	169.26549	239.49	37.061035	169.20581	173.86307	245.89905	244.96384	128.922	229.28204	240.3299	226.66562	234.93837	58.46426	217.49698	155.91429	250.76465	110.96066	36.07085	239.58926	196.77742	211.83957	145.558	155.33578	220.51917	250.27278	218.30144	236.23376	228.60721	217.4569	36.995827	242.16516	231.52827	224.40262	209.96988	217.94385	174.3588	218.61957	248.26997	205.38329	227.86545	242.76195	224.69524	239.67763	243.44136	219.32318	223.62102	215.987	243.38959	240.46107	241.20213	221.15045	266.8489
G001707835	226.23293	186.30016	138.32243	157.37993	186.09686	142.31856	188.29517	210.35333	96.21884	194.2945	129.18333	210.86432	215.83266	154.98647	0.0	207.03374	208.72687	161.49782	191.22029	188.51364	155.05988	205.45412	179.66017	209.94313	132.2393	201.47	144.71323	190.34244	145.1771	210.15205	225.57492	186.66809	194.5798	208.69577	205.94939	211.50934	207.12871	206.2805	222.67345	143.03125	223.62486	155.95789	148.35362	146.02663	214.78383	218.1582	125.96385	204.64537	210.96196	197.18718	208.99034	157.968	188.66937	91.82055	222.29843	127.94897	154.13022	205.67406	178.66795	180.55095	62.811447	3.3000875	187.1518	221.17859	195.07994	210.80103	203.23776	199.1542	152.04588	220.25609	209.53712	189.49304	181.71306	202.3104	146.33905	192.70386	206.81802	181.64835	211.5148	224.22054	188.3788	210.07861	211.15207	186.24692	193.00192	189.34554	220.32483	209.45717	213.83006	194.45467	228.33627
G001804205	164.67902	192.89578	197.85243	234.57358	184.11774	197.18828	188.92256	146.80646	203.72122	192.55275	204.91833	147.8617	110.84479	246.97198	207.03374	0.0	231.11143	234.45508	192.4708	204.03374	233.13762	216.48329	183.02924	151.8972	204.63565	171.92741	226.17523	191.06296	219.8423	154.02261	161.29898	182.11911	219.27301	152.24054	151.55399	175.84041	149.56267	150.13216	183.46075	199.93552	152.63689	236.35558	202.2191	199.07224	151.11043	173.84067	200.53676	145.6491	150.87064	141.98068	223.82123	232.23187	184.03612	203.36156	156.39876	211.02925	233.63815	147.50534	195.32855	180.09097	200.17496	200.78728	189.211	166.45139	214.88489	153.30174	142.46304	208.01494	228.14447	62.113235	209.01973	187.14345	184.32251	141.62523	202.63718	188.53564	2.0731049	179.73412	73.824936	166.29028	211.77448	150.57121	153.30054	187.82336	209.09409	224.1844	61.01113	153.18222	153.26695	200.90114	172.48116
G001824685	246.20604	201.88646	184.07768	229.62216	204.72704	219.17456	219.80466	229.10518	200.18268	201.71242	201.09418	229.00577	227.75116	243.81508	208.72687	231.11143	0.0	225.0113	202.08517	101.703125	231.996	133.38295	209.56694	230.93735	214.382	223.72252	228.73703	220.41846	227.94539	232.55406	233.20634	209.52254	122.52228	241.44118	224.86447	239.39595	229.16547	220.92747	244.79102	203.83717	245.95384	220.6739	205.81123	207.38481	225.77286	242.05966	196.57095	223.58049	228.28384	209.9724	194.2869	243.05022	207.89685	203.57913	240.7612	210.19124	232.63763	226.15277	152.84972	205.1904	199.60992	208.88773	216.02733	249.45473	81.5314	232.20049	226.14578	59.011112	223.93373	241.69514	86.92677	217.13329	201.7545	217.82545	207.46698	214.9007	226.35823	201.55864	229.78084	240.32986	110.28992	235.98643	234.96553	205.37396	80.075356	82.77101	236.3145	229.2613	227.30237	96.74649	237.41858
G000338295	260.32642	216.75461	166.19109	3.7527773	211.56976	166.41943	222.58481	233.38829	154.78445	215.60883	124.176476	241.11848	245.8291	35.93143	161.49782	234.45508	225.0113	0.0	220.9509	218.35043	4.987175	229.73586	215.41281	240.2097	112.0651	229.98607	115.0876	223.741	65.90278	241.62051	244.53853	214.553	218.21242	242.6606	233.27014	239.14354	233.65181	229.76646	256.86517	172.95924	245.95576	8.768142	173.80687	172.75366	241.20305	250.70454	136.66359	237.65904	236.89256	230.53856	232.57928	58.768364	219.85194	157.33322	250.55348	112.76335	4.5608835	232.69821	211.11266	212.70517	155.66925	158.26532	222.8044	260.1396	221.66122	236.72435	238.11816	218.68007	4.454913	249.5883	218.65536	223.99648	212.1084	228.78496	172.11787	220.04593	235.40411	211.1409	241.58347	253.22852	226.65126	239.21567	240.1442	219.14368	214.46576	221.16762	248.12483	242.32681	238.16505	219.25618	259.7882
G001828445	208.59547	157.3699	181.78098	219.39366	155.83617	189.6399	155.15009	192.26611	189.0167	162.3635	186.80304	189.46045	207.62848	214.32613	191.22029	192.4708	202.08517	220.9509	0.0	191.12843	216.72884	196.78488	157.49544	195.77414	192.11493	179.31445	210.24799	155.22513	208.62242	194.0983	206.77159	158.3941	192.91876	184.46883	189.96956	189.12755	187.52057	190.95143	211.7702	189.12598	194.80016	215.79413	196.19771	187.35802	190.54112	204.4739	191.67886	192.07372	197.10286	190.48778	212.44919	220.59206	155.6484	188.45952	211.9478	191.57309	218.93382	196.20578	176.94481	153.02277	180.16946	191.57819	160.35991	200.04178	225.39104	190.41824	187.19096	199.07982	212.5135	207.49724	184.21364	160.4738	154.18365	184.406	188.90424	162.99706	192.50012	145.28836	188.43457	210.26643	190.9847	190.16252	197.63652	162.17374	196.52934	208.40523	199.49426	196.51707	199.68428	192.00533	210.59457
G001824635	229.58629	185.2065	177.47554	222.36234	188.33223	179.03966	193.92989	204.47244	199.58266	196.06126	189.32195	198.75574	213.3462	217.36533	188.51364	204.03374	101.703125	218.35043	191.12843	0.0	220.51555	114.66535	196.19281	213.1987	188.98344	204.85213	204.26286	190.6926	193.3025	212.72717	229.12006	191.10008	102.496124	232.8798	202.3365	210.0738	212.18784	201.83646	231.91182	183.93282	225.0966	219.66957	184.66716	182.56711	207.91618	229.85654	201.85793	207.0296	206.85896	206.58578	182.7464	203.82819	186.82202	198.87138	205.9227	190.77718	223.71646	212.0506	122.50199	179.07622	178.05666	180.2315	188.62875	230.73573	99.969025	208.3789	210.39113	92.48235	215.31975	222.54906	98.57349	190.65721	184.37325	200.49034	187.54004	189.25407	203.60507	184.13698	219.52448	237.87592	100.01282	211.97725	207.76218	193.8082	98.01622	98.21685	220.87659	210.70982	207.23633	88.977684	224.61353
G000304635	259.3889	213.15889	165.23897	5.160276	212.64114	169.08261	218.90187	234.9165	158.39224	217.75652	124.66864	243.52185	241.87827	37.44406	155.05988	233.13762	231.996	4.987175	216.72884	220.51555	0.0	235.22862	217.18602	240.0227	114.50406	231.98007	119.956635	220.42546	64.965546	241.51244	252.8354	208.476	222.74507	242.84906	239.52844	238.31326	235.4993	234.35591	259.0132	168.53407	247.45789	8.841592	172.90202	170.57492	238.1758	250.28407	134.27246	239.8088	234.12357	233.13487	233.76503	61.002205	220.93663	156.8588	246.88516	113.51514	2.47212	234.03696	204.22942	211.81125	152.29248	153.11884	221.27748	251.58699	226.21559	239.28358	233.49054	222.05876	2.5306551	249.4692	216.18048	221.91232	213.3497	234.37567	173.62859	220.68129	233.56003	215.20912	241.36168	256.7239	223.95805	241.34048	235.66371	219.24095	216.785	224.10362	248.00984	242.40787	235.78685	221.35506	261.14355
G001997385	229.24118	205.17996	192.70966	233.55823	199.26076	189.64291	207.50676	219.19743	197.30399	202.37677	203.74661	222.26192	225.47585	223.11691	205.45412	216.48329	133.38295	229.73586	196.78488	114.66535	235.22862	0.0	193.90369	225.43428	206.85219	218.14005	222.01349	206.55682	217.13513	222.47757	229.03406	198.97772	71.10964	232.2198	211.4894	228.65736	219.70032	210.09056	233.22572	199.10184	232.61702	228.0468	199.03824	200.30316	220.7104	235.81313	205.82881	225.15486	220.43112	212.95528	198.98706	228.33575	198.67877	199.48047	233.13304	199.8692	235.85428	220.69308	139.57332	190.24908	201.4629	199.2169	201.10744	240.34612	121.963486	226.68887	221.85721	114.62855	231.86952	236.85843	121.03305	207.57184	198.44461	218.18723	201.56961	202.51506	215.36024	197.9189	228.96776	233.04204	112.69547	219.06346	225.48169	193.04848	117.87537	122.13587	237.36847	223.10144	219.58134	111.400764	252.3621
G001824605	205.29579	84.429085	179.817	219.71172	106.297035	176.0662	98.59104	190.1598	191.76492	93.19683	190.206	196.4183	203.47737	209.34439	179.66017	183.02924	209.56694	215.41281	157.49544	196.19281	217.18602	193.90369	0.0	193.69345	183.8904	184.38185	197.87106	98.42805	192.23938	190.3195	195.6496	85.783394	182.58002	190.05385	184.56503	186.45535	181.5184	191.20998	221.31554	182.2275	207.32314	211.1708	182.60902	179.26558	189.56761	203.30104	190.42429	199.02432	190.6538	164.52837	207.44157	207.71967	88.02706	179.2928	203.322	187.79408	218.32281	185.0686	180.16122	138.85526	182.03325	183.45958	90.41495	199.93451	187.21086	186.79132	173.05482	188.55925	215.00262	202.3049	191.83025	88.24822	110.04574	183.72717	177.84756	98.47468	185.40239	34.712536	196.38963	192.88548	198.27948	189.65865	192.96565	97.44075	187.55121	185.79161	200.63988	194.16252	187.72812	189.76987	210.15991
G001805845	127.62843	187.75566	199.92635	241.76591	188.20433	207.3609	192.92964	128.38544	211.2854	193.1527	214.19295	50.318104	160.00685	240.75746	209.94313	151.8972	230.93735	240.2097	195.77414	213.1987	240.0227	225.43428	193.69345	0.0	213.39572	171.6335	236.50026	196.82088	226.17816	2.98283	102.551994	190.37181	215.01672	132.16032	132.18822	181.93628	54.07422	126.04076	189.42291	210.01855	154.52989	241.30917	209.90175	210.65988	132.12975	178.21259	217.10492	146.3073	131.04863	138.78848	234.26265	241.98654	191.08145	211.90143	121.59438	217.55217	240.31943	51.51295	200.40495	186.46185	208.87251	211.7435	192.25221	147.73811	222.40813	90.9914	126.87385	219.47876	238.05118	167.43735	219.30759	195.00908	188.21886	124.179726	212.53008	197.35457	150.9409	188.36844	156.78947	126.78545	215.0402	18.966158	131.48882	193.03401	216.99626	217.11243	166.33429	3.3247137	131.4491	210.21599	130.86305
G000153105	223.62593	186.17496	139.91788	112.32821	185.40393	137.54202	192.44412	210.44173	128.24422	199.45914	92.77871	221.70901	219.01042	114.90045	132.2393	204.63565	214.382	112.0651	192.11493	188.98344	114.50406	206.85219	183.8904	213.39572	0.0	204.09218	105.47113	195.21942	100.4363	212.70003	226.08575	187.2112	194.21175	221.30019	206.44044	216.5507	208.14882	204.52682	228.29976	144.81245	215.49557	120.92114	151.58484	147.57416	215.34225	221.89156	107.13777	207.22809	213.63864	203.61833	206.14287	113.71649	199.75006	125.919334	220.95674	72.212425	113.69632	206.28629	175.01735	182.84726	122.779396	130.55063	194.11043	218.69815	190.58365	215.00038	209.31647	192.80856	112.893845	222.70021	205.68402	192.46233	186.98448	195.86661	148.24854	197.86612	205.46959	183.49539	213.24768	228.60638	190.44933	203.08376	211.9561	186.45764	193.84242	202.60114	221.72346	212.12837	212.98085	192.88495	227.15149
G001873945	189.71231	185.96667	193.10194	223.33543	180.12834	186.9835	187.34625	168.21986	203.58083	185.52008	203.74303	170.00443	179.57303	233.93123	201.47	171.92741	223.72252	229.98607	179.31445	204.85213	231.98007	218.14005	184.38185	171.6335	204.09218	0.0	221.75565	192.49825	211.01485	172.17026	181.20335	175.84949	208.7923	179.98335	169.01443	179.70787	168.8017	166.41853	188.74783	196.06593	175.52402	229.49954	198.85646	203.41246	170.36447	181.75063	203.1546	172.95763	173.85663	164.80527	220.52267	234.10226	190.59813	201.61502	182.75119	207.04749	232.40889	167.48894	187.72629	177.6061	195.0628	200.81609	185.52284	186.35545	208.56807	172.40842	166.98526	206.29527	229.21571	183.38173	211.56702	183.47421	178.17337	163.7506	199.72897	186.56705	170.011	175.35603	169.82423	184.10635	195.1467	175.92902	172.8889	182.60876	209.46338	213.21973	182.59752	169.00269	171.13698	205.97961	196.05261
G001642875	260.38028	210.45985	161.44406	108.39508	204.7926	155.55466	210.74834	226.6683	141.49306	221.12941	114.35952	225.38858	234.46547	118.86235	144.71323	226.17523	228.73703	115.0876	210.24799	204.26286	119.956635	222.01349	197.87106	236.50026	105.47113	221.75565	0.0	219.60423	104.63088	229.9706	241.46252	208.15369	218.49037	234.70665	228.45238	233.54529	220.69781	221.48201	246.23636	157.70306	225.17645	123.28431	167.17194	161.86713	235.70982	240.1946	120.8788	232.11385	235.252	219.68398	224.34616	115.60076	205.86865	143.17912	254.90404	103.96608	120.62586	225.46681	211.16246	205.29659	141.73033	146.61433	203.62494	245.61247	221.95798	232.18376	224.31685	209.08815	116.95947	237.01576	210.69327	211.5384	202.91312	218.01662	165.35457	212.47485	224.17741	201.12697	237.00992	238.64995	202.14877	227.69049	234.71373	207.3812	225.27217	203.98306	239.77907	233.1681	233.50635	202.08011	230.58493
G001825635	212.14738	57.177193	190.75383	230.34642	114.07414	187.28848	6.7518716	189.04149	187.72154	46.277927	203.91357	192.54953	203.97331	223.95848	190.34244	191.06296	220.41846	223.741	155.22513	190.6926	220.42546	206.55682	98.42805	196.82088	195.21942	192.49825	219.60423	0.0	208.17421	197.83998	202.88919	36.965652	194.05708	202.78949	194.95584	204.26976	192.2117	186.4701	215.2408	192.74641	197.16287	226.99771	195.597	192.0203	195.38618	202.8391	193.57486	196.2312	192.24028	190.71155	218.60204	220.3333	34.382687	194.08163	206.8439	198.90019	222.72127	187.94829	182.11539	146.336	191.62459	188.5506	35.741024	208.82521	197.17522	191.9443	193.7376	195.21332	220.00754	207.16031	195.12584	6.718327	113.42424	194.01428	195.15851	35.700993	193.2174	91.478615	204.46832	215.43652	197.2309	193.05472	191.58214	40.50561	184.94165	205.46292	208.72153	197.7071	194.2159	198.06471	216.71701
