	G000006985	G000013045	G000243115	G000168715	G001644645	G900114995	G001829005	G900102545	G000419585	G001314545	G900089525	G900107765	G000015125	G000020465	G001439115	G000814475	G000515315	G900142605	G000724545	G900129315	G000020505	G001724695	G900116565	G001898485	G000379805	G001654455	G000373105	G900106985	G001975465	G000375425	G000016085	G900110995	G900115755	G001897525	G001302245	G900129465	G900101395	G001464625	G001975825	G000024005	G900110245	G000020645	G001899605	G000511175	G000024845	G900089575	G900156765	G001438265	G001567405	G000275825	G900110645	G900112615	G001650905	G001896965	G000246855	G900110835	G001623405	G000759025	G000020545	G000375465	G900089545	G000508085	G001898505	G900129015	G000374045	G900089555	G900094705	G001715195	G000374125	G000020625	G900109685	G000212735	G001829035	G001898405	G900119105	G001897535	G900089565	G001564065	G000012585	G900129295	G001601815	G000814325	G000974785
G000724545	196.77742	195.3037	143.46957	210.67029	133.3342	133.05489	126.546646	126.003204	192.56334	177.12961	140.33269	137.85753	200.58072	212.12779	121.66716	138.64897	130.50308	125.35847	0.0	175.93881	200.89214	133.42546	121.70382	144.07774	96.465775	140.78236	121.52896	128.99463	210.39575	183.85199	213.24721	125.78637	131.75607	132.40085	120.19645	112.02236	140.40158	129.79753	134.03067	131.34152	130.1026	202.79265	127.40648	144.50053	170.90031	142.79097	126.388176	123.87249	108.512474	63.977154	116.070305	123.394356	180.37288	149.07	129.92848	126.087875	137.10925	92.18383	205.45824	184.18126	149.44478	140.02856	126.17579	136.40918	115.28375	154.22697	129.12672	180.80661	142.48344	196.85893	126.61338	100.08461	124.44355	136.6592	136.0998	120.20141	154.8764	191.0307	217.49194	137.64577	129.81023	139.28511	124.026695
G900129315	183.40436	140.38632	197.0465	189.21844	209.47856	190.60144	197.33536	199.56418	142.83469	86.56885	200.94717	201.14346	170.65045	183.61842	182.932	189.15086	192.81494	180.0489	175.93881	0.0	174.35963	209.07365	190.37482	201.92934	180.8059	220.3949	205.66692	193.97159	189.6479	63.247448	194.92264	173.73523	195.20953	180.32985	190.57048	185.14845	188.3808	195.57614	189.47841	191.591	197.84248	185.99922	181.62877	206.02351	127.72563	201.26535	182.19412	185.62288	190.97314	196.27158	203.49117	177.07571	75.27365	217.59554	197.08365	181.26219	202.39948	180.91122	175.39041	74.18671	211.37544	209.24341	180.19473	210.3885	183.66837	203.30817	184.4002	64.339836	202.54092	171.21548	187.24995	188.87044	193.8326	198.12242	194.9186	189.02776	203.28647	53.58	185.58047	206.21518	191.67801	189.5101	200.90675
G000020505	15.4727	181.91454	230.73943	56.75455	209.79146	211.20761	213.53065	209.1182	177.46515	157.06248	223.4621	212.67978	56.05027	55.11683	200.45903	202.33636	209.30159	196.75417	200.89214	174.35963	0.0	211.09048	207.38188	218.84451	193.57654	217.40456	218.64067	204.52415	57.54088	170.45183	60.575676	199.42172	212.4364	195.88359	201.509	202.93835	230.10283	211.18683	203.30777	210.23767	211.78677	53.22527	204.7806	217.79202	156.01974	217.43187	198.92494	197.6805	222.28198	210.77007	215.56633	200.78288	175.66753	230.37462	206.88779	207.27884	212.50319	186.49696	65.112366	171.2466	220.8664	218.88203	204.41872	207.42863	204.37268	217.26108	208.28175	171.73479	233.10458	54.590004	204.3707	198.79073	211.86719	210.84703	202.3209	201.62894	225.02432	174.79633	57.699177	213.80058	215.60887	212.90263	206.66783
G001724695	208.00963	203.74243	54.18702	217.04083	51.28133	86.00931	71.24394	94.92841	188.66043	196.35338	86.273964	83.76762	216.02097	206.68958	127.36825	60.659763	65.401375	78.02187	133.42546	209.07365	211.09048	0.0	95.19687	36.092976	136.38583	60.396786	147.347	72.07357	215.94441	196.68472	233.10497	87.530754	72.21015	99.77439	57.734142	73.02866	60.814297	39.459743	90.68484	86.51638	60.791527	226.99579	60.3784	75.87676	184.15962	83.43767	70.742355	124.59337	138.78386	143.66362	141.62686	81.967094	203.60962	62.458084	65.197586	79.53753	73.86185	138.04337	212.37909	205.24548	87.04836	74.01909	63.222424	54.584938	62.403027	83.05831	80.54226	196.95306	52.768402	211.34723	81.58651	131.43495	70.72099	35.860466	94.07949	124.61521	84.20634	209.04976	219.13033	62.65334	67.82989	67.995926	65.55914
G900116565	206.93216	195.04926	108.48879	217.79689	91.12818	89.95386	94.17266	86.412224	190.62321	171.60654	106.46765	105.222305	204.55736	200.56755	114.438835	92.55543	88.72618	81.02	121.70382	190.37482	207.38188	95.19687	0.0	95.053856	125.71251	109.94056	154.76007	91.45348	217.73167	183.92072	220.65067	82.28192	88.977776	89.77451	90.41139	74.678764	110.08944	91.57288	89.14723	88.97959	93.69379	212.1543	87.96125	94.28075	168.22536	99.8302	87.885765	113.77681	134.58292	131.12941	140.3165	75.75099	196.00438	104.416534	93.03118	78.46538	92.4165	121.73458	195.79678	194.85602	106.274025	91.14461	87.487366	90.752945	91.53569	102.94768	77.48224	192.73235	104.13788	195.85114	79.628136	122.30108	92.76506	92.49165	84.89375	114.265755	108.589676	199.28946	210.2435	100.99046	94.74281	96.1662	89.54381
G001898485	213.00328	204.61577	62.749344	221.21326	58.812386	87.025696	74.7655	90.77224	201.57489	199.33385	90.803406	82.86252	223.31479	212.86118	122.90645	69.62864	72.44731	79.39858	144.07774	201.92934	218.84451	36.092976	95.053856	0.0	129.74771	59.930164	162.91318	74.65071	218.99773	203.99466	229.88843	87.87021	77.53031	94.96194	57.513645	86.577156	56.687927	43.295578	89.262505	91.2528	61.857704	214.7063	65.76787	82.94974	179.5063	80.262886	70.836525	118.83902	156.54573	142.04291	144.8262	88.21374	210.01048	63.335907	69.134605	85.54867	73.83956	123.48508	224.3845	201.83405	86.13172	77.5693	65.78113	56.99495	67.61105	87.15136	85.10206	186.85545	60.57192	207.7459	82.47447	141.67934	73.660904	30.711653	89.274506	122.714226	89.25921	192.83707	227.84285	73.34922	66.42873	68.9886	70.7093
G000379805	193.11137	184.90019	138.96428	210.72903	113.55345	128.78772	135.90395	121.699356	187.99178	196.65932	147.08754	145.7213	198.85054	206.97449	114.02173	133.47517	133.19662	117.940506	96.465775	180.8059	193.57654	136.38583	125.71251	129.74771	0.0	137.58119	69.10739	125.09156	208.6567	164.62274	223.54941	123.022606	134.22856	119.015755	126.25702	116.03747	145.45285	133.07487	124.000786	124.57642	131.71379	194.79404	123.78404	139.99254	177.90419	147.50726	128.45074	118.6874	100.52033	110.27261	70.93333	122.0203	193.24005	138.14876	138.75739	123.57632	131.60393	66.28788	196.41876	180.23311	153.72733	133.05162	132.2288	133.03893	133.58524	148.21686	118.833115	185.44807	147.2383	189.95326	120.12695	72.88052	134.92955	122.73153	125.80723	121.68961	149.09486	197.17387	215.68633	141.78227	122.58301	130.97311	133.12363
G001654455	217.54008	220.01956	18.214434	227.6432	64.30751	97.219406	86.010544	97.89395	210.02544	214.08958	97.94784	84.14261	217.43137	224.97093	125.77661	76.25999	84.10574	103.321754	140.78236	220.3949	217.40456	60.396786	109.94056	59.930164	137.58119	0.0	169.90227	82.56313	228.4787	212.60463	224.82425	93.78902	80.20598	109.114334	65.92048	85.4525	22.954151	59.469543	101.550385	99.606575	77.74217	228.3919	72.8972	84.3393	201.66803	91.90815	78.70998	121.13857	163.55609	152.19095	156.53038	88.997856	218.36028	46.197716	79.1735	96.13631	80.454285	131.1835	219.34831	226.21216	99.827385	83.39992	79.265495	68.73008	75.551155	93.845055	95.073715	217.65671	22.6959	220.64409	87.61886	146.32957	85.65967	54.30469	96.62961	138.13148	98.702225	231.33838	223.28691	67.66158	75.23925	80.61996	77.383415
G000373105	225.6175	208.61182	169.52324	228.95135	153.8492	145.29776	158.81366	139.46729	204.26772	181.50748	167.72942	163.45868	224.21822	219.36102	134.59816	139.7349	158.77705	138.67163	121.52896	205.66692	218.64067	147.347	154.76007	162.91318	69.10739	169.90227	0.0	157.27744	227.80434	198.19568	233.53047	136.15843	151.35197	133.20996	137.54596	127.16289	162.72507	145.60052	151.6942	142.764	131.69102	225.47112	148.09395	156.13182	188.12587	164.5796	149.57964	140.20316	112.48847	123.839096	20.760387	135.70807	205.0653	176.33173	134.22115	145.34251	152.22827	83.55685	233.19576	209.15494	167.24973	160.15042	139.21419	148.93178	139.43822	163.51033	136.08737	203.31679	162.94803	217.45448	140.76308	88.04241	158.1138	162.69304	153.70212	141.751	167.33932	222.40102	231.30096	161.24507	143.13788	145.12885	140.89156
G900106985	203.97249	197.47139	80.89335	214.18188	70.511215	83.41398	36.812042	82.89787	191.33356	190.2337	59.459637	66.34397	202.57481	209.12854	119.91637	66.03695	4.2408843	80.66167	128.99463	193.97159	204.52415	72.07357	91.45348	74.65071	125.09156	82.56313	157.27744	0.0	215.35826	189.2606	215.89467	77.89197	55.343887	93.489075	60.36354	73.099945	79.25305	73.48838	84.61403	81.60201	66.25767	201.60991	63.917088	39.77121	178.88771	57.464176	53.02574	116.47163	141.01547	140.17215	141.49023	84.38406	201.44875	82.66684	65.5296	74.22578	50.624382	122.04017	213.90485	200.73305	58.048527	36.221817	63.540646	68.83336	55.202957	56.960045	75.566055	195.09433	77.49804	195.07109	76.07773	129.5181	36.25499	66.12749	85.17761	123.212845	62.695	194.99374	219.12126	74.70026	69.85422	69.091995	69.54688
G001975465	55.252	185.86325	238.08344	4.4336805	207.39966	214.99165	223.04373	212.41327	186.27095	171.55235	238.27634	222.90793	45.159927	42.47008	211.67772	224.3099	218.04619	204.46167	210.39575	189.6479	57.54088	215.94441	217.73167	218.99773	208.6567	228.4787	227.80434	215.35826	0.0	183.01181	46.631195	208.92726	222.65558	198.0369	212.54617	199.90712	225.94585	212.4495	214.15048	213.766	220.82195	24.413872	210.53856	223.37978	169.84947	236.27193	216.55258	210.31569	207.43146	218.34676	221.17331	206.63396	193.09097	249.96814	217.0372	201.95468	220.8708	200.10074	65.76749	194.15561	230.84052	224.26228	222.95303	205.32687	219.85394	229.85	206.81194	174.40013	230.94363	65.13067	207.84189	210.446	221.6826	213.52313	218.12671	204.64864	228.6069	184.08412	40.12421	215.54832	218.5657	215.35065	211.4109
G000375425	175.6598	145.02383	202.19267	188.82669	180.55064	186.07591	193.90508	199.28572	140.87373	86.17012	194.2622	203.57465	182.80513	178.5504	180.24156	188.90872	184.5126	184.73642	183.85199	63.247448	170.45183	196.68472	183.92072	203.99466	164.62274	212.60463	198.19568	189.2606	183.01181	0.0	190.10863	184.06444	190.83627	180.01283	184.5771	156.31136	204.13278	192.92006	186.35464	190.81007	187.3121	187.58044	185.58336	197.06898	129.40323	192.63118	193.85774	179.06578	176.39378	191.63506	196.14633	186.32419	35.813976	208.5059	191.07962	178.07063	182.2915	169.60349	168.71666	40.153187	203.70245	197.27634	193.36913	201.56294	200.60907	198.5703	184.48372	59.76592	196.20847	176.41891	180.13948	174.28688	191.53897	171.49089	195.65347	176.96967	191.84172	70.45946	180.98306	180.25455	189.40013	177.95094	196.55078
G000016085	56.583603	188.42169	240.60233	46.02811	216.32726	223.75343	221.78574	208.08853	184.9085	169.49463	236.37444	233.49474	47.722816	46.461697	201.29468	219.02242	220.52997	207.06714	213.24721	194.92264	60.575676	233.10497	220.65067	229.88843	223.54941	224.82425	233.53047	215.89467	46.631195	190.10863	0.0	210.08125	221.51216	229.78636	211.79002	199.48015	233.54927	213.4904	214.28253	220.20908	228.4153	42.206135	216.95848	218.79541	173.15219	229.29492	220.10448	196.42412	230.41284	217.69539	216.45299	210.60881	193.08615	235.6944	216.85583	209.60265	222.3552	205.73941	69.60335	187.4726	231.60991	220.07318	213.3052	213.96352	220.55177	234.93835	209.59999	187.59975	238.93648	66.135895	210.2295	223.28806	220.1746	233.20726	216.04076	210.68898	237.46825	195.86671	48.845127	216.11876	227.62027	214.69078	220.17282
